tech_group,firm,hour_class,n_cells,frac_flagged,frac_high_std,median_d,median_dw,median_ratio
CCGT,GE,critical,1958,0.0015321756894790602,0.36108273748723185,11704.000000000002,38.35020392543398,0.008152553028492257
CCGT,GE,flat,534,0.0,0.06741573033707865,,,
CCGT,HC,critical,2013,0.0004967709885742673,0.3651266766020864,131300.1,1504.8104380252003,0.011460847615692603
CCGT,HC,flat,549,0.00546448087431694,0.07285974499089254,390.0,0.0,0.0
Hydro,IB,critical,4048,0.023715415019762844,0.36561264822134387,115.30949999999642,2.6666666666666674,0.04535792202084389
Hydro,IB,flat,1104,0.002717391304347826,0.07246376811594203,41059.21000000001,2906.666666666667,0.07079207482722312
Hydro,GE,critical,1679,0.7766527695056581,0.3424657534246575,32.45149999999991,1.7000000000000028,0.23519839586899585
Hydro,GE,flat,477,0.6415094339622641,0.08176100628930817,2.3000000000000043,1.3999999999999915,0.22825696266070436
Hydro,GN,critical,1012,0.0,0.36561264822134387,,,
Hydro,GN,flat,276,0.0036231884057971015,0.07246376811594203,16.000999999999628,2.6666666666666594,0.1666562506510044
Hydro_pump,IB,critical,1001,0.003996003996003996,0.3646353646353646,6158.338500000019,2.666666666666586,0.07030538874272192
Hydro_pump,IB,flat,273,0.0,0.07326007326007326,,,
Hydro_pump,GE,critical,1979,0.0005053057099545225,0.3643254168772107,1956.4999999999995,206.7953372333338,0.10569656899224833
Hydro_pump,GE,flat,320,0.0,0.0875,,,
Wind,IB,critical,468,0.9893162393162394,0.36538461538461536,2.7,0.0,0.0
Wind,IB,flat,131,0.9847328244274809,0.05343511450381679,2.484,0.0,0.0
Wind,GN,critical,3027,0.9623389494549058,0.3657086223984143,0.20000000000000018,0.0,0.0
Wind,GN,flat,826,0.9673123486682809,0.07263922518159806,0.06400000000000006,0.0,0.0
Wind,HC,critical,3990,0.937092731829574,0.3649122807017544,3.1000000000000014,0.0,0.0
Wind,HC,flat,1081,0.9380203515263644,0.07400555041628122,3.099999999999998,0.0,0.0
Solar PV,IB,critical,808,0.9987623762376238,0.5581683168316832,8.2,8.2,1.0
Solar PV,GE,critical,23,0.0,0.4782608695652174,,,
Solar PV,GN,critical,99,0.26262626262626265,0.32323232323232326,0.1,0.1,1.0
Solar PV,GN,flat,12,0.0,0.16666666666666666,,,
Solar PV,HC,critical,325,1.0,0.56,42.11999999999997,0.0,0.0
