month,tipo_redespacho,up_mwh,dn_mwh,code_str,up_gwh,dn_gwh
2024-06-01,23,312421.0000000001,0.0,23,312.4210000000001,0.0
2024-09-01,23,438221.6660000011,0.0,23,438.22166600000105,0.0
2025-07-01,23,455708.37400000205,0.0,23,455.70837400000204,0.0
2024-03-01,23,457629.8420000053,0.0,23,457.6298420000053,0.0
2025-08-01,23,378529.31699999905,0.0,23,378.529316999999,0.0
2025-03-01,23,655200.1650000004,0.0,23,655.2001650000004,0.0
2024-12-01,23,410452.049,0.0,23,410.452049,0.0
2026-01-01,23,245586.14100000088,0.0,23,245.58614100000088,0.0
2024-07-01,23,439118.8240000061,0.0,23,439.1188240000061,0.0
2024-10-01,23,638476.7559999996,0.0,23,638.4767559999996,0.0
2025-04-01,23,356089.9679999985,0.0,23,356.08996799999846,0.0
2025-01-01,23,467795.8750000018,0.0,23,467.7958750000018,0.0
2025-11-01,23,161659.01499999934,0.0,23,161.65901499999936,0.0
2024-01-01,23,498670.9830000012,0.0,23,498.6709830000012,0.0
2024-02-01,23,427225.49200000503,0.0,23,427.22549200000503,0.0
2024-08-01,23,487382.4330000014,37.5,23,487.3824330000014,0.0375
2024-05-01,23,296423.8130000007,0.0,23,296.42381300000073,0.0
2025-10-01,23,415595.49199999927,0.0,23,415.5954919999993,0.0
2026-02-01,23,119935.48800000026,0.0,23,119.93548800000026,0.0
2025-06-01,23,516470.6019999986,0.0,23,516.4706019999986,0.0
2025-09-01,23,494023.793999999,0.0,23,494.023793999999,0.0
2025-02-01,23,821518.3540000005,0.0,23,821.5183540000005,0.0
2024-11-01,23,463783.8090000037,0.0,23,463.78380900000366,0.0
2025-12-01,23,154370.8750000004,0.0,23,154.3708750000004,0.0
2024-04-01,23,535683.9910000027,0.0,23,535.6839910000027,0.0
2025-05-01,23,199309.83200000034,0.0,23,199.30983200000034,0.0
