month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2026-02-01,68,0.0,2256.85,68,Reserve management (68),0.0,2.25685
2024-10-01,33,0.0,66119.59099999993,33,RT general (33),0.0,66.11959099999993
2025-12-01,94,68568.52499999998,75386.05,94,System balancing / residual imbalance (94),68.56852499999998,75.38605
2025-04-01,33,0.0,70117.15300000018,33,RT general (33),0.0,70.11715300000019
2026-01-01,69,8109.218,32454.29500000001,69,Voltage control / black-start (69),8.109218,32.45429500000001
2024-03-01,24,129.85,0.0,24,Uncategorised (project doc silent),0.12985,0.0
2025-07-01,24,704.3180000000001,0.0,24,Uncategorised (project doc silent),0.7043180000000001,0.0
2025-06-01,34,0.0,1845.776000000001,34,RT inter-zonal / network (34),0.0,1.845776000000001
2024-05-01,34,0.0,721.5999999999995,34,RT inter-zonal / network (34),0.0,0.7215999999999995
2025-03-01,94,104176.07499999995,80632.84999999999,94,System balancing / residual imbalance (94),104.17607499999995,80.63284999999999
2025-09-01,80,10882.556,11231.898,80,Uncategorised (project doc silent),10.882556000000001,11.231898
2025-01-01,69,7186.189999999999,17421.461000000014,69,Voltage control / black-start (69),7.186189999999999,17.421461000000015
2025-11-01,69,10081.428,28266.565000000046,69,Voltage control / black-start (69),10.081428,28.266565000000046
2024-01-01,61,207079.94999999995,283181.30000000005,61,"RT system-security RZ, PO 3.2 (61)",207.07994999999994,283.1813
2024-01-01,66,534.967,1405.6749999999997,66,Uncategorised (project doc silent),0.534967,1.4056749999999998
2024-12-01,33,0.0,59995.67,33,RT general (33),0.0,59.99567
2025-10-01,34,0.0,1373.7649999999985,34,RT inter-zonal / network (34),0.0,1.3737649999999986
2025-08-01,94,154878.52500000002,58145.975,94,System balancing / residual imbalance (94),154.87852500000002,58.145975
2026-02-01,34,0.0,122.98399999999995,34,RT inter-zonal / network (34),0.0,0.12298399999999995
2024-10-01,69,11588.974000000002,21997.86200000012,69,Voltage control / black-start (69),11.588974000000002,21.997862000000122
2025-02-01,80,1661.8330000000003,7114.242,80,Uncategorised (project doc silent),1.6618330000000003,7.114242
2025-12-01,96,46489.75,33295.5,96,Uncategorised (project doc silent),46.48975,33.2955
2024-07-01,92,20172.041999999998,95497.32400000002,92,mFRR activation (92),20.172041999999998,95.49732400000002
2025-04-01,69,12577.867,38098.608999999946,69,Voltage control / black-start (69),12.577867,38.098608999999946
2026-01-01,33,0.0,49182.62400000007,33,RT general (33),0.0,49.18262400000007
2024-09-01,94,108665.0,85475.29999999999,94,System balancing / residual imbalance (94),108.665,85.47529999999999
2025-06-01,92,9732.0,60103.124999999985,92,mFRR activation (92),9.732,60.103124999999984
2025-06-01,19,984.0,0.0,19,Uncategorised (project doc silent),0.984,0.0
2024-05-01,92,55361.967000000026,53852.89899999992,92,mFRR activation (92),55.36196700000003,53.852898999999915
2024-05-01,19,1163.6999999999998,0.0,19,Uncategorised (project doc silent),1.1636999999999997,0.0
2024-02-01,69,6796.032,20528.960000000014,69,Voltage control / black-start (69),6.796032,20.528960000000012
2024-11-01,80,1317.9130000000002,295.0,80,Uncategorised (project doc silent),1.3179130000000003,0.295
2025-09-01,96,29569.5,45108.25,96,Uncategorised (project doc silent),29.5695,45.10825
2024-08-01,69,1983.3170000000005,17500.02899999995,69,Voltage control / black-start (69),1.9833170000000004,17.50002899999995
2025-05-01,81,179595.5,246259.75,81,Catch-all 'other' bucket (81),179.5955,246.25975
2024-04-01,81,123515.07500000001,300761.54999999976,81,Catch-all 'other' bucket (81),123.51507500000001,300.7615499999998
2024-01-01,33,0.0,46722.523999999925,33,RT general (33),0.0,46.72252399999992
2024-12-01,61,289115.10000000003,255089.65000000002,61,"RT system-security RZ, PO 3.2 (61)",289.11510000000004,255.08965000000003
