month,channel,up_gwh,dn_gwh
2024-11-01,Voltage control / black-start (69),5.071975000000001,27.548423999999986
2024-11-01,mFRR activation (92),31.381250000000016,43.618067000000025
2024-12-01,Catch-all 'other' bucket (81),252.499125,201.40735
2024-12-01,RT general (33),0.0,59.99567
2024-12-01,RT inter-zonal / network (34),0.0,0.23706500000000003
2024-12-01,"RT system-security RZ, PO 3.2 (61)",289.11510000000004,255.08965000000003
2024-12-01,Reserve management (68),0.09609999999999999,0.14855000000000002
2024-12-01,System balancing / residual imbalance (94),124.29220000000001,94.39489999999999
2024-12-01,Uncategorised (project doc silent),27.996705000000002,12.315138000000005
2024-12-01,Voltage control / black-start (69),6.5241679999999995,28.444389999999867
2024-12-01,mFRR activation (92),57.05073300000003,110.05071599999998
2025-01-01,Catch-all 'other' bucket (81),183.023,332.95090000000005
2025-01-01,RT general (33),0.0,31.86954399999999
2025-01-01,RT inter-zonal / network (34),0.0,1.3090250000000008
2025-01-01,"RT system-security RZ, PO 3.2 (61)",212.74244999999996,332.75975
2025-01-01,Reserve management (68),0.0,1.1700250000000003
2025-01-01,System balancing / residual imbalance (94),86.51270000000001,142.13340000000002
2025-01-01,Uncategorised (project doc silent),41.80913300000001,35.58405
2025-01-01,Voltage control / black-start (69),7.186189999999999,17.421461000000015
2025-01-01,mFRR activation (92),124.80879199999981,33.00290000000001
2025-02-01,Catch-all 'other' bucket (81),85.17025,424.738125
2025-02-01,RT general (33),0.0,9.390779999999998
2025-02-01,RT inter-zonal / network (34),0.0,0.032388000000000014
2025-02-01,"RT system-security RZ, PO 3.2 (61)",177.75255,413.48230000000007
2025-02-01,Reserve management (68),0.0693,0.49922500000000003
2025-02-01,System balancing / residual imbalance (94),50.3247,166.59320000000002
2025-02-01,Uncategorised (project doc silent),34.15649400000001,43.5702
2025-02-01,Voltage control / black-start (69),4.494910000000001,27.518344
2025-02-01,mFRR activation (92),114.39252500000003,14.4838
2025-03-01,Catch-all 'other' bucket (81),154.63325,425.94955
2025-03-01,RT general (33),0.0,65.75704099999999
2025-03-01,RT inter-zonal / network (34),0.0,0.864161
2025-03-01,"RT system-security RZ, PO 3.2 (61)",146.08395000000002,516.8146750000001
2025-03-01,Reserve management (68),0.0,0.0665
2025-03-01,System balancing / residual imbalance (94),104.17607499999995,80.63284999999999
2025-03-01,Uncategorised (project doc silent),49.544247,52.150446
2025-03-01,Voltage control / black-start (69),10.318691999999999,27.925623000000115
2025-03-01,mFRR activation (92),188.36227499999998,16.59505
2025-04-01,Catch-all 'other' bucket (81),130.79875,381.0465
2025-04-01,RT general (33),0.0,70.11715300000019
2025-04-01,RT inter-zonal / network (34),0.0,1.136392000000002
2025-04-01,"RT system-security RZ, PO 3.2 (61)",84.725775,470.76410000000004
2025-04-01,Reserve management (68),0.5175749999999999,1.7724000000000002
2025-04-01,System balancing / residual imbalance (94),108.03135,79.06805
2025-04-01,Uncategorised (project doc silent),54.884557,59.606469000000004
2025-04-01,Voltage control / black-start (69),12.577867,38.098608999999946
2025-04-01,mFRR activation (92),271.0822329999999,35.50529999999999
2025-05-01,Catch-all 'other' bucket (81),179.5955,246.25975
2025-05-01,RT general (33),0.0,105.86809000000005
2025-05-01,RT inter-zonal / network (34),0.0,1.3195059999999996
