firm_class,n_tranches_total,n_in_comp_zone,qty_total,qty_in_comp_zone,pct_tranches_in_comp,pct_qty_in_comp,window
GN,494275,363943.0,53470986.90000757,13426853.099999104,73.6,25.1,POST_2025_MTU15
IB,599458,538392.0,41797895.90000181,33328336.400000956,89.8,79.7,POST_2025_MTU15
HC,95148,77572.0,7497451.599999404,5750915.999999272,81.5,76.7,POST_2025_MTU15
Fringe,561910,433823.0,99071347.90000068,73319070.89999877,77.2,74.0,POST_2025_MTU15
GE,85174,49172.0,20884772.00000025,16042957.799999852,57.7,76.8,POST_2025_MTU15
