firm_class,POST_2025_MTU15,PRE_2024_MTU60,delta_pct
EDP-PT,612.2,650.0,-5.8
Engie,500.0,500.0,0.0
GE,2350.4,2955.4,-20.5
GN,1000.0,1000.0,0.0
HC,699.0,646.0,8.2
IB,344.8,385.8,-10.6
Moeve,502.2,600.0,-16.3
TotalEnergies,500.0,168.1,197.4
