measure,tech,firm,critical_rate,flat_rate,diff_crit_minus_flat,n_crit,n_flat,rate_diff1pct_crit,rate_diff1pct_flat,cv_med_crit,cv_med_flat,cv_p90_crit,cv_p90_flat,n_tranches_crit,n_tranches_flat,slope_crit,slope_flat,pavg_crit,pavg_flat
ladder_identity_rate,CCGT,IB,0.9407296581885142,0.9599662873999157,-0.019236629211401568,8689.0,2373.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,GE,0.9811480978260869,1.0,-0.018851902173913082,5888.0,1602.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,GN,0.7603245730894999,0.9995552590615966,-0.23923068597209673,16514.0,4497.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,HC,0.9995477159656264,0.9950248756218906,0.0045228403437358455,2211.0,603.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,EDP-PT,0.05668095052590573,0.21841541755888652,-0.16173446703298078,5134.0,1401.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,Engie,0.3442844284428443,0.8547854785478548,-0.5105010501050105,2222.0,606.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,TotalEnergies,0.6551558752997602,0.8859180035650623,-0.23076212826530218,2085.0,561.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,Moeve,1.0,1.0,0.0,2222.0,606.0,,,,,,,,,,,,
ladder_identity_rate,CCGT,ALL,0.741932614255532,0.8900318393338231,-0.1480992250782911,44965.0,12249.0,,,,,,,,,,,,
ladder_identity_rate,wind,IB,0.026631958350020024,0.02390998593530239,0.002721972414717635,4994.0,1422.0,,,,,,,,,,,,
ladder_identity_rate,wind,GN,0.03223698540622958,0.02269170579029734,0.00954527961593224,4591.0,1278.0,,,,,,,,,,,,
ladder_identity_rate,wind,HC,0.041214351425942965,0.05075445816186557,-0.009540106735922607,5435.0,1458.0,,,,,,,,,,,,
ladder_identity_rate,wind,Engie,0.1061923858132389,0.1181169757489301,-0.011924589935691204,38402.0,10515.0,,,,,,,,,,,,
ladder_identity_rate,wind,TotalEnergies,0.16024973985431842,0.16104868913857678,-0.0007989492842583601,961.0,267.0,,,,,,,,,,,,
ladder_identity_rate,wind,Moeve,1.0,1.0,0.0,94.0,23.0,,,,,,,,,,,,
ladder_identity_rate,wind,ALL,0.08867962626429503,0.0965715431397447,-0.00789191687544967,54477.0,14963.0,,,,,,,,,,,,
ladder_identity_rate,solar,IB,0.004873294346978557,,,1026.0,0.0,,,,,,,,,,,,
ladder_identity_rate,solar,GN,0.8560948081264108,1.0,-0.1439051918735892,1772.0,459.0,,,,,,,,,,,,
ladder_identity_rate,solar,HC,0.0,,,349.0,0.0,,,,,,,,,,,,
ladder_identity_rate,solar,Engie,0.007184399589462881,,,2923.0,0.0,,,,,,,,,,,,
ladder_identity_rate,solar,TotalEnergies,0.01921079958463136,,,1926.0,0.0,,,,,,,,,,,,
ladder_identity_rate,solar,Moeve,0.8673267326732673,,,505.0,0.0,,,,,,,,,,,,
ladder_identity_rate,solar,ALL,0.24346710219318712,1.0,-0.7565328978068129,8572.0,459.0,,,,,,,,,,,,
ladder_identity_rate,hydro,IB,0.9805562709245429,0.993876589731512,-0.013320318806969156,7766.0,2123.0,,,,,,,,,,,,
ladder_identity_rate,hydro,GE,0.5468940316686967,0.46509341199606685,0.0818006196726298,9031.0,2034.0,,,,,,,,,,,,
ladder_identity_rate,hydro,GN,0.9943605603056213,0.9906291834002677,0.003731376905353523,5497.0,1494.0,,,,,,,,,,,,
ladder_identity_rate,hydro,HC,1.0,1.0,0.0,2129.0,579.0,,,,,,,,,,,,
ladder_identity_rate,hydro,EDP-PT,0.7550713749060857,0.8388338833883389,-0.0837625084822532,6655.0,1818.0,,,,,,,,,,,,
ladder_identity_rate,hydro,Engie,1.0,1.0,0.0,2222.0,606.0,,,,,,,,,,,,
ladder_identity_rate,hydro,Moeve,0.9985295389672174,1.0,-0.0014704610327825884,11561.0,3420.0,,,,,,,,,,,,
ladder_identity_rate,hydro,ALL,0.868014533782127,0.883385787642869,-0.015371253860742007,44861.0,12074.0,,,,,,,,,,,,
ladder_identity_rate,nuclear,IB,0.6754439681567667,0.6868686868686869,-0.01142471871192019,3266.0,891.0,,,,,,,,,,,,
ladder_identity_rate,nuclear,GE,0.9638989169675091,0.9827357237715804,-0.018836806804071293,2770.0,753.0,,,,,,,,,,,,
ladder_identity_rate,nuclear,ALL,0.807819748177601,0.8223844282238443,-0.014564680046243228,6036.0,1644.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,GN,1.0,1.0,0.0,2206.0,603.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,HC,1.0,1.0,0.0,742.0,200.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,Repsol,1.0,1.0,0.0,7151.0,1947.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,Engie,0.971043771043771,0.9902080783353733,-0.019164307291602234,2970.0,817.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,Moeve,0.9986116940561134,1.0,-0.001388305943886614,30973.0,8123.0,,,,,,,,,,,,
ladder_identity_rate,thermal_nonRE,ALL,0.99704981277658,0.9993162393162394,-0.002266426539659361,44065.0,11700.0,,,,,,,,,,,,
ladder_identity_rate,thermal_RE,Moeve,0.998081074598225,1.0,-0.0019189254017749624,4169.0,1151.0,,,,,,,,,,,,
ladder_identity_rate,thermal_RE,ALL,0.998081074598225,1.0,-0.0019189254017749624,4169.0,1151.0,,,,,,,,,,,,
cv_pavg,CCGT,ALL,,,,,,11.308795730012232,4.182194616977226,0.0,0.0,3.3029322927478733,0.0107714803486277,,,,,,
cv_pavg,wind,ALL,,,,,,35.919745947831196,35.211836747381184,0.2024986456164881,0.14991929395512263,7.1400933948512355,7.8862896076199025,,,,,,
cv_pavg,solar,ALL,,,,,,8.061129258049464,3.454674668351232,0.0,0.0,0.43265530423036663,1.2086577382315718e-14,,,,,,
cv_pavg,hydro,ALL,,,,,,1.6227903970040793,1.756292573114169,0.0,0.0,0.0,0.005773638803180366,,,,,,
cv_pavg,nuclear,ALL,,,,,,1.0437375745526838,0.6412083214591051,0.0,0.0,0.0,0.0,,,,,,
per_quarter,CCGT,IB,,,,,,,,,,,,9.724220278513062,7.957932107771618,0.3984156742524409,0.3393544280593317,156.61378109357287,195.55282093786678
per_quarter,CCGT,GE,,,,,,,,,,,,1.827233355978261,1.741983031348864,4.243044256273016,4.05286544039269,489.3427656914479,571.6759118074426
per_quarter,CCGT,GN,,,,,,,,,,,,6.3794810463848854,1.6332581620624262,1.4245254169054602,0.2846135582387983,579.9251151933546,926.4143281929482
per_quarter,CCGT,HC,,,,,,,,,,,,5.7616463138851195,5.139686184462304,1.6567226911195347,1.3798910859029765,171.29736286202336,241.89891328989515
per_quarter,CCGT,EDP-PT,,,,,,,,,,,,6.6375146084924035,6.234065345474023,1.4329053896347301,1.3832816478986605,130.29547157737383,169.63785755983326
per_quarter,CCGT,Engie,,,,,,,,,,,,5.441044104410441,3.8183549124143186,0.27663044818865606,0.18728271776143604,232.25935888676992,306.5565743118846
per_quarter,CCGT,TotalEnergies,,,,,,,,,,,,1.4386091127098322,1.1075652528548123,0.40248987265550706,0.10082369359195821,342.8868510843996,460.49228833262623
per_quarter,CCGT,Moeve,,,,,,,,,,,,2.533753375337534,2.2977913175932976,0.9371251586427709,0.7656509358104993,260.9393957833169,321.6288814164915
per_quarter,CCGT,ALL,,,,,,,,,,,,5.9632769932169465,3.6857987135510037,1.4794884375093496,0.9782340806338119,370.89809492650807,536.437503112854
per_quarter,wind,IB,,,,,,,,,,,,1.1252831675366886,1.1530745747928477,0.025051173715011144,0.02155625881889246,4.694150451894281,4.517377035152521
per_quarter,wind,GN,,,,,,,,,,,,1.7343102899012424,1.767233302101459,0.0396478251443008,0.03910633789842843,21.519580292577412,21.5552224693873
per_quarter,wind,HC,,,,,,,,,,,,1.6036085542885927,1.60113760324139,0.20931764146627738,0.2445506605814713,-0.9920609625472455,-0.9502547747680692
per_quarter,wind,Engie,,,,,,,,,,,,1.6352421991277841,1.6221293094877771,2.6627320202588574,2.8722764500381843,-8.90769921144863,-9.11420985464606
per_quarter,wind,TotalEnergies,,,,,,,,,,,,1.0,1.0,0.0,0.0,-32.37043612108774,-32.33241560928897
per_quarter,wind,Moeve,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0
per_quarter,wind,ALL,,,,,,,,,,,,1.5809540326408411,1.5758227501071516,1.8963675972925806,2.0377500515814995,-4.644984799122247,-4.682035178210608
per_quarter,solar,IB,,,,,,,,,,,,1.0227507755946226,1.0185802763220582,0.0031073800635568875,0.0012311333663311645,0.6074244367248679,0.6222205603281836
per_quarter,solar,GE,,,,,,,,,,,,1.0,1.0,0.0,0.0,-1.1522666666666672,-1.032775365179629
per_quarter,solar,GN,,,,,,,,,,,,1.0,1.0,0.0,0.0,918.7211476528385,721.0890639724537
per_quarter,solar,HC,,,,,,,,,,,,1.8767034393251136,1.9982319660537482,0.9285421602659703,0.18335817774892882,-3.4989157325154636,-3.213981787045066
per_quarter,solar,Engie,,,,,,,,,,,,1.1525963035678017,1.127774874150689,1.2086474058830934,0.3083460360967669,-23.74113068237938,-24.388169582696815
per_quarter,solar,TotalEnergies,,,,,,,,,,,,1.0,1.0,0.0,0.0,-20.909468316177165,-21.85214811606756
per_quarter,solar,Moeve,,,,,,,,,,,,1.0,1.0,0.0,0.0,-1.2849264705882353,-1.0483271375464684
per_quarter,solar,ALL,,,,,,,,,,,,1.0877600864214927,1.075525914708138,0.4532864431073642,0.11405105831791916,144.54939448895416,63.164285739537426
per_quarter,hydro,IB,,,,,,,,,,,,10.880762297192891,11.42075762909209,0.22282162076215517,0.2111278992847105,255.07436984245268,247.74502544756572
per_quarter,hydro,GE,,,,,,,,,,,,1.6951425152306354,1.7086270282223512,0.09418011559299756,0.06152621538918378,37.96022001532485,20.57654957573995
per_quarter,hydro,GN,,,,,,,,,,,,2.2760596689103147,2.3211468977038736,0.797232418134224,0.7382994277995119,228.22346750803055,236.94664466423063
per_quarter,hydro,HC,,,,,,,,,,,,3.5885392202912167,3.566446655501921,0.36563950729586797,0.3625188613187321,57.64659564254589,57.09687688735835
per_quarter,hydro,EDP-PT,,,,,,,,,,,,10.395823160425197,10.331572415109951,1.0651874332438838,1.1793542259437342,170.63757801684477,169.62362704455109
per_quarter,hydro,Engie,,,,,,,,,,,,1.0,1.0,0.0,0.0,-12.450000000000001,-12.45
per_quarter,hydro,Moeve,,,,,,,,,,,,1.2429191781709767,1.2442046789872876,0.9084962466297829,0.846193210433566,-4.105146984754038,-4.096839807372857
per_quarter,hydro,ALL,,,,,,,,,,,,4.575038582388666,4.754310906799426,0.5631248324833209,0.5663797652965984,105.86930455897863,104.01917408821157
per_quarter,nuclear,IB,,,,,,,,,,,,1.0,1.0,0.0,0.0,-348.88922472419523,-343.98851181830184
per_quarter,nuclear,GE,,,,,,,,,,,,1.6597472924187726,1.6838887190461633,5.361314161399979,3.9152461913575745,129.25111522783845,99.42865075869824
per_quarter,nuclear,ALL,,,,,,,,,,,,1.3006498313728716,1.3169677647892313,2.4431751627996943,1.8146327016550658,-130.99850469998972,-138.47415988215346
