firm_class,n_tranches_total,n_in_comp_zone,qty_total,qty_in_comp_zone,pct_tranches_in_comp,pct_qty_in_comp,window
GN,140973,108473.0,13330642.599999806,3301090.4999999255,76.9,24.8,PRE_2024_MTU60
HC,25128,20894.0,1796687.299999992,1545637.0,83.2,86.0,PRE_2024_MTU60
Fringe,145681,113117.0,17251605.60000006,11047704.200000133,77.6,64.0,PRE_2024_MTU60
GE,27682,14769.0,7067325.00000014,2784846.299999998,53.4,39.4,PRE_2024_MTU60
IB,121742,101809.0,7633962.2999999635,5898011.499999941,83.6,77.3,PRE_2024_MTU60
