firm_class,window,hour_class,n_obs,mean_n_tranches_comp,mean_p_min,mean_p_med,mean_p_max,mean_offered_mw_comp
Fringe,POST_2025_MTU15,critical_h18_22,30615,3.457259513310469,87.13090870488323,131.25775469541074,149.20614666013392,683.7265196798954
Fringe,POST_2025_MTU15,flat_h3_5,11746,3.8650604461093137,77.00694449174186,136.06691639707134,157.46655372041545,556.7425676826153
Fringe,POST_2025_MTU15,other,79245,3.5638841567291313,84.44797173323238,135.71075746103855,155.11030891538897,578.1655688056029
Fringe,PRE_2024_MTU60,critical_h18_22,7674,4.252801667969768,30.1693315089914,102.82332877247849,121.98184128225176,385.1886760489966
Fringe,PRE_2024_MTU60,flat_h3_5,2377,3.039966344131258,67.5886663862011,124.018481278923,142.6756962557846,362.439545645772
Fringe,PRE_2024_MTU60,other,19570,3.7406234031681143,44.377700562084826,109.87329535002556,125.53805160960654,369.2628615227389
GE,POST_2025_MTU15,critical_h18_22,9403,1.2297139210890142,89.43681378283526,100.9592172710837,108.8681144315644,380.8273317026481
GE,POST_2025_MTU15,flat_h3_5,5136,1.1238317757009346,93.4468769470405,99.46594626168223,104.43127725856698,380.85724299065424
GE,POST_2025_MTU15,other,27768,1.1456712762892538,93.29029746470758,100.32770113079805,105.72962222702391,378.0760443676174
GE,PRE_2024_MTU60,critical_h18_22,2623,2.0266869996187573,30.43304994281357,81.8955508959207,104.35704536789936,336.33381624094545
GE,PRE_2024_MTU60,flat_h3_5,519,1.5067437379576107,66.93560693641619,92.85534682080926,113.78221579961465,356.1608863198459
GE,PRE_2024_MTU60,other,5105,1.6957884427032321,38.61238981390793,73.94440940254653,99.20276199804113,336.04195886385895
GN,POST_2025_MTU15,critical_h18_22,25188,10.852231221216453,12.80014411624583,83.4016420517707,89.82987970462123,346.02721137049383
GN,POST_2025_MTU15,flat_h3_5,1745,3.082521489971347,84.3542464183381,99.29744126074499,100.64826934097422,369.5663610315186
GN,POST_2025_MTU15,other,17243,4.925419010613003,27.704412225250827,58.27002696746506,60.92905526880473,235.2559647393145
GN,PRE_2024_MTU60,critical_h18_22,6529,11.456118854342165,1.0,93.92192525654771,102.93423035686935,338.35841629652316
GN,PRE_2024_MTU60,flat_h3_5,244,10.631147540983607,1.0,83.37325819672131,91.66139344262295,299.9069672131147
GN,PRE_2024_MTU60,other,5802,5.357118235091348,1.0960703205791107,43.25786797655981,47.93717683557394,175.58964150293
HC,POST_2025_MTU15,critical_h18_22,3660,5.0,-4.644808743169399,103.78896174863387,128.31715846994535,370.00218579234974
HC,POST_2025_MTU15,flat_h3_5,1640,4.0,3.296341463414634,82.87902439024391,100.38853658536586,290.3680487804878
HC,POST_2025_MTU15,other,10716,4.915266890630832,-2.759425158641284,102.9320231429638,126.69331466965286,365.578984695782
HC,PRE_2024_MTU60,critical_h18_22,875,4.994285714285715,4.9714285714285715,109.43575999999999,126.28438857142856,369.4742857142857
HC,PRE_2024_MTU60,flat_h3_5,525,4.961904761904762,81.79047619047618,141.7942857142857,152.38095238095238,367.3142857142857
HC,PRE_2024_MTU60,other,2789,4.987092147723199,22.916816063105056,117.04267479383292,132.48978845464325,368.86626030835424
IB,POST_2025_MTU15,critical_h18_22,14220,9.277285513361463,113.68083755274262,115.31197187060478,157.58863431786216,570.6173628691984
IB,POST_2025_MTU15,flat_h3_5,6579,5.146374829001368,112.85628210974312,121.45266985864113,145.8854324365405,343.92874297005625
IB,POST_2025_MTU15,other,41387,8.996134051755382,113.15029646990601,115.20345362070215,153.72186435354095,554.1526445502211
IB,PRE_2024_MTU60,critical_h18_22,2840,8.675704225352113,47.247964788732396,142.35068133802818,166.71121126760565,502.85573943661973
IB,PRE_2024_MTU60,flat_h3_5,1415,5.45017667844523,59.521194346289754,114.40949823321554,139.86604240282685,307.8606360424028
IB,PRE_2024_MTU60,other,8206,8.456251523275652,49.58295759200585,141.5218462100902,163.80251766999757,491.16191810870095
