firm_class,POST_2025_MTU15,PRE_2024_MTU60,delta
Fringe,683.7,385.2,298.5
GE,380.8,336.3,44.5
GN,346.0,338.4,7.6
HC,370.0,369.5,0.5
IB,570.6,502.9,67.7
