side,sess,outcome,crit_pre,crit_post,flat_pre,flat_post,did,n_curves
supply,1,sigma_p,3.6933110972102248,4.882622246293481,5.87373253885888,6.619137378169006,0.4439063097731304,35898
supply,1,beta,0.1315115757355789,0.12341306627198702,0.14166875064381243,0.12848323568226924,0.005087005497951311,21941
supply,1,n_eff,4.0,4.973828281479503,4.992322456813819,18.723533060005813,-12.757382321712491,35898
supply,2,sigma_p,4.953703909429338,5.9861690103109,5.200678767068126,6.4286498462957615,-0.1955059783460733,46116
supply,2,beta,0.27112712951741214,0.137740216787974,0.18364763981818316,0.13787015932795385,-0.08760943223920883,22189
supply,2,n_eff,2.0,3.4774119551614238,2.0,5.0,-1.5225880448385762,46116
supply,3,sigma_p,,,,,,17730
supply,3,beta,,,,,,6172
supply,3,n_eff,,,,,,17730
demand,1,sigma_p,0.0,9.351546055707171e-08,0.0,0.4946618923134667,-0.49466179879800615,949286
demand,1,beta,2.1,7.0109018830525205,1.545991238560796,6.137254901960788,0.3196382196525285,202501
demand,1,n_eff,1.0,1.0,1.0,1.6116142781033564,-0.6116142781033564,949286
demand,2,sigma_p,0.0,0.0,0.0,0.0,0.0,940089
demand,2,beta,2.3257799593884823,8.944905219291554,0.7541517458215732,6.92307692307693,0.45020008264771505,149759
demand,2,n_eff,1.0,1.0,1.0,1.0,0.0,940089
demand,3,sigma_p,,,,,,479405
demand,3,beta,,,,,,77719
demand,3,n_eff,,,,,,479405
