parent,hour_class,n_diff,pct_price_only,pct_qty_only,pct_both
EDP-PT,critical_h18_22,1988,1.0,0.0,0.0
EDP-PT,flat_h3_5,1070,0.9925233644859813,0.007476635514018692,0.0
EDP-PT,other,6156,0.9718973359324237,0.027452891487979206,0.000649772579597141
GE,critical_h18_22,27,1.0,0.0,0.0
GE,other,110,0.9818181818181818,0.01818181818181818,0.0
GN,critical_h18_22,1042,0.0,0.1746641074856046,0.8253358925143954
GN,flat_h3_5,9,0.0,0.5555555555555556,0.4444444444444444
GN,other,1843,0.0,0.5160065111231688,0.48399348887683125
HC,flat_h3_5,1,1.0,0.0,0.0
HC,other,4,0.75,0.0,0.25
IB,critical_h18_22,7,0.0,0.0,1.0
IB,flat_h3_5,637,0.02197802197802198,0.858712715855573,0.11930926216640503
IB,other,71,0.5352112676056338,0.23943661971830985,0.2112676056338028
Other-fringe-CCGT,critical_h18_22,1289,0.0,0.951900698215671,0.04809930178432894
Other-fringe-CCGT,flat_h3_5,396,0.0025252525252525255,0.7803030303030303,0.21717171717171718
Other-fringe-CCGT,other,3446,0.0008705745792222867,0.8537434706906558,0.1453859547301219
