session,firm,tech,hour_class,n,share_price_only,share_qty_only,share_both,share_neither,mean_cv_p,mean_cv_q
1,EDP-PT,CCGT,critical,385,0.07532467532467532,0.0,0.0,0.9246753246753247,0.00497313120057536,0.0
1,EDP-PT,CCGT,flat,105,0.0,0.0,0.0,1.0,0.0,0.0
1,EDP-PT,CCGT,midday,140,0.0,0.0,0.0,1.0,0.0,0.0
1,EDP-PT,hydro,critical,3390,0.031563421828908554,0.07699115044247788,0.3053097345132743,0.5861356932153392,0.01410632990581809,0.11349331804593461
1,EDP-PT,hydro,flat,1041,0.009606147934678195,0.04130643611911623,0.148895292987512,0.8001921229586936,0.0055150726480218,0.0322267520106943
1,EDP-PT,hydro,midday,1383,0.0028922631959508315,0.05712219812002892,0.07086044830079537,0.8691250903832248,0.002722956278620687,0.017455472732988503
1,EDP-PT,other,critical,90,0.3111111111111111,0.2111111111111111,0.14444444444444443,0.3333333333333333,0.025410296049682587,0.09344213054135418
1,EDP-PT,other,flat,54,0.1111111111111111,0.24074074074074073,0.07407407407407407,0.5740740740740741,0.004801556874364892,0.07498123180189156
1,EDP-PT,other,midday,145,0.05517241379310345,0.27586206896551724,0.034482758620689655,0.6344827586206897,0.004808170032880428,0.08044796415475888
1,Engie,CCGT,critical,106,0.04716981132075472,0.018867924528301886,0.009433962264150943,0.9245283018867925,0.002371563339271508,0.012917778250555217
1,Engie,hydro,critical,441,0.1473922902494331,0.0,0.0,0.8526077097505669,0.022195565039971166,0.0
1,Engie,hydro,flat,120,0.2916666666666667,0.0,0.0,0.7083333333333334,0.02129958297723491,0.0
1,Engie,hydro,midday,163,0.32515337423312884,0.0,0.0,0.6748466257668712,0.020135691897494624,0.0
1,Engie,other,critical,72,0.0,0.0,0.0,1.0,0.0,0.0
1,Engie,other,midday,69,0.0,0.0,0.0,1.0,0.0,0.0
1,Engie,solar,critical,274,0.08029197080291971,0.5218978102189781,0.33211678832116787,0.06569343065693431,0.08555665098973793,0.37346196131802784
1,Engie,solar,midday,601,0.07986688851913477,0.47920133111480867,0.28452579034941766,0.15640599001663893,0.025457750026352626,0.21489818318609005
1,Engie,wind,critical,8252,0.012724188075618032,0.7733882695104217,0.1187590887057683,0.09512845370819195,0.02370854880553444,0.24342933246355689
1,Engie,wind,flat,1949,0.023088763468445357,0.6485377116469985,0.22575679835813237,0.10261672652642381,0.020759948387187675,0.23066485346661667
1,Engie,wind,midday,2442,0.04054054054054054,0.54995904995905,0.33415233415233414,0.07534807534807535,0.031358973494444234,0.23244061707230193
1,GE,CCGT,critical,1962,0.12640163098878696,0.0010193679918450561,0.0025484199796126403,0.8700305810397554,0.006908831485294318,0.002541099440702128
1,GE,CCGT,flat,602,0.03488372093023256,0.0,0.0,0.9651162790697675,0.002432624028784908,2.2225451988278922e-05
1,GE,CCGT,midday,810,0.0049382716049382715,0.0,0.0,0.9950617283950617,0.0006407974015279498,0.0
1,GE,hydro,critical,538,0.20260223048327136,0.0687732342007435,0.14312267657992564,0.5855018587360595,0.030832162582381417,0.08325566409570395
1,GE,hydro,flat,97,0.061855670103092786,0.14432989690721648,0.020618556701030927,0.7731958762886598,0.014645370702117974,0.0667546919115114
1,GE,hydro,midday,58,0.06896551724137931,0.017241379310344827,0.034482758620689655,0.8793103448275862,0.16229857816962856,0.0055010343096615994
1,GE,nuclear,critical,107,0.7476635514018691,0.0,0.056074766355140186,0.19626168224299065,0.5773031067743475,0.029282467387482084
1,GE,nuclear,flat,52,0.8846153846153846,0.0,0.019230769230769232,0.09615384615384616,0.23725004671056993,0.009920419607626003
1,GE,nuclear,midday,92,0.5652173913043478,0.0,0.010869565217391304,0.42391304347826086,0.11089462494570303,0.010736673691425882
1,GE,other,critical,314,0.012738853503184714,0.6337579617834395,0.006369426751592357,0.3471337579617834,0.0024916357333310828,0.11172102412710803
1,GE,other,flat,82,0.04878048780487805,0.5975609756097561,0.012195121951219513,0.34146341463414637,0.07416076221460753,0.11419614955302326
1,GE,other,midday,134,0.19402985074626866,0.47761194029850745,0.007462686567164179,0.3208955223880597,0.04271865502140167,0.05366080181832924
1,GN,CCGT,critical,5094,0.2640361209265803,0.001177856301531213,0.012563800549666274,0.7222222222222222,0.016032862335006143,0.007867149076612344
1,GN,CCGT,flat,1664,0.054086538461538464,0.001201923076923077,0.0,0.9447115384615384,0.0011835297552240073,5.930384593347722e-05
1,GN,CCGT,midday,2287,0.0174901617839965,0.00043725404459991256,0.0017490161783996502,0.9803235679930039,0.0005920057150029987,0.0009878481400064027
1,GN,hydro,critical,3650,0.0027397260273972603,0.02219178082191781,0.07643835616438356,0.8986301369863013,0.010320121429599987,0.03458042633580863
1,GN,hydro,flat,1006,0.0,0.006958250497017893,0.014910536779324055,0.9781312127236581,0.0007414170115782034,0.005429777407008631
1,GN,hydro,midday,1296,0.0007716049382716049,0.0030864197530864196,0.009259259259259259,0.9868827160493827,0.0015969701310793462,0.004099269501931616
1,GN,other,critical,434,0.1935483870967742,0.2073732718894009,0.2511520737327189,0.347926267281106,0.05620888799806364,0.09853300126017224
1,GN,other,flat,183,0.12021857923497267,0.16939890710382513,0.14754098360655737,0.5628415300546448,0.014204477423137869,0.06039825542225891
1,GN,other,midday,331,0.09667673716012085,0.11178247734138973,0.16314199395770393,0.6283987915407855,0.056270728088528246,0.04664979355711901
1,GN,solar,critical,89,0.0,0.9325842696629213,0.0,0.06741573033707865,5.24319051168318e-18,0.4188134489496899
1,GN,solar,midday,204,0.0,0.8333333333333334,0.0,0.16666666666666666,7.026291716538557e-18,0.21305074935879548
1,GN,thermal_nonRE,critical,80,0.0,0.0,0.125,0.875,0.03499195166593973,0.043609954714891486
1,GN,thermal_nonRE,midday,210,0.0,0.0,0.09523809523809523,0.9047619047619048,0.018772925398530965,0.020083234413538927
1,GN,wind,critical,1683,0.0005941770647653001,0.954248366013072,0.020796197266785502,0.0243612596553773,0.005901971028395436,0.2253093410494805
1,GN,wind,flat,510,0.00196078431372549,0.9549019607843138,0.027450980392156862,0.01568627450980392,0.007927051621522624,0.22173343772976933
1,GN,wind,midday,762,0.007874015748031496,0.8884514435695539,0.06167979002624672,0.04199475065616798,0.015660432549515334,0.20046258505038603
1,HC,CCGT,critical,270,0.4222222222222222,0.0,0.003703703703703704,0.5740740740740741,0.018034588727080646,0.00011909015124449207
1,HC,CCGT,flat,196,0.27040816326530615,0.0,0.0,0.7295918367346939,0.009250624308961591,0.0
