firm_class,unit_code,hour,n_obs,mean_n_tranches,mean_p_max,mean_p_med,mech_strict_rate
EDP-PT,LARES1,0,79,5.632911392405063,644.3036708860759,247.90525316455697,0.25316455696202533
EDP-PT,LARES1,1,79,5.632911392405063,644.3036708860759,247.910917721519,0.24050632911392406
EDP-PT,LARES1,2,79,5.632911392405063,644.3036708860759,247.90699367088607,0.24050632911392406
EDP-PT,LARES1,3,79,5.810126582278481,644.3036708860759,190.3128481012658,0.24050632911392406
EDP-PT,LARES1,4,79,5.810126582278481,644.3036708860759,190.31541139240505,0.26582278481012656
EDP-PT,LARES1,5,79,6.69620253164557,644.3036708860759,153.51677215189875,0.08860759493670886
EDP-PT,LARES1,6,79,6.69620253164557,644.3036708860759,153.51677215189875,0.06329113924050633
EDP-PT,LARES1,7,79,6.69620253164557,644.3036708860759,153.51382911392406,0.0759493670886076
EDP-PT,LARES1,8,79,6.69620253164557,644.3036708860759,153.51772151898734,0.08860759493670886
EDP-PT,LARES1,9,79,6.69620253164557,644.3036708860759,153.515664556962,0.06329113924050633
EDP-PT,LARES1,10,78,6.6923076923076925,644.230641025641,153.31628205128206,0.07692307692307693
EDP-PT,LARES1,11,78,6.6923076923076925,644.230641025641,153.31551282051282,0.07692307692307693
EDP-PT,LARES1,12,78,6.6923076923076925,644.230641025641,153.31923076923076,0.0641025641025641
EDP-PT,LARES1,13,78,6.6923076923076925,644.230641025641,153.31496794871794,0.0641025641025641
EDP-PT,LARES1,14,78,6.6923076923076925,644.230641025641,153.31128205128206,0.07692307692307693
EDP-PT,LARES1,15,78,6.6923076923076925,644.230641025641,153.3128205128205,0.0641025641025641
EDP-PT,LARES1,16,78,6.6923076923076925,644.230641025641,153.315,0.0641025641025641
EDP-PT,LARES1,17,78,6.6923076923076925,644.230641025641,153.31358974358974,0.07692307692307693
EDP-PT,LARES1,18,78,6.6923076923076925,644.230641025641,153.31326923076924,0.07692307692307693
EDP-PT,LARES1,19,79,6.620253164556962,644.3036708860759,159.6,0.08860759493670886
EDP-PT,LARES1,20,79,6.620253164556962,644.3036708860759,159.59914556962025,0.11392405063291139
EDP-PT,LARES1,21,79,6.620253164556962,644.3036708860759,159.6010759493671,0.10126582278481013
EDP-PT,LARES1,22,79,6.620253164556962,644.3036708860759,159.60129746835443,0.10126582278481013
EDP-PT,LARES1,23,80,6.55,644.374875,165.7303125,0.1
EDP-PT,LARES2,0,85,5.247058823529412,650.0,234.63779411764708,0.17647058823529413
EDP-PT,LARES2,1,85,5.364705882352941,650.0,229.8508823529412,0.16470588235294117
EDP-PT,LARES2,2,85,6.011764705882353,650.0,202.79858823529412,0.16470588235294117
EDP-PT,LARES2,3,85,6.011764705882353,650.0,202.79932352941177,0.16470588235294117
EDP-PT,LARES2,4,85,6.011764705882353,650.0,202.7994117647059,0.16470588235294117
EDP-PT,LARES2,5,85,6.011764705882353,650.0,202.79735294117648,0.16470588235294117
EDP-PT,LARES2,6,85,6.141176470588236,650.0,160.73920588235293,0.03529411764705882
EDP-PT,LARES2,7,85,6.788235294117647,650.0,134.425,0.03529411764705882
EDP-PT,LARES2,8,85,6.788235294117647,650.0,134.4225588235294,0.03529411764705882
EDP-PT,LARES2,9,85,6.788235294117647,650.0,134.4225294117647,0.03529411764705882
EDP-PT,LARES2,10,85,6.788235294117647,650.0,134.42570588235293,0.047058823529411764
EDP-PT,LARES2,11,85,6.788235294117647,650.0,134.42458823529412,0.047058823529411764
EDP-PT,LARES2,12,85,6.788235294117647,650.0,134.4245,0.03529411764705882
