firm,tech,hour_class,n,share_price_only,share_qty_only,share_both,share_neither,mean_cv_p,mean_cv_q
EDP-PT,CCGT,critical,4639,0.011856003449019185,0.0,0.0,0.9881439965509808,0.0014215372449790404,0.0
EDP-PT,CCGT,flat,1266,0.054502369668246446,0.0,0.0,0.9454976303317536,0.005336878066140233,0.0
EDP-PT,CCGT,midday,1684,0.0,0.0,0.0,1.0,9.501078317480425e-05,0.0
EDP-PT,hydro,critical,6061,0.007094538854974426,0.008249463784853984,0.0023098498597591156,0.9823461475004125,0.0016899283276381844,0.0009647931679744252
EDP-PT,hydro,flat,1656,0.0030193236714975845,0.0,0.0,0.9969806763285024,0.00021076681166898515,3.2971252875131506e-18
EDP-PT,hydro,midday,2193,0.006383948928408573,0.00045599635202918376,0.0013679890560875513,0.9917920656634747,0.0016940682590018573,4.981531963068948e-05
EDP-PT,other,critical,503,0.0,1.0,0.0,0.0,0.0,0.4032028586690045
EDP-PT,other,midday,732,0.0,0.8155737704918032,0.0,0.18442622950819673,0.0,0.04570609608009445
Engie,CCGT,critical,2024,0.04990118577075099,0.11363636363636363,0.2554347826086957,0.5810276679841897,0.029856803927560432,0.03136148420386623
Engie,CCGT,flat,552,0.13949275362318841,0.0,0.0,0.8605072463768116,0.0017437154701204888,2.9981804743349413e-19
Engie,CCGT,midday,736,0.001358695652173913,0.004076086956521739,0.11548913043478261,0.8790760869565217,0.0020221318608621363,0.005600059450292633
Engie,hydro,critical,2024,0.0,0.0,0.0,1.0,0.0,0.0
Engie,hydro,flat,552,0.0,0.0,0.0,1.0,0.0,0.0
Engie,hydro,midday,736,0.0,0.0,0.0,1.0,0.0,0.0
Engie,solar,critical,2739,0.0007301935012778386,0.8382621394669587,0.1471339905074845,0.013873676524278934,0.016647490131046567,0.40043892316427343
Engie,solar,midday,4756,0.00672834314550042,0.7018502943650126,0.03952901597981497,0.251892346509672,0.0013152324893400688,0.04047202496465309
Engie,thermal_nonRE,critical,2710,0.0,0.008487084870848708,0.0,0.9915129151291513,0.0,0.0008273863098110184
Engie,thermal_nonRE,flat,748,0.0,0.001336898395721925,0.0,0.9986631016042781,0.0,6.597242434135774e-05
Engie,thermal_nonRE,midday,985,0.0,0.007106598984771574,0.0,0.9928934010152284,0.0,0.0002559390023236399
Engie,wind,critical,34855,0.08512408549705924,0.34844355185769615,0.345258929852245,0.22117343279299956,0.10676745549741742,0.050123636890418016
Engie,wind,flat,9546,0.08600460926042322,0.35742719463649697,0.3177247014456317,0.23884349465744814,0.0459513616583714,0.046521800795739
Engie,wind,midday,12483,0.06408715853560842,0.3477529440038452,0.3546423135464231,0.2335175839141232,0.10726251463785862,0.06151503086771299
GE,CCGT,critical,5195,0.005582290664100096,0.0,0.0,0.9944177093358999,0.001933683624116006,0.0
GE,CCGT,flat,1413,0.0,0.0,0.0,1.0,0.0,0.0
GE,CCGT,midday,1892,0.0005285412262156448,0.0,0.0,0.9994714587737844,8.186993436617755e-06,0.0
GE,hydro,critical,8222,0.0006081245439065921,0.11894916078812941,0.06677207492094381,0.8136706397470201,0.010508500473615422,0.028636699383542106
GE,hydro,flat,1860,0.001075268817204301,0.10967741935483871,0.060215053763440864,0.8290322580645161,0.00995093855318299,0.021786770893483784
GE,hydro,midday,2383,0.001258917331095258,0.11204364246747797,0.059588753671842215,0.8271086865295846,0.00656485370442519,0.02665527613727717
GE,nuclear,critical,2473,0.007682976142337242,0.007278608976951072,0.017792155276991507,0.9672462596037201,0.03858055841218417,0.01638167316910353
GE,nuclear,flat,672,0.002976190476190476,0.004464285714285714,0.005952380952380952,0.9866071428571429,0.0027575925696168933,0.0020576865783002874
GE,nuclear,midday,900,0.0022222222222222222,0.014444444444444444,0.008888888888888889,0.9744444444444444,0.006534529254712395,0.009129133966363478
GE,solar,critical,64,0.0,0.03125,0.0,0.96875,0.0,0.0125
GE,solar,midday,363,0.0,0.03305785123966942,0.0,0.9669421487603306,0.0,0.012112241253393552
GN,CCGT,critical,14930,0.23436034829202948,6.697923643670462e-05,0.00020093770931011386,0.7653717347622238,0.0898252811586731,3.360557929254289e-05
GN,CCGT,flat,4065,0.0004920049200492004,0.0,0.0,0.9995079950799508,1.1936983407902535e-05,2.0315670047774346e-20
GN,CCGT,midday,5432,0.02890279823269514,0.0,0.0,0.9710972017673049,0.002627256219562176,2.1404479083254344e-18
GN,hydro,critical,5002,0.0,0.00039984006397441024,0.00019992003198720512,0.9994002399040384,8.716562056910933e-05,0.00020622272925862868
GN,hydro,flat,1359,0.0,0.0,0.0,1.0,1.5629062757684007e-05,3.856741932325413e-05
GN,hydro,midday,1777,0.0,0.0,0.0,1.0,3.0303284976272978e-05,3.2076600601898594e-05
GN,solar,critical,1594,0.0,0.1468005018820577,0.0,0.8531994981179423,4.558945176905695e-18,0.02090826888694456
GN,solar,flat,411,0.0,0.0,0.0,1.0,0.0,0.0
GN,solar,midday,972,0.0,0.25823045267489714,0.0,0.7417695473251029,1.1860480946760398e-17,0.036871059915049124
GN,thermal_nonRE,critical,2008,0.0,0.0,0.0,1.0,0.0,0.0
GN,thermal_nonRE,flat,549,0.0,0.0,0.0,1.0,0.0,0.0
GN,thermal_nonRE,midday,725,0.0,0.0,0.0,1.0,0.0,0.0
GN,wind,critical,4152,0.05973025048169557,0.4682080924855491,0.22326589595375723,0.24879576107899806,0.03162828373791832,0.04224683959851212
GN,wind,flat,1159,0.06816220880069025,0.4883520276100086,0.22605694564279552,0.21742881794650562,0.029476183146060344,0.04944011689637584
GN,wind,midday,1511,0.04037061548643282,0.4956982131039047,0.2528127068166777,0.21111846459298478,0.03983627456391308,0.0514046843315467
HC,CCGT,critical,2013,0.0004967709885742673,0.0,0.0,0.9995032290114257,0.0003007780464341049,0.0
HC,CCGT,flat,549,0.0,0.0,0.0,1.0,1.4090644389803624e-05,0.0
HC,CCGT,midday,732,0.0,0.0,0.0,1.0,0.0,0.0
HC,hydro,critical,1936,0.0,0.0,0.0,1.0,0.0,0.0
HC,hydro,flat,528,0.0,0.0,0.0,1.0,0.0,0.0
HC,hydro,midday,705,0.0,0.0,0.0,1.0,0.0,0.0
HC,other,critical,2285,0.0,0.45426695842450765,0.0,0.5457330415754923,2.14594755975844e-18,0.06358691376304794
HC,other,flat,561,0.0,0.3850267379679144,0.0,0.6149732620320856,0.0,0.016155506397625082
HC,other,midday,1116,0.0,0.5259856630824373,0.0,0.47401433691756273,1.2493651765510682e-17,0.04339986820391654
HC,solar,critical,325,0.003076923076923077,0.27692307692307694,0.6738461538461539,0.046153846153846156,0.041319522047401414,0.5217968568919393
HC,solar,midday,368,0.18478260869565216,0.42391304347826086,0.18478260869565216,0.20652173913043478,0.009034175956754327,0.01717379613485498
HC,thermal_nonRE,critical,665,0.0,0.0,0.0,1.0,0.0,0.0
HC,thermal_nonRE,flat,181,0.0,0.0,0.0,1.0,0.0,0.0
HC,thermal_nonRE,midday,236,0.0,0.0,0.0,1.0,0.0,0.0
