parent,hour,n_obs,mech_full,mech_price,mech_qty
IB,20,711,0.9985935302390999,0.9985935302390999,0.9985935302390999
IB,21,711,1.0,1.0,1.0
IB,22,711,0.9985935302390999,0.9985935302390999,0.9985935302390999
IB,23,712,0.9985955056179775,0.9985955056179775,0.9985955056179775
Other-fringe-CCGT,0,550,0.8,0.9945454545454545,0.8018181818181818
Other-fringe-CCGT,1,544,0.8216911764705882,0.9908088235294118,0.8235294117647058
Other-fringe-CCGT,2,540,0.8407407407407408,0.9962962962962963,0.8425925925925926
Other-fringe-CCGT,3,538,0.8513011152416357,0.9962825278810409,0.8513011152416357
Other-fringe-CCGT,4,618,0.7443365695792881,0.8705501618122977,0.7443365695792881
Other-fringe-CCGT,5,618,0.7443365695792881,0.9919093851132686,0.7459546925566343
Other-fringe-CCGT,6,873,0.7216494845360825,0.9805269186712485,0.7216494845360825
Other-fringe-CCGT,7,928,0.6993534482758621,0.9612068965517241,0.6993534482758621
Other-fringe-CCGT,8,932,0.6856223175965666,0.990343347639485,0.6856223175965666
Other-fringe-CCGT,9,915,0.774863387978142,0.9628415300546448,0.774863387978142
Other-fringe-CCGT,10,892,0.6939461883408071,0.9854260089686099,0.6939461883408071
Other-fringe-CCGT,11,888,0.7150900900900901,0.8029279279279279,0.7150900900900901
Other-fringe-CCGT,12,888,0.8141891891891891,0.9977477477477478,0.8141891891891891
Other-fringe-CCGT,13,888,0.8051801801801802,0.9864864864864865,0.8051801801801802
Other-fringe-CCGT,14,890,0.8,0.9786516853932584,0.8
Other-fringe-CCGT,15,894,0.732662192393736,0.9138702460850112,0.732662192393736
Other-fringe-CCGT,16,928,0.6734913793103449,0.9547413793103449,0.6734913793103449
Other-fringe-CCGT,17,994,0.6327967806841046,0.9688128772635815,0.6327967806841046
Other-fringe-CCGT,18,1082,0.7818853974121996,0.9852125693160814,0.7818853974121996
Other-fringe-CCGT,19,1165,0.7399141630901288,0.9957081545064378,0.7399141630901288
Other-fringe-CCGT,20,1174,0.7572402044293015,0.9940374787052811,0.7572402044293015
Other-fringe-CCGT,21,1127,0.7861579414374446,0.9911268855368234,0.7861579414374446
Other-fringe-CCGT,22,1040,0.7846153846153846,0.9769230769230769,0.7846153846153846
Other-fringe-CCGT,23,938,0.8049040511727079,0.9712153518123667,0.8049040511727079
