firm_class,POST_2025_MTU15,PRE_2024_MTU60
EDP-PT,6.68,6.56
Engie,6.01,7.0
GE,2.0,2.94
GN,11.06,12.05
HC,6.0,5.96
IB,10.18,10.16
Moeve,2.49,2.0
TotalEnergies,1.74,2.56
