firm_class,POST_2025_MTU15,PRE_2024_MTU60
EDP-PT,147.1,179.7
Engie,146.8,98.6
GE,1014.7,585.1
GN,222.3,176.6
HC,106.4,114.2
IB,129.8,159.1
Moeve,333.4,300.5
TotalEnergies,356.8,148.5
