parent,year_month,critical_h18_22,flat_h3_5,other,crit_minus_flat
Engie,2024-01-01,88.60625,125.0,90.25952380952381,-36.39375
Engie,2024-02-01,79.52777777777777,17.0,53.07083333333333,62.52777777777777
Engie,2024-03-01,73.69999999999999,29.363636363636363,34.52089552238806,44.33636363636363
Engie,2024-04-01,50.355555555555554,26.11764705882353,21.346153846153847,24.237908496732025
Engie,2024-05-01,62.0,,38.945454545454545,
Engie,2024-06-01,54.67142857142857,119.27999999999999,49.75151515151515,-64.60857142857142
Engie,2024-07-01,41.3125,42.31153846153846,15.922972972972973,-0.9990384615384613
Engie,2024-08-01,39.03,-42.17142857142858,-0.6937499999999996,81.20142857142858
Engie,2024-09-01,64.41176470588235,16.0,19.433333333333334,48.41176470588235
Engie,2024-10-01,64.64666666666668,,51.693939393939395,
Engie,2024-11-01,125.02391304347827,39.0,76.945,86.02391304347827
Engie,2024-12-01,119.60961538461538,62.190909090909095,57.45402298850575,57.418706293706286
Engie,2025-01-01,50.57142857142857,53.42857142857143,66.5025641025641,-2.857142857142861
Engie,2025-02-01,109.0,40.81818181818182,69.3,68.18181818181819
Engie,2025-03-01,69.16666666666667,44.0,45.05,25.16666666666667
Engie,2025-04-01,19.78653846153846,,18.28666666666667,
Engie,2025-05-01,9.569565217391304,,5.458823529411765,
Engie,2025-06-01,20.34008620689655,13.086538461538462,16.256382978723405,7.253547745358089
Engie,2025-07-01,32.975247524752476,28.9359375,6.0396875,4.039310024752474
Engie,2025-08-01,26.043526785714285,22.032142857142855,19.887569832402235,4.01138392857143
Engie,2025-09-01,27.368181818181817,41.35,28.946311475409836,-13.981818181818184
Engie,2025-10-01,35.314549180327866,22.128125,30.75525362318841,13.186424180327865
Engie,2025-11-01,21.0,10.87142857142857,20.367957746478872,10.12857142857143
Engie,2025-12-01,29.546134868421053,31.25,21.508566433566433,-1.7038651315789473
GE,2024-01-01,17.75049019607843,62.809356725146195,63.2497442455243,-45.058866529067764
GE,2024-02-01,43.426956521739136,58.06382978723404,54.340096618357485,-14.636873265494906
GE,2024-03-01,44.745384615384616,23.451162790697673,31.952525252525252,21.294221824686943
GE,2024-04-01,22.66896551724138,27.674489795918365,25.802012072434607,-5.005524278676987
