parent,year_month,critical,flat,diff
Engie,2024-01-01,-0.12797098197591789,-0.42404242781378876,0.2960714458378709
Engie,2024-02-01,-0.01140912730184115,-0.5418419375398343,0.5304328102379932
Engie,2024-03-01,-0.168519476679725,-0.7904820766378242,0.6219625999580992
Engie,2024-04-01,-1.1700535654502868,-1.6845667534399398,0.514513187989653
Engie,2024-05-01,-0.35879610004239093,-0.608369283865401,0.24957318382301008
Engie,2024-06-01,-0.06353078664816295,0.024314660309892978,-0.08784544695805592
Engie,2024-07-01,-0.14736763274170586,-0.2940840840840838,0.14671645134237796
Engie,2024-08-01,0.14558790340780883,0.06591463414634142,0.07967326926146741
Engie,2024-09-01,-0.04052870326920062,-0.3282878411910666,0.28775913792186597
Engie,2024-10-01,0.054500073410659204,-0.18705491852745929,0.2415549919381185
Engie,2024-11-01,0.8995213731638899,-0.5881829733163911,1.487704346480281
Engie,2024-12-01,1.1065396668316017,-0.40120259019426446,1.507742257025866
Engie,2025-01-01,-0.094641112363773,-0.29624888359630847,0.20160777123253548
Engie,2025-02-01,-0.48745863666446076,-1.149866844207723,0.6624082075432621
Engie,2025-03-01,-0.5604136303699073,-0.9326511694238441,0.37223753905393675
Engie,2025-04-01,-0.875900851313667,-0.8948988831874426,0.018998031873775578
Engie,2025-05-01,-0.8223304242940258,-1.158608112051357,0.33627768775733113
Engie,2025-06-01,-0.7490338003851503,-0.9254636337293541,0.1764298333442038
Engie,2025-07-01,-0.24197764884288275,-0.3005068532267277,0.05852920438384496
Engie,2025-08-01,-0.3421238714565315,-0.22744811069717932,-0.11467576075935218
Engie,2025-09-01,-1.1140459716585702,-0.7997248968363139,-0.31432107482225635
Engie,2025-10-01,-0.29568081991215184,-0.9710390355912742,0.6753582156791225
Engie,2025-11-01,-0.8972826086956518,-1.1265068096204003,0.2292242009247485
Engie,2025-12-01,0.004381621771345942,-0.6402380952380952,0.6446197170094411
Engie,2026-01-01,-0.32914452709883085,1.221940928270042,-1.5510854553688729
GE,2024-01-01,-4.498733642887298,12.14456721915285,-16.64330086204015
GE,2024-02-01,-1.720349309504469,9.827508090614883,-11.547857400119351
GE,2024-03-01,12.235446009389666,29.00987261146497,-16.774426602075305
GE,2024-04-01,7.379970544919001,39.60834248079035,-32.22837193587135
GE,2024-05-01,5.824534360950546,32.785532994923855,-26.96099863397331
GE,2024-06-01,16.73521386430679,28.357720057720048,-11.622506193413258
GE,2024-07-01,7.92844500632111,15.907665505226477,-7.979220498905367
GE,2024-08-01,13.415870153291259,12.147894736842106,1.2679754164491523
GE,2024-09-01,12.697742363877827,16.285741444866918,-3.587999080989091
GE,2024-10-01,14.155049354593771,17.537643678160922,-3.382594323567151
GE,2024-11-01,16.313194210703465,32.051004016064255,-15.73780980536079
GE,2024-12-01,13.421933621933624,27.880571428571425,-14.458637806637801
GE,2025-01-01,9.796327683615823,20.463893016344716,-10.667565332728893
GE,2025-02-01,5.359819510098841,10.490636042402825,-5.130816532303983
GE,2025-03-01,10.834699405802182,38.44247076023392,-27.607771354431733
GE,2025-04-01,17.806417311124324,42.50046068796069,-24.694043376836365
GE,2025-05-01,9.055996049661395,25.292080045095826,-16.23608399543443
GE,2025-06-01,-7.12532608695652,-1.235845986984815,-5.8894800999717045
GE,2025-07-01,4.317525547445258,5.96462544589774,-1.647099898452482
GE,2025-08-01,9.768262632563937,9.628540372670807,0.13972225989313003
GE,2025-09-01,24.42285113386978,26.133042488619125,-1.7101913547493446
GE,2025-10-01,8.720294117647061,14.17969465648855,-5.459400538841489
GE,2025-11-01,7.455941631731702,10.246940194714881,-2.7909985629831793
GE,2025-12-01,14.42397412441192,19.016645649432537,-4.5926715250206165
GE,2026-01-01,32.56783707865168,29.119767441860468,3.4480696367912103
GN,2024-01-01,10.14224798178431,-1.0551107325383315,11.197358714322641
GN,2024-02-01,9.861679174484054,1.1172043010752704,8.744474873408784
GN,2024-03-01,7.267270833333328,2.874870466321244,4.392400367012083
GN,2024-04-01,10.268551491819053,5.75095095095095,4.517600540868103
GN,2024-05-01,4.550562991289568,3.9333333333333345,0.6172296579562335
GN,2024-06-01,6.137556973564269,8.948767605633805,-2.8112106320695354
GN,2024-07-01,7.460969560315668,13.964199655765922,-6.503230095450254
GN,2024-08-01,8.683590170762187,13.483274336283188,-4.7996841655210005
GN,2024-09-01,7.649452672247265,3.9731638418079096,3.6762888304393555
GN,2024-10-01,9.355605001059542,2.3080659945004576,7.047539006559084
GN,2024-11-01,13.29365008880994,11.262822719449229,2.0308273693607113
GN,2024-12-01,12.11595702347791,17.07815063385533,-4.962193610377421
GN,2025-01-01,10.271776564468713,5.472424722662439,4.799351841806273
GN,2025-02-01,11.043001760563383,6.068101933216171,4.974899827347212
GN,2025-03-01,8.922167988610939,4.312956204379562,4.609211784231377
GN,2025-04-01,6.2610647496480984,4.134281437125748,2.1267833125223508
