tech_group,year_month,critical,flat,diff
Biomass,2024-01-01,82.02516022761306,52.20660361134995,29.81855661626311
Biomass,2024-02-01,56.71017626321975,43.544289693593306,13.165886569626444
Biomass,2024-03-01,42.36317335243554,16.36038781163435,26.002785540801188
Biomass,2024-04-01,26.403241286863263,18.85383495145631,7.549406335406953
Biomass,2024-05-01,36.72307243963365,35.70809411764706,1.0149783219865895
Biomass,2024-06-01,74.79306624452022,76.45195281782438,-1.6588865733041587
Biomass,2024-07-01,43.32331024930748,87.5042727272727,-44.180962477965224
Biomass,2024-08-01,97.1221471589421,102.141689119171,-5.019541960228906
Biomass,2024-09-01,69.444332129964,63.05122052704574,6.393111602918253
Biomass,2024-10-01,63.72076430572228,43.97634992458521,19.74441438113707
Biomass,2024-11-01,78.95360876897135,38.686347031963464,40.267261737007885
Biomass,2024-12-01,64.81936245572606,66.43610586011344,-1.6167434043873783
Biomass,2025-01-01,62.603124673969724,64.44924276169266,-1.8461180877229353
Biomass,2025-02-01,95.09640980735553,93.16796511627909,1.928444691076436
Biomass,2025-03-01,37.52038284717819,36.12579055912009,1.3945922880580994
Biomass,2025-04-01,15.712992395018187,20.940105893186008,-5.227113498167821
Biomass,2025-05-01,9.708976874562026,11.557417695473244,-1.8484408209112182
Biomass,2025-06-01,63.65998149671064,68.37345430107528,-4.713472804364642
Biomass,2025-07-01,51.45170000000004,63.478129921259864,-12.026429921259826
Biomass,2025-08-01,60.10619695756609,94.68186274509803,-34.57566578753194
Biomass,2025-09-01,51.67873824017717,65.30039583333333,-13.621657593156158
Biomass,2025-10-01,74.18435705045273,51.65331134564641,22.531045704806324
Biomass,2025-11-01,73.11473652591832,47.477249608763714,25.637486917154604
Biomass,2025-12-01,81.17036790123468,61.808947527141136,19.361420374093548
CCGT,2024-01-01,88.17367860959727,62.758217687909614,25.41546092168766
CCGT,2024-02-01,60.031956944412336,39.767841082038224,20.264115862374112
CCGT,2024-03-01,53.528022704989404,29.348846934488403,24.179175770501
CCGT,2024-04-01,29.184228055780984,14.752405236758419,14.431822819022566
CCGT,2024-05-01,50.01361086836871,38.16075370891568,11.85285715945303
CCGT,2024-06-01,83.2321854476989,83.39966561202871,-0.16748016432981672
CCGT,2024-07-01,91.86560210275154,94.28425592129516,-2.4186538185436177
CCGT,2024-08-01,108.64551514884138,105.08812440856249,3.5573907402788905
CCGT,2024-09-01,97.16451472407914,94.29487841273779,2.8696363113413526
CCGT,2024-10-01,91.9177190729262,63.44714328616113,28.470575786765075
CCGT,2024-11-01,125.74927038695348,104.63249701250002,21.11677337445346
CCGT,2024-12-01,133.93155318998552,110.09204579428803,23.839507395697495
CCGT,2025-01-01,131.021143437134,104.45387305262896,26.567270384505022
CCGT,2025-02-01,135.20905436699178,106.48832464454192,28.72072972244986
CCGT,2025-03-01,89.9239923402987,52.29886768545005,37.62512465484865
CCGT,2025-04-01,58.582254389074265,31.341681250906728,27.240573138167537
CCGT,2025-05-01,43.47269156027989,25.365993748323174,18.106697811956717
CCGT,2025-06-01,106.4773453852957,107.87736350494889,-1.4000181196531827
CCGT,2025-07-01,99.13859764890583,105.0498329269822,-5.911235278076376
CCGT,2025-08-01,100.67464303334569,100.83015853412098,-0.1555155007752944
CCGT,2025-09-01,95.95422089512364,88.39407689085725,7.560144004266391
CCGT,2025-10-01,100.18779488700548,92.90989632009476,7.2778985669107215
CCGT,2025-11-01,90.76768746235415,72.07873251824843,18.688954944105717
CCGT,2025-12-01,92.34412512477854,75.19517959663445,17.148945528144097
Coal,2024-01-01,79.23621005312627,66.51425364758698,12.721956405539288
Coal,2024-02-01,67.6,58.83377173913044,8.766228260869553
Coal,2024-09-01,93.11116952424207,77.78520634920635,15.325963175035724
Coal,2024-10-01,59.7742945186292,64.35459472422062,-4.580300205591421
Coal,2024-11-01,122.41988167475729,106.3494651916142,16.07041648314309
Coal,2024-12-01,151.30078142886634,105.79223775981124,45.5085436690551
Coal,2025-01-01,143.36657486002304,105.17780884527491,38.188766014748126
Coal,2025-02-01,139.80399189028813,116.23774973711882,23.566242153169313
Coal,2025-03-01,63.48764687744183,36.63587936070361,26.85176751673822
Coal,2025-04-01,37.24739814244486,14.352528640585069,22.894869501859787
Coal,2025-05-01,13.037268993288592,17.36218694096601,-4.324917947677417
Coal,2025-06-01,100.03021038884569,110.96828590750663,-10.938075518660938
Coal,2025-07-01,91.50279921896988,111.6444498777506,-20.14165065878072
Coal,2025-09-01,43.595205807986915,107.75750000000001,-64.16229419201309
Coal,2025-10-01,104.9878034865293,107.02499205929064,-2.0371885727613375
