parent,year_month,critical,flat,diff
Engie,2024-01-01,84.98340580817671,58.10041072545367,26.882995082723042
Engie,2024-02-01,49.39375755521994,33.82926637891835,15.564491176301594
Engie,2024-03-01,26.56990259285433,12.289052645095088,14.280849947759242
Engie,2024-04-01,16.853498061936687,10.60430444547204,6.249193616464646
Engie,2024-05-01,34.99300344098497,40.17028292155821,-5.17727948057324
Engie,2024-06-01,64.05726538814116,71.92476900766513,-7.867503619523973
Engie,2024-07-01,80.37488292992109,89.86977778111903,-9.494894851197941
Engie,2024-08-01,97.1814574912623,96.45968575821651,0.7217717330457845
Engie,2024-09-01,83.17533510456664,79.89224898322281,3.2830861213438283
Engie,2024-10-01,80.35339357999302,60.242743106463315,20.11065047352971
Engie,2024-11-01,125.38520929524981,92.43161135388378,32.95359794136603
Engie,2024-12-01,132.1580987320179,95.93784778628132,36.22025094573657
Engie,2025-01-01,111.54898339283753,76.72974985681803,34.819233536019496
Engie,2025-02-01,133.46082189581406,102.09745975645971,31.36336213935435
Engie,2025-03-01,69.08374212671912,40.192182330356054,28.89155979636306
Engie,2025-04-01,34.505857439269185,20.109855255382335,14.39600218388685
Engie,2025-05-01,26.046655099208508,22.36456115710313,3.6820939421053787
Engie,2025-06-01,86.00382327120192,95.23075371284202,-9.226930441640093
Engie,2025-07-01,79.15230676812175,88.72123316980068,-9.568926401678937
Engie,2025-08-01,86.60402781862028,91.09491410814907,-4.490886289528788
Engie,2025-09-01,78.27778995034869,68.12396622205584,10.15382372829285
Engie,2025-10-01,85.7030103648401,70.41331014832511,15.289700216514987
Engie,2025-11-01,74.45115056691888,46.45217496355082,27.998975603368066
Engie,2025-12-01,87.55679229489729,65.86571876621515,21.69107352868214
GE,2024-01-01,80.01077449481346,49.07774599183896,30.9330285029745
GE,2024-02-01,40.26166798143797,27.808211769357968,12.453456212079999
GE,2024-03-01,16.288901599603605,5.942504374436542,10.346397225167063
GE,2024-04-01,11.373361302124943,3.4750556313804335,7.898305670744509
GE,2024-05-01,30.83491501746222,27.034201029984256,3.8007139874779625
GE,2024-06-01,47.66349139060255,53.32473132518229,-5.66123993457974
GE,2024-07-01,77.59754427892663,87.661384375949,-10.063840097022364
GE,2024-08-01,102.31075972917976,99.11021201413426,3.200547715045502
GE,2024-09-01,91.28508702130445,83.78495114641886,7.500135874885586
GE,2024-10-01,85.01066223678906,60.6468799903944,24.363782246394656
GE,2024-11-01,115.43210627433473,87.43511135957452,27.996994914760208
GE,2024-12-01,124.16206836534325,103.26702113215323,20.895047233190013
GE,2025-01-01,110.60200285559624,91.77310302176892,18.82889983382732
GE,2025-02-01,137.66128787395047,108.42490881256062,29.236379061389854
GE,2025-03-01,40.66057772271225,12.092257876250441,28.568319846461804
GE,2025-04-01,20.19453363115025,13.627294604165812,6.5672390269844385
GE,2025-05-01,23.20067317199276,14.922058753744516,8.278614418248246
GE,2025-06-01,94.59198342518869,105.9247732600188,-11.332789834830109
GE,2025-07-01,90.15861671446179,92.60693352442912,-2.448316809967338
GE,2025-08-01,92.17763239551283,91.81680953378786,0.36082286172496936
GE,2025-09-01,87.56600786052323,71.79367778483031,15.77233007569292
GE,2025-10-01,93.25522547210758,69.00372029291823,24.25150517918935
GE,2025-11-01,83.5731946295417,53.37007374937101,30.203120880170694
GE,2025-12-01,91.21819355652391,64.10776105579755,27.11043250072636
GN,2024-01-01,83.70936508057387,59.42231931386078,24.287045766713092
GN,2024-02-01,60.72160959091577,39.858295068082896,20.863314522832873
GN,2024-03-01,31.776644252118995,13.188252254640304,18.58839199747869
GN,2024-04-01,24.005022355133352,13.995731754295855,10.009290600837497
GN,2024-05-01,41.370693576625584,45.42608469962652,-4.055391123000938
GN,2024-06-01,67.02124860645803,73.03177748611334,-6.010528879655311
GN,2024-07-01,80.78127244909518,92.2669626140654,-11.485690164970222
GN,2024-08-01,96.07171431671142,104.22932505774293,-8.157610741031505
GN,2024-09-01,83.8259938085497,88.40019090871999,-4.574197100170295
GN,2024-10-01,80.59708608827881,57.41365395100265,23.183432137276164
GN,2024-11-01,117.81685249528067,95.9835670156315,21.833285479649177
GN,2024-12-01,127.58823322728965,103.35286320676875,24.235370020520904
GN,2025-01-01,115.63267192137648,81.0969868380572,34.53568508331928
GN,2025-02-01,123.23250335539788,98.52062821032487,24.71187514507301
GN,2025-03-01,69.5585718343289,39.623603066481344,29.934968767847558
GN,2025-04-01,39.50570693769126,25.325782719300573,14.179924218390685
GN,2025-05-01,34.788702594111605,22.33038623035524,12.458316363756364
GN,2025-06-01,94.8459701259253,103.79477400873901,-8.948803882813706
GN,2025-07-01,83.29268161141177,99.08910619978259,-15.796424588370826
GN,2025-08-01,88.24391842293554,95.74581676486541,-7.5018983419298735
GN,2025-09-01,79.85151613420884,83.01096970734231,-3.159453573133476
GN,2025-10-01,91.97625612398372,85.76653410468937,6.209722019294347
GN,2025-11-01,83.98238911722636,57.91382202122355,26.06856709600281
GN,2025-12-01,87.97362520545947,63.81984588991637,24.153779315543098
HC,2024-01-01,81.96938862019698,56.49300312922266,25.476385490974323
HC,2024-02-01,48.136026438927885,31.981785045657727,16.15424139327016
HC,2024-03-01,28.12409603589723,8.969420790017258,19.15467524587997
HC,2024-04-01,17.370434317173856,8.447523303728598,8.922911013445258
HC,2024-05-01,33.523095318344176,34.82497537526415,-1.3018800569199769
HC,2024-06-01,64.03364921337537,71.83237411780678,-7.79872490443141
HC,2024-07-01,84.21941236671553,90.90006312153874,-6.680650754823205
HC,2024-08-01,103.21409820728677,103.03959759571649,0.17450061157028074
HC,2024-09-01,82.47843743228829,75.94603651016968,6.532400922118612
HC,2024-10-01,85.0605046080415,63.4591673667955,21.601337241246
HC,2024-11-01,127.99645923055463,102.05078211749148,25.945677113063155
HC,2024-12-01,137.34972591465558,98.97587015133067,38.37385576332491
HC,2025-01-01,121.97504015070986,85.01414002980016,36.9609001209097
HC,2025-02-01,127.94039900641158,105.70244400099075,22.23795500542083
HC,2025-03-01,61.545424727888744,34.59950592830032,26.945918799588426
HC,2025-04-01,31.73991299891003,22.568576938864876,9.171336060045153
HC,2025-05-01,18.896197153522134,21.171090324251086,-2.2748931707289515
HC,2025-06-01,92.56232765070548,99.63743186111462,-7.075104210409137
HC,2025-07-01,81.14051353135964,90.29537205177083,-9.154858520411182
HC,2025-08-01,86.69343522899811,91.88762716348562,-5.194191934487506
HC,2025-09-01,71.5580864155286,77.12497518596379,-5.566888770435185
HC,2025-10-01,93.76458455474142,86.99113339558605,6.773451159155371
HC,2025-11-01,80.96668657177464,62.99244637696475,17.974240194809894
HC,2025-12-01,89.60188818368881,70.05680191023308,19.545086273455738
IB,2024-01-01,80.28327254820746,53.009855078668515,27.27341746953895
IB,2024-02-01,34.39012918984433,22.679285394359564,11.710843795484767
IB,2024-03-01,17.41472790219623,5.449557538441208,11.965170363755021
IB,2024-04-01,11.126678422998413,5.890981532600222,5.2356968903981915
IB,2024-05-01,20.69608684749826,32.7551334287469,-12.05904658124864
IB,2024-06-01,46.7529053998879,62.37864639533068,-15.625740995442776
IB,2024-07-01,73.28065048448013,84.22411054928617,-10.943460064806033
IB,2024-08-01,90.56150967143797,102.1271810258608,-11.565671354422832
IB,2024-09-01,79.84627714963993,79.37548995536066,0.47078719427926785
IB,2024-10-01,75.64461253272337,61.08789350541247,14.556719027310905
IB,2024-11-01,110.90102332769301,80.18283174207616,30.71819158561685
IB,2024-12-01,120.28814238864801,95.87079055168375,24.417351836964258
IB,2025-01-01,108.6041324351962,65.97773440302026,42.62639803217594
