parent,year_month,critical,flat
Engie,2024-01-01,-1.3787910211361174,0.4335764629221139
Engie,2024-02-01,0.883379944888635,-0.5425517632233526
Engie,2024-03-01,-2.586745059058225,-1.8153145115272702
Engie,2024-04-01,-8.706214520430825,-9.640476727628895
Engie,2024-05-01,-0.9696928705105513,-1.2145167612535346
Engie,2024-06-01,0.7834146467857882,1.4951701545948892
Engie,2024-07-01,-0.20806768032274975,0.27444042037054506
Engie,2024-08-01,0.2972755984368922,-0.3140668503467495
Engie,2024-09-01,-0.12814629152763704,-1.4678942264663748
Engie,2024-10-01,0.42916721097983007,0.1843460982172947
Engie,2024-11-01,-0.6705130018692691,-0.4727005437903166
Engie,2024-12-01,-1.4105581637822204,-0.5058526633444552
Engie,2025-01-01,-0.4113619186942051,0.01932836527425911
Engie,2025-02-01,-8.685751075175757,-7.147731846240433
Engie,2025-03-01,-3.994012298975225,-3.958185041408184
Engie,2025-04-01,-7.052993831336654,-4.100715361079594
Engie,2025-05-01,-6.916003994796433,-8.50033525236656
Engie,2025-06-01,-8.280122747479624,-11.122834067800376
Engie,2025-07-01,-2.7265276362973134,-3.8918433946897584
Engie,2025-08-01,-6.258489068915013,-6.461135982533515
Engie,2025-09-01,-12.091192821658005,-8.623617356865124
Engie,2025-10-01,-9.306135147527183,-11.716232117007737
Engie,2025-11-01,-8.600663807489841,-8.455661766708028
Engie,2025-12-01,-4.711357255497503,-7.5640518360808064
Engie,2026-01-01,-2.612354183371217,2.6971123577015343
GE,2024-01-01,-40.54546676300387,-5.911983408145538
GE,2024-02-01,-0.982743839548119,-0.791299896333041
GE,2024-03-01,-6.147803315909382,-9.64791616238347
GE,2024-04-01,-6.144401508489573,-6.5398308024894645
GE,2024-05-01,-2.110703477214,4.614095291904895
GE,2024-06-01,-0.059480613193877284,-0.35079482562957637
GE,2024-07-01,2.300366318548109,0.9950569041005243
GE,2024-08-01,2.6444919817009507,0.4066736403769146
GE,2024-09-01,5.493894988369979,2.9537476702540824
GE,2024-10-01,5.904047729148427,-0.057203658210629865
GE,2024-11-01,2.226587823806976,7.442807338989333
GE,2024-12-01,0.9579541070001018,1.9356559517144258
GE,2025-01-01,2.2148879733990188,5.659751412500229
GE,2025-02-01,0.02224984248537778,7.433482250199611
GE,2025-03-01,-0.034197168445164704,-1.4147995071490873
GE,2025-04-01,-3.1373779644479876,3.159752396853059
GE,2025-05-01,3.0140872364668008,5.1086250918042175
GE,2025-06-01,-3.718840683463626,-6.602565726983604
GE,2025-07-01,-2.3877282215346445,1.7461913958492334
GE,2025-08-01,-2.9489641164654308,-2.524627246989351
GE,2025-09-01,1.3879089372927311,3.7116961117611162
GE,2025-10-01,0.5783855055452575,0.6301640374913678
GE,2025-11-01,-3.192714334865176,-1.5366481579245135
GE,2025-12-01,-2.135278914418632,1.1200505363697444
GE,2026-01-01,-0.4825232647233415,0.5492834128020473
GN,2024-01-01,1.1504272022652267,-5.843995842532582
GN,2024-02-01,0.07738793701875116,-5.29416139252305
GN,2024-03-01,-8.103353607382743,-3.4122615635741034
GN,2024-04-01,-2.075095775442231,5.600197192212248
GN,2024-05-01,-6.516958552115228,-5.211380545919472
GN,2024-06-01,-1.8568404006189247,-4.357521556189576
GN,2024-07-01,-5.06917653800881,-8.350231518090162
GN,2024-08-01,-2.477904690580745,-6.378017815406869
GN,2024-09-01,2.4785134129580517,-6.284775229322937
GN,2024-10-01,9.9957226960926,4.166543774361461
GN,2024-11-01,12.873072240765962,-0.5741374946048338
GN,2024-12-01,11.302526773745464,0.9105126948070299
GN,2025-01-01,6.505319533839271,0.28336021536608297
GN,2025-02-01,10.627137243897259,-5.473309894617308
GN,2025-03-01,12.317809531726482,1.0058122392354711
GN,2025-04-01,9.946205711530673,-2.124480598670201
GN,2025-05-01,8.596340352705484,2.183888373985007
GN,2025-06-01,15.451119790728521,6.965764303298594
GN,2025-07-01,3.9835970369094365,-5.52317057851732
GN,2025-08-01,4.281045483464954,-1.302864720340619
GN,2025-09-01,14.005562112401474,7.130952388659352
GN,2025-10-01,9.52638093562576,5.036506523637318
GN,2025-11-01,10.073493075184546,1.3442400021241594
GN,2025-12-01,6.051995088967288,6.837735467022063
GN,2026-01-01,0.4722495573394495,0.21008066938302905
HC,2024-01-01,5.345161192508292,1.5631268492582118
HC,2024-02-01,0.5754872957936965,0.5704760947141154
