parent,year_month,critical,flat
HC,2024-03-01,-3.9403528583862215,-2.6479022147392324
HC,2024-04-01,19.065071807397317,6.645803485381444
HC,2024-05-01,4.348852457729295,-1.6464189638062707
HC,2024-06-01,7.08720360791907,0.1517051602468644
HC,2024-07-01,-0.9002912505499023,-2.709183913800797
HC,2024-08-01,-0.1895629590821893,-1.6587149826583965
HC,2024-09-01,2.825173433016936,1.4592190239783094
HC,2024-10-01,7.010220712375406,3.299239078875121
HC,2024-11-01,1.8151612073061867,-2.458894933120809
HC,2024-12-01,7.61918605988882,0.07254145919475068
HC,2025-01-01,2.1276833899734693,1.1349500012119662
HC,2025-02-01,9.037639210156826,3.007644489975959
HC,2025-03-01,1.0565966158429143,-1.7032715241363803
HC,2025-04-01,12.699202086269121,-0.7901349523837877
HC,2025-05-01,43.07006374522633,-2.4712796787044486
HC,2025-06-01,13.882923149260556,2.5884627623005465
HC,2025-07-01,1.006608510652772,-3.1708583513911153
HC,2025-08-01,3.8442050220204242,-1.628711369179173
HC,2025-09-01,7.7690185086068,-1.9026450174066005
HC,2025-10-01,11.488837778371742,-0.4351864819431926
HC,2025-11-01,7.908677031796249,2.575596617409688
HC,2025-12-01,3.760228669973012,-1.5723743977784923
HC,2026-01-01,-1.8242304634029318,-0.7631522917405258
IB,2024-01-01,1.2924135566556687,7.626179223330385
IB,2024-02-01,-5.13523915766681,3.52891859084055
IB,2024-03-01,13.283483219298526,16.85398954754658
IB,2024-04-01,24.860538909782772,21.207835205629337
IB,2024-05-01,12.326657405780328,7.796431705457963
IB,2024-06-01,16.047893469120897,0.6973922354508656
IB,2024-07-01,3.1993689863959665,13.062583046330216
IB,2024-08-01,6.109066925522999,15.766081702518248
IB,2024-09-01,7.86714866791143,2.4224426762161184
IB,2024-10-01,-0.02775039750467689,0.38076671856592564
IB,2024-11-01,10.436474412724715,19.32810460803151
IB,2024-12-01,-6.873014446652604,5.620301849988766
IB,2025-01-01,-9.640919233692072,2.2749624008219196
IB,2025-02-01,4.267826153943423,5.930549282139281
IB,2025-03-01,2.863651333386792,0.5405194394424152
IB,2025-04-01,0.699159212630712,4.881106730219699
IB,2025-05-01,4.774972735234478,4.328182311082178
IB,2025-06-01,-20.417774563815204,-44.439414773382076
IB,2025-07-01,-5.429136041828946,3.445396647372995
IB,2025-08-01,1.7748892075122455,14.878507335723935
IB,2025-09-01,4.510018016584818,-14.421924842577393
IB,2025-10-01,-17.988418566621554,-6.602808481370559
IB,2025-11-01,-32.0145687034791,-9.089741218852216
IB,2025-12-01,-5.210944440075681,11.852802270631711
IB,2026-01-01,-5.037942750802159,-5.735903036980851
Moeve,2024-01-01,-4.293515362594087,-3.8723537224115336
Moeve,2024-02-01,-10.96128868246848,-6.806480846500306
Moeve,2024-03-01,-18.507782002517626,-13.804266507284046
Moeve,2024-04-01,-8.22074256404221,-6.864970826478171
Moeve,2024-05-01,-5.333965082895203,0.8275816498454989
Moeve,2024-06-01,-4.170475951609185,-1.7630186155245613
Moeve,2024-07-01,-7.062402257062488,-4.185633814981887
Moeve,2024-08-01,-5.514344946726632,-0.7303729131923286
Moeve,2024-09-01,-13.097618840874157,-9.45771364934549
Moeve,2024-10-01,-16.458182444870566,-18.747425926709038
Moeve,2024-11-01,-6.857700493650221,-7.770645774825492
Moeve,2024-12-01,-6.417318453458188,-8.383916137723178
Moeve,2025-01-01,-9.270210290723945,-10.66184749754781
Moeve,2025-02-01,-4.495719753721505,-1.812631553804223
Moeve,2025-03-01,-11.393386720063893,-10.596972963470566
Moeve,2025-04-01,-7.984188862048119,-2.20162677067676
Moeve,2025-05-01,-8.198030033358007,-1.1990648347570694
Moeve,2025-06-01,-3.6682908795076705,0.19615025872358643
Moeve,2025-07-01,-5.077239970561002,-2.1321157013541314
Moeve,2025-08-01,-5.132490444999246,-0.387185042174611
Moeve,2025-09-01,-7.982327533636789,-4.974426793459899
Moeve,2025-10-01,-8.101898133215709,-7.153017279027307
Moeve,2025-11-01,-11.313796405674037,-12.755561969522075
Moeve,2025-12-01,-2.4270414506502034,-3.5323027836458505
Moeve,2026-01-01,0.9505719239082895,3.085839598997494
Repsol,2024-01-01,-1.1275334387858287,-1.3927788459455426
Repsol,2024-02-01,-2.2803567275875665,-2.2860368672579106
Repsol,2024-03-01,1.6770606634736782,2.211971302381603
Repsol,2024-04-01,4.299084667484406,5.198919780638929
Repsol,2024-05-01,1.420353749736959,-0.06538847051696682
Repsol,2024-06-01,1.4356939935559205,-0.29165686671776475
Repsol,2024-07-01,-1.9264568613254667,-1.1469460520518049
Repsol,2024-08-01,0.3511492170299204,0.20831747712432647
Repsol,2024-09-01,-1.9375051959756096,-1.693842511741205
Repsol,2024-10-01,-4.557570621482508,-4.738468625853417
Repsol,2024-11-01,-0.9679545120284777,-0.3231707317073171
Repsol,2024-12-01,-2.679592667330958,-1.7578992294268896
Repsol,2025-01-01,-2.1822353269178967,-3.621618681279618
Repsol,2025-02-01,-4.879132405055878,-1.9356822873805946
Repsol,2025-03-01,0.10114795336969822,0.7253048870701412
Repsol,2025-04-01,3.5548854148570923,10.247985440320637
Repsol,2025-05-01,5.148706444376358,9.554901697553742
Repsol,2025-06-01,7.224208206001894,5.781789233191241
Repsol,2025-07-01,4.934125975274296,3.8782099299783255
Repsol,2025-08-01,7.896901203279331,9.445264355721964
Repsol,2025-09-01,10.204934154058442,15.15031638474432
Repsol,2025-10-01,19.195941478623514,21.84612114291058
Repsol,2025-11-01,6.008601388031505,1.6181600444189905
Repsol,2025-12-01,23.919307686878824,11.873921216693146
Repsol,2026-01-01,11.581032002491842,19.148936170212767
TotalEnergies,2024-02-01,57.303150619431605,28.8122067485275
TotalEnergies,2024-03-01,-1.4823679753530552,
TotalEnergies,2024-07-01,1.862236631147189,1.265471479311481
TotalEnergies,2024-08-01,-7.03307168457591,-4.338771305186823
TotalEnergies,2024-09-01,-1.7965431435770085,1.2264404550523758
TotalEnergies,2024-10-01,3.529776307949033,19.1343273181598
TotalEnergies,2024-11-01,-7.013302857574709,-11.023496026675254
TotalEnergies,2024-12-01,-9.91533361912411,-9.749196679701498
TotalEnergies,2025-01-01,-3.081287398490115,3.717821980130128
TotalEnergies,2025-02-01,-15.624624420762443,-35.13725134147719
TotalEnergies,2025-03-01,-4.36151979465157,-5.7886404148163395
TotalEnergies,2025-04-01,-16.87108209653301,-42.19717416223973
TotalEnergies,2025-05-01,-7.086746981679383,-33.44280544069667
TotalEnergies,2025-06-01,-10.853300270380524,-22.71871691342879
TotalEnergies,2025-07-01,-10.51070176816793,-14.319995658999344
TotalEnergies,2025-08-01,-17.663183634557086,-27.88175401718812
TotalEnergies,2025-09-01,-13.67456732931587,-33.37444814319176
TotalEnergies,2025-10-01,-18.924485064382587,-26.36698112170778
TotalEnergies,2025-11-01,-7.573384648230013,18.578212515470334
TotalEnergies,2025-12-01,-28.677189326506532,-10.77583512476775
TotalEnergies,2026-01-01,-6.758938110426556,0.0
