tech_group,year_month,critical,flat,diff
Biomass,2024-01-01,0.41624999999999995,-1.2943181818181817,1.7105681818181817
Biomass,2024-02-01,1.2887387387387388,0.7421052631578946,0.5466334755808442
Biomass,2024-03-01,0.12248062015503873,-0.5236363636363637,0.6461169837914024
Biomass,2024-04-01,0.7814516129032262,0.10909090909090911,0.672360703812317
Biomass,2024-05-01,0.15660377358490563,0.8975000000000002,-0.7408962264150946
Biomass,2024-06-01,0.549079754601227,0.9743243243243243,-0.4252445697230972
Biomass,2024-07-01,-0.19324324324324324,-0.15121951219512197,-0.042023731048121266
Biomass,2024-08-01,0.31511627906976747,0.33064516129032256,-0.015528882220555096
Biomass,2024-09-01,0.08464052287581701,-0.03483146067415732,0.11947198354997433
Biomass,2024-10-01,-0.7573394495412846,-1.035,0.2776605504587153
Biomass,2024-11-01,-0.3932692307692307,-0.5727272727272728,0.17945804195804205
Biomass,2024-12-01,-1.0171052631578947,-1.6531250000000002,0.6360197368421054
Biomass,2025-01-01,-0.9744791666666668,-1.6035714285714289,0.6290922619047621
Biomass,2025-02-01,-0.4857142857142856,-0.9846153846153846,0.49890109890109896
Biomass,2025-03-01,-0.6240677966101696,-1.2835294117647058,0.6594616151545362
Biomass,2025-04-01,-0.4776666666666667,-0.8644444444444446,0.3867777777777779
Biomass,2025-05-01,-0.10527777777777773,-0.5131578947368421,0.4078801169590644
Biomass,2025-06-01,0.19840909090909092,-0.13333333333333333,0.3317424242424243
Biomass,2025-07-01,-0.0956790123456791,-0.37812500000000004,0.28244598765432094
Biomass,2025-08-01,0.3058383233532934,-0.02,0.32583832335329344
Biomass,2025-09-01,0.34421965317919084,-0.325,0.6692196531791909
Biomass,2025-10-01,0.2969202898550725,-0.4488095238095238,0.7457298136645963
Biomass,2025-11-01,-0.12374999999999999,-1.0674698795180722,0.9437198795180721
Biomass,2025-12-01,-0.013567839195979932,-0.9367647058823529,0.923196866686373
Biomass,2026-01-01,2.0,,
CCGT,2024-01-01,67.47315676449537,51.73743016759776,15.735726596897614
CCGT,2024-02-01,80.89230769230771,43.743315508021375,37.148992184286335
CCGT,2024-03-01,57.152460538532985,28.880036968576714,28.27242356995627
CCGT,2024-04-01,38.760505319148926,18.40531645569621,20.355188863452717
CCGT,2024-05-01,46.11827719491995,13.298750000000004,32.81952719491994
CCGT,2024-06-01,69.4204355108878,40.775666074600366,28.644769436287433
CCGT,2024-07-01,63.762745901639356,62.34960835509138,1.4131375465479792
CCGT,2024-08-01,63.36649446494465,50.79015795868772,12.57633650625693
CCGT,2024-09-01,58.44028595458369,37.46807017543859,20.972215779145102
CCGT,2024-10-01,73.13197194719473,37.17561403508772,35.95635791210701
CCGT,2024-11-01,74.15614243323435,50.64279877425945,23.513343658974904
CCGT,2024-12-01,49.30527194656486,48.91643717728054,0.3888347692843155
CCGT,2025-01-01,68.60858022316273,43.318528610354214,25.29005161280852
CCGT,2025-02-01,79.52349879903919,37.28190104166666,42.24159775737253
CCGT,2025-03-01,64.51438439166262,23.089593908629443,41.42479048303318
CCGT,2025-04-01,27.09001638576779,13.462899709302324,13.627116676465466
CCGT,2025-05-01,15.07321692535107,11.710265878877399,3.362951046473672
CCGT,2025-06-01,32.34193466700431,35.726154201292715,-3.3842195342884054
CCGT,2025-07-01,29.707903540563148,28.399942329873134,1.3079612106900136
CCGT,2025-08-01,38.12229339361969,38.36236313868613,-0.2400697450664353
CCGT,2025-09-01,40.870588978766435,34.03734504132232,6.8332439374441165
CCGT,2025-10-01,29.751408373520384,32.73321976149913,-2.9818113879787447
CCGT,2025-11-01,40.24646115745568,23.184381720430114,17.062079437025563
CCGT,2025-12-01,51.3133234946871,31.4054114490161,19.907912045670997
CCGT,2026-01-01,60.20181992337165,34.248058252427185,25.953761670944466
Coal,2024-01-01,157.8709677419355,115.42857142857143,42.44239631336406
Coal,2024-02-01,100.0,-40.666666666666664,140.66666666666666
Coal,2024-09-01,15.18448275862069,4.5,10.68448275862069
Coal,2024-10-01,143.09459459459458,94.77272727272727,48.321867321867316
Coal,2024-11-01,59.5939393939394,130.72799999999998,-71.13406060606059
Coal,2024-12-01,-89.17628865979381,66.38571428571429,-155.56200294550808
Coal,2025-01-01,-56.78026315789474,-12.13846153846154,-44.641801619433195
Coal,2025-02-01,15.253846153846153,116.125,-100.87115384615385
Coal,2025-03-01,81.07130681818182,95.13854166666665,-14.06723484848483
Coal,2025-04-01,125.50956521739131,145.71646341463412,-20.206898197242808
Coal,2025-05-01,169.3181818181818,164.41176470588235,4.906417112299465
Coal,2025-06-01,83.99276315789473,160.1916666666667,-76.19890350877196
Coal,2025-07-01,92.60000000000001,146.07142857142858,-53.471428571428575
Coal,2025-09-01,14.691666666666668,170.0,-155.30833333333334
Coal,2025-10-01,146.0648148148148,147.578125,-1.5133101851851904
Coal,2025-11-01,126.3892857142857,165.24166666666667,-38.85238095238097
Coal,2025-12-01,93.69848484848485,132.825,-39.126515151515136
Cogen,2024-01-01,-0.1207672796448953,-1.6179968701095464,1.497229590464651
Cogen,2024-02-01,-3.5829347123464785,-4.286749116607774,0.703814404261295
Cogen,2024-03-01,-2.956195965417866,-2.0603818615751788,-0.895814103842687
Cogen,2024-04-01,-2.5127041742286758,-2.2410144927536235,-0.27168968147505224
Cogen,2024-05-01,-0.08162771958098297,0.5542746113989636,-0.6359023309799465
Cogen,2024-06-01,1.042429063908777,0.370488081725312,0.671940982183465
Cogen,2024-07-01,-0.9627043090638931,-0.16134020618556713,-0.801364102878326
Cogen,2024-08-01,0.02202061855670114,1.2445632798573976,-1.2225426613006964
Cogen,2024-09-01,-2.0775093934514257,-1.6249430523917991,-0.45256634105962656
Cogen,2024-10-01,-2.465410958904113,-4.106818181818181,1.6414072229140677
Cogen,2024-11-01,0.3912439784641545,0.43736128236744737,-0.04611730390329288
Cogen,2024-12-01,-0.36967459666393215,-0.7452153110047844,0.3755407143408523
Cogen,2025-01-01,-0.8890697674418602,-1.7925389755011139,0.9034692080592537
Cogen,2025-02-01,0.5273027401782769,0.8001377410468322,-0.2728350008685553
Cogen,2025-03-01,-1.9534979137691262,-2.6593992248062017,0.7059013110370755
Cogen,2025-04-01,-0.7338258044554457,2.2716007416563664,-3.005426546111812
Cogen,2025-05-01,-0.266380718954248,1.8955828220858904,-2.161963541040138
Cogen,2025-06-01,2.0425735526732014,2.93430463576159,-0.8917310830883887
Cogen,2025-07-01,0.5955745091728359,2.250036284470247,-1.6544617752974111
Cogen,2025-08-01,2.2297466095645966,4.427897473997027,-2.1981508644324306
Cogen,2025-09-01,1.324248981670062,3.750648055832503,-2.426399074162441
Cogen,2025-10-01,2.5220677083333345,3.829245283018869,-1.3071775746855345
Cogen,2025-11-01,0.6024745349867141,-0.284861680327869,0.8873362153145832
Cogen,2025-12-01,5.569477022498808,4.215794016110472,1.3536830063883363
Cogen,2026-01-01,2.9446351931330477,9.096969696969696,-6.152334503836649
Direct_consumer,2024-01-01,-1.0914402173913031,-1.3918032786885248,0.3003630612972217
Direct_consumer,2024-02-01,-0.8249928835752895,-0.9003027245206868,0.07530984094539728
Direct_consumer,2024-03-01,-0.5061094224924007,-0.9318380743982502,0.4257286519058495
Direct_consumer,2024-04-01,-0.7673740893253089,-1.092503022974607,0.3251289336492982
Direct_consumer,2024-05-01,-0.6983922829581988,-0.8250000000000003,0.12660771704180152
Direct_consumer,2024-06-01,0.42484455958549155,0.26073147256977863,0.16411308701571292
Direct_consumer,2024-07-01,-0.12513089005235586,0.2553388090349074,-0.38046969908726325
Direct_consumer,2024-08-01,-0.06801895173230683,-0.35768799102132465,0.2896690392890178
Direct_consumer,2024-09-01,-0.20063163939132916,-0.7233183856502242,0.5226867462588951
Direct_consumer,2024-10-01,-0.4961298701298705,-0.7753493013972057,0.2792194312673352
Direct_consumer,2024-11-01,0.19423580786026196,-0.35663531870428417,0.5508711265645461
Direct_consumer,2024-12-01,0.16094075617743386,-0.25866666666666677,0.41960742284410063
Direct_consumer,2025-01-01,-0.3434793748398666,-0.5850987432675044,0.24161936842763782
Direct_consumer,2025-02-01,0.028739002932551463,-0.4460843373493975,0.47482334028194895
Direct_consumer,2025-03-01,-0.708324389589483,-1.2436308926780346,0.5353065030885517
Direct_consumer,2025-04-01,-0.6830136802575092,-0.5246232508073195,-0.15839042945018966
Direct_consumer,2025-05-01,-0.22301110777544256,-0.17183143219264893,-0.05117967558279363
