reform,tech,label,outcome,n,DiD,se,t
DA15,CCGT,CCGT simple,sigma_p,50073,3.529486456357734,0.9803945425093157,3.600067425226612
DA15,CCGT,CCGT simple,n_eff,50073,0.27808477894999184,0.0941055227877416,2.955031444617996
DA15,CCGT,CCGT MIC,sigma_p,88185,-0.8966470821290269,1.2078309470030348,-0.742361407739931
DA15,CCGT,CCGT MIC,n_eff,88185,0.3490681160700548,0.06814312926336359,5.122572441910552
DA15,CCGT,CCGT block,sigma_p,75143,0.29095834335596393,0.22433596297381309,1.2969759261912355
DA15,CCGT,CCGT block,n_eff,75143,0.23078847573553332,0.031681657483303025,7.28460863694282
DA15,CCGT,CCGT all (pooled),sigma_p,213401,1.2478316676554506,0.5657599574097015,2.205584985845541
DA15,CCGT,CCGT all (pooled),n_eff,213401,0.4242121960971994,0.048010487104282025,8.835823622780202
DA15,Hydro,Hydro all (pooled),sigma_p,937624,0.2714827765782505,0.04825101104283747,5.626468144620365
DA15,Hydro,Hydro all (pooled),n_eff,937624,0.002065846851620215,0.005140901549415943,0.4018452467456638
DA15,Hydro pump,Hydro pump all (pooled),sigma_p,31642,1.3306000528173598,0.4431621029796359,3.0025131749104084
DA15,Hydro pump,Hydro pump all (pooled),n_eff,31642,-0.013470397594102623,0.027461313865601897,-0.49052269166828444
DA15,Wind,Wind all (pooled),sigma_p,1890300,0.16557306577240266,0.04425732843073717,3.7411446113726665
DA15,Wind,Wind all (pooled),n_eff,1890300,0.009008321986287426,0.0025723454652285664,3.501987624934736
DA15,Nuclear,Nuclear all (pooled),sigma_p,18547,-0.3243921573188444,0.07428405308744222,-4.366915156567879
DA15,Nuclear,Nuclear all (pooled),n_eff,18547,-0.0035958199506371876,0.0008844332362114114,-4.065677095130849
