market,reform,tech,firm,unit_code,outcome,theta,se,t,n
DA,DA15,CCGT,IB,ARCOS1,slope,0.0007507813614139325,0.0007895524141148445,0.9508948968962654,4430
DA,DA15,CCGT,IB,ARCOS2,slope,-0.0009590018190301572,0.0006528833661428313,-1.4688715760915196,4342
DA,DA15,CCGT,IB,ARCOS3,slope,0.0036151374999622288,0.0026678286088004702,1.3550861131171748,4075
DA,DA15,CCGT,GN,BES4,slope,-0.412635711725037,0.10481729740053217,-3.9367139008388707,2342
DA,DA15,CCGT,GN,CAMGI10,slope,-0.3274205784357487,0.04637560369408542,-7.060190107617008,2600
DA,DA15,CCGT,GN,CTGN1,slope,-0.09876225285955709,0.023240038892067157,-4.249659534488514,2303
DA,DA15,CCGT,IB,CTJON2,slope,0.0018257854044769206,0.00134106263351946,1.3614467802188799,4391
DA,DA15,CCGT,IB,CTN3,slope,-0.00436198705533164,0.002841292257074034,-1.5352123824895152,4513
DA,DA15,CCGT,IB,CTN4,slope,0.003834731459709695,0.0022746994051296753,1.6858189926378804,4233
DA,DA15,CCGT,IB,ESC6,slope,0.002134866501238286,0.0032998810908648948,0.646952554486968,4963
DA,DA15,CCGT,HC,LARES1,slope,0.006016606525435897,0.010989338214411134,0.5474948907793078,4210
DA,DA15,CCGT,HC,LARES2,slope,-0.03398269566695067,0.04830536312281819,-0.7034973648898653,4977
DA,DA15,CCGT,GN,PALOS1,slope,-0.17901048842511003,0.05063567232189647,-3.535264374236426,2304
DA,DA15,CCGT,GN,PALOS2,slope,-0.21926571277082818,0.051544567028555525,-4.253905414499955,2191
DA,DA15,CCGT,GN,PALOS3,slope,-3.3817693463102785,1.333574101024628,-2.535869093222458,2063
DA,DA15,CCGT,HC,RIBATE2,slope,0.012514957008320948,0.017753720113998214,0.7049202605403992,3986
DA,DA15,CCGT,HC,RIBATE3,slope,-0.02058967243838694,0.013771773502036339,-1.4950632491408957,4628
DA,DA15,CCGT,GN,SAGU1,slope,-0.11145137212040268,0.050897245406112596,-2.189732886939648,2341
DA,DA15,CCGT,GN,SAGU2,slope,-0.11039327469697646,0.05071891075236502,-2.1765702981274853,2448
DA,DA15,CCGT,HC,SRI4R,slope,-0.005136375840087304,0.007951846336554243,-0.645934997067994,4764
DA,DA15,CCGT,HC,SRI5R,slope,-0.024250142638730487,0.013874971015643755,-1.7477616790254142,5606
DA,DA15,CCGT,IB,STC4,slope,0.003032089604321858,0.0018742171298399286,1.6177899326855583,2482
DA,DA15,CCGT,IB,TAPOWER,slope,-0.00346412960627554,0.001739038232371657,-1.9919801311965675,4283
DA,DA15,CCGT,IB,ARCOS1,intercept,-2.010445560147218,0.8508712329261887,-2.362808239777005,4430
DA,DA15,CCGT,IB,ARCOS2,intercept,1.7587957070963967,0.7665851387290618,2.2943253374469825,4342
DA,DA15,CCGT,IB,ARCOS3,intercept,-4.34619959551128,1.5000103018849218,-2.8974464975672634,4075
DA,DA15,CCGT,GN,BES4,intercept,74.86092734658382,19.0750272616166,3.9245515259221384,2342
DA,DA15,CCGT,GN,CAMGI10,intercept,41.67867698171381,8.356238584292631,4.987731807952199,2600
DA,DA15,CCGT,GN,CTGN1,intercept,20.772063933154186,5.305663849241288,3.9150734994499508,2303
DA,DA15,CCGT,IB,CTJON2,intercept,0.4229690998372462,1.1273071614201764,0.3752030629384024,4391
DA,DA15,CCGT,IB,CTN3,intercept,1.0250021363649466,1.3773423724500673,0.7441883418874532,4513
DA,DA15,CCGT,IB,CTN4,intercept,-5.920232197511723,1.3446802929441037,-4.4027061514746375,4233
DA,DA15,CCGT,IB,ESC6,intercept,0.48778857966499345,1.1888353283947406,0.41030794426646466,4963
DA,DA15,CCGT,HC,LARES1,intercept,-0.28323402520663876,1.5217376960618818,-0.18612539200390615,4210
DA,DA15,CCGT,HC,LARES2,intercept,15.369925588618571,14.48467142643226,1.0611166201927686,4977
DA,DA15,CCGT,GN,PALOS1,intercept,35.89432765641868,10.251882922575401,3.501242447607037,2304
DA,DA15,CCGT,GN,PALOS2,intercept,35.726233882626275,9.106349304492605,3.9232224339341766,2191
DA,DA15,CCGT,GN,PALOS3,intercept,633.3693834623973,254.24029299687555,2.4912234642137587,2063
DA,DA15,CCGT,HC,RIBATE2,intercept,-0.7468383450559486,0.9436425319664015,-0.7914420130042844,3986
DA,DA15,CCGT,HC,RIBATE3,intercept,3.6799505050894368,1.0870633031102384,3.385221904336748,4628
DA,DA15,CCGT,GN,SAGU1,intercept,8.721023437373333,11.606669768083881,0.7513803366194218,2341
DA,DA15,CCGT,GN,SAGU2,intercept,11.50366769192783,9.584600178555132,1.2002240550071643,2448
DA,DA15,CCGT,HC,SRI4R,intercept,-2.5401635600678674,1.4294440962934454,-1.7770289629755527,4764
DA,DA15,CCGT,HC,SRI5R,intercept,3.924444336184024,2.794835036405106,1.404177450570354,5606
DA,DA15,CCGT,IB,STC4,intercept,4.4102965995866725,1.5608910033905257,2.825499403870446,2482
DA,DA15,CCGT,IB,TAPOWER,intercept,1.198017084642288,0.9601955449928721,1.2476803197948407,4283
