reform,market,tech,n,DiD,se,t,pre_crit_mean,post_crit_mean,pre_flat_mean,post_flat_mean
ID15,DA,CCGT,52228,-0.07635930961250417,0.012650242952497334,-6.036193130775389,0.4865046948669587,0.5288085383947173,0.5662891001258771,0.6787085765400414
ID15,DA,Hydro,74649,0.0038658240540087466,0.0024832589504721913,1.5567543019521426,0.7133630737417641,0.7240739608746242,0.7691397360995106,0.7310017905194737
ID15,DA,Hydro_pump,8923,-0.022539748371935123,0.012294993572979467,-1.8332460475189194,0.5579522414701783,0.569293236501229,0.5055654253866763,0.5859849821328412
ID15,IDA,CCGT,50824,-0.04084294409094508,0.011255568028623809,-3.6286879513391246,0.4868751270996015,0.39951619363341306,0.35578691254866573,0.2888940069751251
ID15,IDA,Hydro,81567,-0.04874771649979137,0.010931509937224705,-4.459376314866843,0.5657903959954185,0.5927119890001582,0.49979041086190445,0.5718750321835541
ID15,IDA,Hydro_pump,17959,-0.040358390953539464,0.01862870081826514,-2.1664629942399802,0.5750567262922065,0.7021448108785524,0.558828450871017,0.6597976052465354
DA15,DA,CCGT,213401,-0.05893166718089243,0.006533215935795089,-9.020315226075637,0.5568364829003605,0.5546346225754876,0.6236957350966077,0.6603896795734095
DA15,DA,Hydro,261191,0.0032733906000807986,0.0021681355897637095,1.509772089686302,0.6976562698532384,0.7085366447249148,0.7062654450990036,0.7137217141375151
DA15,DA,Hydro_pump,31642,0.015167183297376763,0.010054017944890112,1.508569348146567,0.49635862777053363,0.44318785026084817,0.5801258252303919,0.42100882138653184
DA15,IDA,CCGT,256128,0.051410145315537586,0.006427245584363433,7.998783404295472,0.42345328123795895,0.405487727288236,0.42421984968983284,0.32646786356312135
DA15,IDA,Hydro,269985,0.041170823324409175,0.009365276022514264,4.396114244303521,0.5390758673070308,0.5709744094464377,0.49160541506487715,0.47113437714001616
DA15,IDA,Hydro_pump,37855,-0.01572363317714104,0.01871055584977287,-0.8403616281304603,0.6384351549877119,0.6522317052307202,0.5898405989344345,0.6672632235681932
