"reform","outcome","tech","eff","lo","hi","rel","p","n_pre","n_post"
"ID15","price",NA,-78.7690071204803,-92.6467215226261,-62.4422781298779,-0.757163792117121,0.0005005005005005,80,40
"ID15","cleared_gwh","ccgt",-6.52863940902217,-11.0309775055027,-2.34399968755617,-0.563774971579728,0.00200501253132832,80,40
"ID15","cleared_gwh","hydro",-1.40759784194642,-2.10170458999726,-0.706411581939477,-0.237411327499936,0.000505561172901921,80,40
"ID15","cleared_gwh","wind",5.3204444655872,3.74776920273659,7.01121441704716,0.451302648722854,0.000500250125062531,80,40
"ID15","cleared_gwh","solar",9.3425202466242,8.20037811698931,10.3299147949768,1.80619308644294,0.000505561172901921,80,40
"ID15","cleared_gwh","nuclear",16.8197952663468,4.27125637441821,30.192589305405,-95.9191529086615,0.00583515681983953,12,32
"DA15","price",NA,14.5401372965305,6.13867025503655,22.4220760456295,0.267802442711891,0.00150225338007011,80,40
"DA15","cleared_gwh","ccgt",29.680729047908,22.194093554113,37.9529106683373,1.58049196957982,0.000500250125062531,54,31
"DA15","cleared_gwh","hydro",14.1993700741586,11.0829912195253,17.4383685541641,0.69125602770895,0.000500751126690035,80,40
"DA15","cleared_gwh","wind",4.47777469600061,-4.01538694141937,13.4110658926657,0.0332613704877138,0.153066666666667,80,40
"DA15","cleared_gwh","solar",-2.98714620114163,-9.47613608384386,4.12949659919798,-0.0254694754595521,0.181177654755913,80,40
"DA15","cleared_gwh","nuclear",-66.9286283121919,-80.5021577685539,-53.1198022070315,-0.363889156903608,5e-04,80,40
"PLB_DA15","price",NA,3.08317898625523,-7.93934884166995,13.9788476665077,0.0492151201297381,0.254716981132075,80,40
"PLB_DA15","cleared_gwh","ccgt",-10.5902364959255,-24.1445383543217,1.08390241905607,-0.47373373801313,0.0336176618163573,80,40
"PLB_DA15","cleared_gwh","hydro",5.30096786873617,1.33969178560328,8.88068549354928,0.212320612838715,0.0080040020010005,80,40
"PLB_DA15","cleared_gwh","wind",1.67251615045285,-10.7267047851267,10.8118734643377,0.0140625854697068,0.350531107738998,80,40
"PLB_DA15","cleared_gwh","solar",-1.77085283120269,-6.42879958347575,2.64402742486662,-0.0236806046774058,0.218718718718719,80,40
"PLB_DA15","cleared_gwh","nuclear",-24.1181298557526,-33.9532780870252,-11.7203489421878,-0.175372685719764,0.00050761421319797,80,40
"PLB_ID15","price",NA,-9.27602441272029,-18.0031365216573,-1.30459184182057,-0.434222042634956,0.025531914893617,81,40
"PLB_ID15","cleared_gwh","ccgt",-5.61437621254931,-8.51350353855323,-2.98451148164552,-0.558231854917506,0.000508905852417303,81,40
"PLB_ID15","cleared_gwh","hydro",5.16688025561015,3.57284758349949,6.61466913498935,0.625829869855422,0.000514933058702369,81,40
"PLB_ID15","cleared_gwh","wind",7.01829488283078,5.25745729624812,8.85329210342684,0.473788048311127,0.000500250125062531,81,40
"PLB_ID15","cleared_gwh","solar",1.212666650876,0.350215585176034,2.04461057589179,0.166461117799339,0.00301659125188537,81,40
"PLB_ID15","cleared_gwh","nuclear",0.723092649428764,-14.7553937236335,16.980401667811,0.0585196207301655,0.455955955955956,39,38
