theta,se,t,n,n_units,tech,outcome,market,reform,h
-0.006701682008237286,0.01005822549872727,-0.6662887016288601,7354,34,CCGT,slope,DA,DA15,50
1.1191727188777278,2.197506121260417,0.5092921962992336,7354,34,CCGT,intercept,DA,DA15,50
0.00021131443657545655,0.00029416067446730293,0.7183639925973345,6902,33,CCGT,gamma,DA,DA15,50
-1.7941806007711047,1.7097877685592628,-1.049358659456872,19303,24,Hydro,slope,DA,DA15,50
13.95111200307884,4.894061993357903,2.8506202050593017,19303,24,Hydro,intercept,DA,DA15,50
-30.79956095480629,9.635517826908673,-3.1964614157833586,14285,20,Hydro,gamma,DA,DA15,50
0.021646574989950623,0.006868448519289535,3.1515960160664815,2006,7,Hydro_pump,slope,DA,DA15,50
24.975197048506175,6.420839075026935,3.8897092352998124,2006,7,Hydro_pump,intercept,DA,DA15,50
3.1581280742384636e-05,2.4162460097870054e-05,1.3070391265816745,1726,6,Hydro_pump,gamma,DA,DA15,50
-0.6450687398280835,0.6670748365934666,-0.9670110524963571,52783,38,CCGT,slope,IDA,DA15,58
-1.601104452639893,3.73154457817286,-0.4290728461359744,52783,38,CCGT,intercept,IDA,DA15,58
0.03535879083664933,0.01543171008398757,2.2913073563595994,41723,36,CCGT,gamma,IDA,DA15,58
-0.0038351764957457943,0.14032497274923528,-0.02733067693231884,36024,20,Hydro,slope,IDA,DA15,58
4.48208864456808,6.532160255468103,0.6861571776069183,36024,20,Hydro,intercept,IDA,DA15,58
-0.0785155461776809,0.07548575119998087,-1.0401373097509932,22422,18,Hydro,gamma,IDA,DA15,58
-2.5481182210470825,1.7068191495768963,-1.4929046359004914,6054,24,Hydro_pump,slope,IDA,DA15,58
174.81965346592216,115.63170250823416,1.511866120396119,6054,24,Hydro_pump,intercept,IDA,DA15,58
-0.0024967255141134653,0.0011315494849406887,-2.206466042662141,3308,15,Hydro_pump,gamma,IDA,DA15,58
-2.3055477105676347,0.5646272540121942,-4.083309288003023,23056,23,Hydro,slope,DA,ID15,50
14.76371909175774,2.2855663383481124,6.459545209450443,23056,23,Hydro,intercept,DA,ID15,50
18.67732770450609,5.694663776394018,3.27979463544957,18624,22,Hydro,gamma,DA,ID15,50
-0.022838898230475246,0.011781743949555484,-1.9384989461884325,2111,7,Hydro_pump,slope,DA,ID15,50
-6.287245695866085,2.7635394352324747,-2.2750700119237446,2111,7,Hydro_pump,intercept,DA,ID15,50
-6.848354904269724e-06,8.445422539541009e-05,-0.08108954729270323,1767,6,Hydro_pump,gamma,DA,ID15,50
-0.4597106872505935,0.5182493739119055,-0.8870453306688167,16968,37,CCGT,slope,IDA,ID15,62
8.29844591035385,10.126075917280097,0.8195125118697356,16968,37,CCGT,intercept,IDA,ID15,62
-0.0001727143929151566,0.009721270502642368,-0.01776664818330182,13475,36,CCGT,gamma,IDA,ID15,62
-1.9771456616276264,1.3590179417974584,-1.4548341127951723,30152,22,Hydro,slope,IDA,ID15,62
84.34692170973426,99.29496760646458,0.8494581723821708,30152,22,Hydro,intercept,IDA,ID15,62
-0.03668312631587564,0.2943314561222274,-0.12463202811948919,21015,20,Hydro,gamma,IDA,ID15,62
0.14564118203923127,0.12008640086879634,1.2128032898442471,6726,24,Hydro_pump,slope,IDA,ID15,62
-7.480302943936132,4.788448927968886,-1.5621557327769282,6726,24,Hydro_pump,intercept,IDA,ID15,62
0.0006496167239329101,0.0006162245708019328,1.0541882857535556,3491,15,Hydro_pump,gamma,IDA,ID15,62
