d,xbid_gwh,n_products,xbid_xborder_gwh,xbid_per_product_mwh,net_import_gwh
2018-06-13,5.962700000000005,24,0.007,248.44583333333355,-45.79094
2018-06-14,1.180499999999999,24,0.0,49.187499999999964,-84.52679
2018-06-15,5.8462000000000245,24,0.1009,243.5916666666677,-72.26851
2018-06-16,1.796399999999999,24,0.17020000000000002,74.84999999999997,-49.60895
2018-06-17,1.5116999999999996,23,0.23329999999999998,65.72608695652173,-11.173940000000002
2018-06-18,3.4082999999999926,24,0.0015999999999999999,142.01249999999968,-49.58542
2018-06-19,3.440600000000002,23,0.3389000000000001,149.5913043478262,-77.51971
2018-06-20,8.88690000000002,24,0.7867000000000003,370.2875000000008,-72.71573000000001
2018-06-21,3.2915999999999976,24,1.2505999999999997,137.1499999999999,
2018-06-22,2.3578999999999986,23,0.23099999999999998,102.51739130434777,-79.55740999999999
2018-06-23,2.843299999999998,23,0.1166,123.62173913043469,-78.83609999999999
2018-06-24,1.6820999999999982,24,0.3307,70.08749999999992,-65.25924
2018-06-25,1.5763000000000005,23,0.4454000000000001,68.53478260869566,-86.26122
2018-06-26,4.390799999999993,24,0.4125999999999999,182.94999999999973,
2018-06-27,1.524699999999998,24,0.5512,63.52916666666658,
2018-06-28,6.769200000000006,23,0.6127000000000001,294.31304347826114,-78.01798
2018-06-29,2.846499999999993,24,0.5131999999999999,118.60416666666639,-70.74962
2018-06-30,3.1715999999999993,24,0.7637999999999999,132.14999999999998,-76.51335
2018-07-01,2.2748999999999984,24,0.6587000000000001,94.78749999999992,-58.09173
2018-07-02,4.2385999999999875,24,1.2288999999999997,176.6083333333328,-92.21043
2018-07-03,16.42460000000002,24,0.6493,684.3583333333341,-79.2497
2018-07-04,18.583400000000044,24,1.1625000000000003,774.3083333333352,-47.57944
2018-07-05,6.651600000000005,24,0.8170000000000004,277.1500000000002,-87.29886
2018-07-06,1.7465999999999993,24,0.48619999999999997,72.77499999999996,
2018-07-07,3.3381999999999956,24,0.5501999999999999,139.0916666666665,-78.89075
2018-07-08,2.135699999999997,24,0.39920000000000005,88.98749999999986,-57.23039
2018-07-09,3.820700000000001,24,0.25310000000000005,159.19583333333335,-78.71715
2018-07-10,1.8940999999999986,24,0.6033000000000001,78.92083333333328,-81.87552
2018-07-11,2.733099999999997,24,0.26280000000000003,113.87916666666655,-72.03031
2018-07-12,1.0020000000000007,24,0.1326,41.75000000000003,-90.17332
2018-07-13,4.9259999999999975,24,0.5235000000000001,205.2499999999999,-76.68937
2018-07-14,1.6543999999999994,24,0.6363000000000002,68.93333333333331,-72.45409000000001
