"tag","pre_days","eff","lo","hi","rel","p","n_pre","n_post"
"60d (shorter than M-H)",60,-58.8475014889773,-73.5986671036539,-42.5202781561545,-0.698166420969773,0.000500751126690035,60,40
"80d (M-H baseline)",80,-78.7690071204803,-92.6467215226261,-62.4422781298779,-0.757163792117121,0.0005005005005005,80,40
"120d",120,-69.7895780782988,-82.8232174277161,-55.2645888494109,-0.733649074910975,5e-04,120,40
"180d",180,-47.0945159153681,-61.8736526483095,-27.9508120347001,-0.647056147603571,0.000582750582750583,180,40
"365d (1 year)",365,-33.0048137311402,-66.3944944009637,0.63528568163701,-0.515251842134418,0.0301799187463726,365,40
"730d (2 years)",730,-34.1628912152738,-78.5927635326221,11.2929193312298,-0.533304455922374,0.0651112316874661,730,40
