spec,outcome,n,DiD,se,t,pre_crit,post_crit,pre_flat,post_flat
DA15_baseline,sigma_p_comp,214442,0.6221628008619966,0.5369383642478821,1.1587229415679634,21.387774012737957,21.6996838626668,16.153341195408178,15.982678725293239
DA15_baseline,sigma_p_scarc,264869,0.6902740529064366,0.33846002417413773,2.0394551899910356,4.217066365095788,4.714746533376713,5.495985574602072,5.27185464172864
DA15_baseline,n_eff_comp,214442,0.42791406041779023,0.03693972242092163,11.584116836119797,2.826173477128636,2.9580315473751098,2.4332020433609243,2.116168755260463
DA15_baseline,n_eff_scarc,264869,-0.012833121813142171,0.008628183029665351,-1.487349279566675,1.0566438774839195,1.0486139305064026,1.0480424419141552,1.0524351765793833
DA15_baseline,scarc_share,299745,-0.06032283049936571,0.012277728777746211,-4.91319132319512,0.4119396420475064,0.3212512190403605,0.6618342532073624,0.6312413978730476
DA15_baseline,comp_mw,299745,40.32321105370056,7.920793790864363,5.090804295424065,350.6914169278997,392.989523033238,205.10635723039218,207.4451458968943
DA15_baseline,scarc_mw,299745,-26.87793610822871,5.924172119854484,-4.536994463437182,196.56131661442006,153.98660412238223,316.8713618259804,301.1590178361887
DA15_samecal,sigma_p_comp,213529,-4.997038498614465,1.1986556964984283,-4.168868936436091,36.811444048202276,21.6996838626668,27.941585152461546,15.982678725293239
DA15_samecal,sigma_p_scarc,262201,2.776096872873315,0.3977916979555857,6.978770263785827,4.154112348511701,4.714746533376713,7.453268576214301,5.27185464172864
DA15_samecal,n_eff_comp,213529,0.18436828674447936,0.03796230713120891,4.856614380871222,2.849432149959343,2.9580315473751098,2.308635210582408,2.116168755260463
DA15_samecal,n_eff_scarc,262201,-0.09021824089854538,0.012022831489272145,-7.503909622208898,1.2211640275453026,1.0486139305064026,1.134557926537991,1.0524351765793833
DA15_samecal,scarc_share,298478,0.03720098361223978,0.012916832312583138,2.8800392164261397,0.3911532493591684,0.3212512190403605,0.7385695405600948,0.6312413978730476
DA15_samecal,comp_mw,298478,34.22128649935428,7.1201853954532375,4.806235315334217,263.38159590356304,392.989523033238,111.93960372777822,207.4451458968943
DA15_samecal,scarc_mw,298478,5.814217817105828,6.0553893457745245,0.9601724158600987,196.18515254960528,153.98660412238223,349.2822382332211,301.1590178361887
