tech,outcome,theta,se,t,n,reform,market
CCGT,sigma_p,0.09927750964754664,0.2124617447084064,0.4672724013624207,22423,ID15,da
CCGT,n_eff,0.42750319027007655,0.1276785263905222,3.348277916072587,22423,ID15,da
Hydro,sigma_p,-0.0230376449983127,0.35530095561391745,-0.0648398059006242,31433,ID15,da
Hydro,n_eff,0.2890688984478563,0.07263223373420506,3.9798982295614524,31433,ID15,da
Hydro_pump,sigma_p,-1.073114845817026,0.38653568456808474,-2.7762374566170402,3678,ID15,da
Hydro_pump,n_eff,-0.025366711807426362,0.10826872482318751,-0.23429399255281214,3678,ID15,da
Wind,sigma_p,-0.0710213297891218,0.0377263675842905,-1.8825382441190954,9815,ID15,da
Wind,n_eff,0.02994755252550274,0.01828139864999068,1.638143399138556,9815,ID15,da
CCGT,sigma_p,-2.4369044209772572,0.8923523978576041,-2.7308767554475972,27199,ID15,ida
CCGT,n_eff,-3.1321949632219144,1.1930048797857609,-2.625467017188054,27199,ID15,ida
Hydro,sigma_p,0.04793757944221712,0.3420332024266214,0.1401547542814984,48120,ID15,ida
Hydro,n_eff,-0.06404158352459358,0.0593049743981913,-1.079868664888029,48120,ID15,ida
Hydro_pump,sigma_p,0.5085730658358076,0.24464369198956037,2.078831715217533,14857,ID15,ida
Hydro_pump,n_eff,0.1303998619093951,0.08470310488462032,1.5394932935105665,14857,ID15,ida
Wind,sigma_p,0.11939993390256465,0.026686014057489073,4.474251330503839,31208,ID15,ida
Wind,n_eff,0.09361571924674861,0.0172727206735882,5.419859500761617,31208,ID15,ida
CCGT,sigma_p,1.1448004706317143,0.3459731107354659,3.308929032658376,20057,DA15,da
CCGT,n_eff,1.689623335383509,0.20201921365702813,8.363676428579783,20057,DA15,da
Hydro,sigma_p,0.9714517795671572,0.45374607188955723,2.140959095296831,30074,DA15,da
Hydro,n_eff,0.350617607690749,0.12291423263639327,2.852538718831295,30074,DA15,da
Hydro_pump,sigma_p,1.4395708815245989,0.4087402512317224,3.5219699483633176,3474,DA15,da
Hydro_pump,n_eff,0.15057265589243268,0.20748611661005023,0.7256999087578433,3474,DA15,da
Wind,sigma_p,-0.004306520153925393,0.04112593289628051,-0.10471543988525256,18624,DA15,da
Wind,n_eff,-0.0075632374121980366,0.01697788497961809,-0.44547583054530554,18624,DA15,da
CCGT,sigma_p,-0.41672730547657977,0.6516005999933056,-0.6395440788127899,78830,DA15,ida
CCGT,n_eff,0.34784989111502534,0.9197787642272923,0.37818865214533914,78830,DA15,ida
Hydro,sigma_p,1.417574087086832,0.3898479274520118,3.6362232226085847,61460,DA15,ida
Hydro,n_eff,0.18619956240882396,0.09982131515243238,1.865328683803529,61460,DA15,ida
Hydro_pump,sigma_p,0.20367266408816614,0.2599164970793614,0.7836080678864256,15010,DA15,ida
Hydro_pump,n_eff,-0.17304089417017543,0.13501572629996972,-1.2816351021637562,15010,DA15,ida
Wind,sigma_p,-0.04580999310372912,0.010773773830074499,-4.251991347345033,92539,DA15,ida
Wind,n_eff,-0.057765047213533316,0.008275681274293291,-6.980095692298905,92539,DA15,ida
