"tag","eff","lo","hi","p","n_pre","n_post"
"PLB ID15 DA cross",-15.1973892838691,-62.3376390560376,30.8221323364105,0.254965165852137,505,40
"PLB DA15 IDA cross",26.8655589552406,-43.5289597251505,95.4596169139294,0.220661073486303,701,92
