market,reform,tech,outcome,theta,se,t,n,n_units
DA,DA15,CCGT,slope,-0.1708990341812613,0.038833548530496836,-4.4008091108915925,46511,39
DA,DA15,CCGT,intercept,30.33698818371628,7.335922104845111,4.1354021689624805,46511,39
DA,DA15,CCGT,gamma,0.0012912993769901412,0.00035627571202320567,3.6244384150049322,43989,38
DA,DA15,Hydro,slope,-1.2722604787220315,0.3920209065043464,-3.245389359630813,49835,24
DA,DA15,Hydro,intercept,43.25705894637371,17.0890971921806,2.531266482946021,49835,24
DA,DA15,Hydro,gamma,-5.228131972432066,1.2684653127251406,-4.121619976505366,40374,21
DA,DA15,Hydro_pump,slope,0.01924101281535103,0.008328332755586917,2.3103078827444223,8055,7
DA,DA15,Hydro_pump,intercept,-6.5985896280723315,1.8618861512306322,-3.5440349689001813,8055,7
DA,DA15,Hydro_pump,gamma,-1.49715307364844e-05,4.2811414216917474e-05,-0.34970885709653127,6105,6
IDA,DA15,CCGT,slope,0.5180051793769658,0.6128447489745575,0.8452469899492783,151009,38
IDA,DA15,CCGT,intercept,1.3677133346625165,2.40649849654153,0.5683416534970244,151009,38
IDA,DA15,CCGT,gamma,0.00747789114931087,0.014708354571453195,0.5084111287216575,121774,37
IDA,DA15,Hydro,slope,-0.006040934694494869,0.033472733168910494,-0.18047330237453377,114434,22
IDA,DA15,Hydro,intercept,5.29060954359522,1.9864176526114077,2.663392331738503,114434,22
IDA,DA15,Hydro,gamma,0.014993621208995635,0.017256304517378904,0.8688778755553074,70956,19
IDA,DA15,Hydro_pump,slope,-1.6913012414622393,1.4602933976038381,-1.158192760603764,14927,24
IDA,DA15,Hydro_pump,intercept,80.1881868198271,60.44660438748345,1.3265953916251993,14927,24
IDA,DA15,Hydro_pump,gamma,0.0001990312165443556,0.0001740203948212714,1.1437235086655888,8660,18
DA,ID15,CCGT,slope,0.2694474684773936,0.061289144401130445,4.396332680284957,51120,41
DA,ID15,CCGT,intercept,-40.23258604189128,11.940921850613343,-3.3693031865730485,51120,41
DA,ID15,CCGT,gamma,-0.0039944724161705795,0.0012568143225527935,-3.178251826456878,45876,40
DA,ID15,Hydro,slope,0.15390200479654992,0.28263186613449826,0.5445316796773063,53436,24
DA,ID15,Hydro,intercept,0.19851559597484547,4.653902080778146,0.04265573115402829,53436,24
DA,ID15,Hydro,gamma,-0.3054590264792143,2.0691728508421776,-0.1476237359072679,45106,23
DA,ID15,Hydro_pump,slope,-0.009960192236793865,0.0123712113294157,-0.8051105079024053,6856,7
DA,ID15,Hydro_pump,intercept,1.107168557713905,1.3991002844880764,0.7913432439326622,6856,7
DA,ID15,Hydro_pump,gamma,7.201036382349622e-05,0.00010465513948038633,0.6880728856798461,4741,7
IDA,ID15,CCGT,slope,-0.8808526719252804,0.4701442090643491,-1.8735797547699182,38293,39
IDA,ID15,CCGT,intercept,11.834981123159977,6.355468494588192,1.862172888314638,38293,39
IDA,ID15,CCGT,gamma,0.009995879686995104,0.0077006926894561895,1.2980494210191624,31222,38
IDA,ID15,Hydro,slope,-1.4977057882347145,1.1373602575025727,-1.3168262020368042,67613,23
IDA,ID15,Hydro,intercept,87.33466416897464,87.4127731768849,0.9991064348484608,67613,23
IDA,ID15,Hydro,gamma,-0.10884372083758478,0.10411308873172935,-1.045437438879995,45918,21
IDA,ID15,Hydro_pump,slope,0.07084503876691388,0.10002260228561086,0.7082902978730595,12793,23
IDA,ID15,Hydro_pump,intercept,-3.01641303086018,2.7951705794728685,-1.0791516814795021,12793,23
IDA,ID15,Hydro_pump,gamma,0.0014470900252856072,0.0009066926886583853,1.5960093683195316,6568,18
