theta,se,t,n,n_units,reform,market,h,demand_class,outcome
2.8420417210322007,0.7348058643332905,3.8677450180815622,580653,108,DA15,DA,50,Retailer,slope
14.436854546982012,1.704282362696541,8.470928798523623,580653,108,DA15,DA,50,Retailer,intercept
2.305439233204938,2.7505813761258775,0.8381643434422177,474051,91,DA15,DA,50,Retailer,gamma
-3.796690153119588,1.000322328437241,-3.7954667662482233,6216,2,DA15,DA,50,DirectCons,slope
-0.5666805714394654,4.63326616138809,-0.12230693245338885,6216,2,DA15,DA,50,DirectCons,intercept
-4.297587275385176,2.955494634835458,-1.454100854973955,3371,2,DA15,DA,50,DirectCons,gamma
14.867586926361373,8.369547707028296,1.7763907258544416,7727,3,DA15,DA,50,Distrib,slope
-13.967931694200075,11.95228059962602,-1.1686415473409422,7727,3,DA15,DA,50,Distrib,intercept
0.03841252427854116,0.014208397091872075,2.703508638600414,49235,19,DA15,DA,50,PumpBuy,slope
-1.785193801921305,1.151666357763757,-1.5500963363970248,49235,19,DA15,DA,50,PumpBuy,intercept
0.0008341407077583976,0.00041185299198206776,2.025336039794307,32647,17,DA15,DA,50,PumpBuy,gamma
-2.375034612847915,0.979252945024764,-2.4253535564172886,1466284,110,DA15,IDA,58,Retailer,slope
33.31857320277154,2.748850732271034,12.120910317761975,1466284,110,DA15,IDA,58,Retailer,intercept
6.80983005458021,4.662751965738416,1.4604744375464056,1178259,104,DA15,IDA,58,Retailer,gamma
1.5111886594648858,0.27299898286120056,5.535510219220163,28255,3,DA15,IDA,58,DirectCons,slope
19.79856930203392,2.2672121797621543,8.73256128330738,28255,3,DA15,IDA,58,DirectCons,intercept
-0.025911933323683176,0.3393052090485598,-0.07636762605661848,9274,2,DA15,IDA,58,DirectCons,gamma
0.01690282485738706,0.005694153818860864,2.9684524505466436,62497,18,DA15,IDA,58,PumpBuy,slope
1.093589110053839,1.532580152015449,0.7135607939432687,62497,18,DA15,IDA,58,PumpBuy,intercept
0.0001885900214471912,9.410096125610977e-05,2.0041242823642937,28981,18,DA15,IDA,58,PumpBuy,gamma
-1.624402088382832,1.636989186379108,-0.9923108239803846,112336,82,ID15,DA,50,Retailer,slope
5.380334969297319,3.3677795344276724,1.5975912064005295,112336,82,ID15,DA,50,Retailer,intercept
-0.7050029320947182,6.301713102560416,-0.11187480620282002,74367,69,ID15,DA,50,Retailer,gamma
0.13315060076956825,0.088875586411359,1.4981684638713175,23097,18,ID15,DA,50,PumpBuy,slope
-4.895120261823935,4.690841478114648,-1.0435484304175189,23097,18,ID15,DA,50,PumpBuy,intercept
0.00023993951701918202,0.00021580109717399894,1.1118549449529465,16082,17,ID15,DA,50,PumpBuy,gamma
-1.6882737860782948,1.3662280690104696,-1.2357188557113135,265817,100,ID15,IDA,62,Retailer,slope
-10.574654365047348,4.51912104842445,-2.3399803306295817,265817,100,ID15,IDA,62,Retailer,intercept
-6.174558825339107,5.611743399728004,-1.1002924377544385,211778,92,ID15,IDA,62,Retailer,gamma
-5.308072865524395,1.2677750372020888,-4.186920163090627,6525,4,ID15,IDA,62,DirectCons,slope
0.15676616452076786,4.127254529083599,0.03798315888106268,6525,4,ID15,IDA,62,DirectCons,intercept
-25.369458508334596,0.14056493932407874,-180.48212186001928,4520,2,ID15,IDA,62,DirectCons,gamma
-0.01224545512270842,0.007635771761343727,-1.6036958025253352,35208,19,ID15,IDA,62,PumpBuy,slope
0.26444664380184957,1.1837593649324536,0.22339560863109972,35208,19,ID15,IDA,62,PumpBuy,intercept
-0.00018470261292373184,0.00018403217406843473,-1.003643052410215,17045,16,ID15,IDA,62,PumpBuy,gamma
