"reform","side","outcome","eff","lo","hi","p","n_pre","n_post"
"ID15","real","wedge_critical",1.08607426800612,-0.710931633034169,2.78666347607654,0.103655483224837,278,40
"ID15","real","wedge_morning",2.3564588984199,0.0154730787113856,4.71876692383114,0.0251256281407035,278,40
"ID15","real","wedge_evening",0.350379304168238,-1.62304011431193,2.34506003336286,0.350859453993933,278,40
"ID15","real","wedge_midday",1.26434169471853,-1.89416039001745,4.2113281504899,0.196294441662494,278,40
"ID15","real","wedge_flat",4.6876464844897,1.77503122696417,7.53668070849211,0.0025,278,40
"ID15","placebo","wedge_critical",-0.216514240539883,-2.0882346943816,1.88216240657081,0.401526717557252,279,40
"ID15","placebo","wedge_morning",0.329146937153914,-1.85623257716505,2.67393029052667,0.386659979939819,279,40
"ID15","placebo","wedge_evening",-0.618038966017198,-2.79011760756913,1.71895852516983,0.281767955801105,279,40
"ID15","placebo","wedge_midday",2.38572723597489,-0.242019448108487,4.92926522229901,0.0383043922369765,279,40
"ID15","placebo","wedge_flat",0.644483501122494,-1.66572588033102,2.99206892798615,0.291291291291291,279,40
"DA15","real","wedge_critical",0.152783807874298,-2.24358804019068,2.53182530299005,0.453453453453453,155,92
"DA15","real","wedge_morning",-0.798591345131457,-5.29453919873699,2.28309415640979,0.363181590795398,154,92
"DA15","real","wedge_evening",0.933269529105532,-1.71043114471696,3.17921547391073,0.234852278417626,155,92
"DA15","real","wedge_midday",-2.46681990112088,-7.28019513295084,3.86994465453888,0.190595297648824,155,92
"DA15","real","wedge_flat",-2.00291651598632,-4.65217204471016,0.265580380763086,0.038422649140546,154,92
"DA15","placebo","wedge_critical",0.510883275822531,-1.22258822258489,2.2445091981425,0.274234053239578,156,92
"DA15","placebo","wedge_morning",1.26470676038273,-1.36081693586348,3.64719557410324,0.1595,156,92
"DA15","placebo","wedge_evening",0.225672663039663,-1.96703724932393,2.22362751679307,0.389282103134479,156,92
"DA15","placebo","wedge_midday",-0.0210224604793996,-2.88550445104267,2.62521360597183,0.496725440806045,156,92
"DA15","placebo","wedge_flat",1.49539569681595,-1.68593302648597,5.31781160379094,0.181181181181181,156,92
