"reform","outcome","tech","eff","lo","hi","rel","p","n_pre","n_post"
"ID15","price",NA,-38.3434446525004,-63.4844245678784,-12.4396523182129,-0.58470102334389,0.00309214594928881,278,40
"ID15","cleared_gwh","ccgt",-8.07811887395757,-11.0401424895773,-4.58001859902049,-0.626097162432041,0.000504286434694907,278,40
"ID15","cleared_gwh","hydro",-1.26861457428447,-2.19058218686667,-0.352570294456311,-0.286851603799155,0.00402010050251256,278,40
"ID15","cleared_gwh","hydro_pump",-0.372132368399793,-0.834243233213075,0.12248985169696,-0.188578042111925,0.0625625625625626,277,40
"ID15","cleared_gwh","wind",5.34365869960706,3.91537697604358,6.82570195681322,0.454729049060755,0.000501756146512795,278,40
"ID15","cleared_gwh","solar",6.70486578038225,5.32849668333293,8.01290267312188,0.863154513131373,0.000588928150765607,278,40
"ID15","cleared_gwh","nuclear",11.5062710432068,4.0934836340174,17.9506524691852,1.53930652359405,0.00100150225338007,63,32
"DA15","price",NA,2.97072274303578,-17.653537372671,23.8340474680184,0.0719051800603658,0.38961038961039,156,40
"DA15","cleared_gwh","ccgt",40.3051091318909,27.4265854623997,51.7770545280604,4.41670341485044,5e-04,105,31
"DA15","cleared_gwh","hydro",6.16149292122886,-1.40800955473114,13.53715933366,0.615011853797477,0.0531914893617021,156,40
"DA15","cleared_gwh","hydro_pump",4.43363529239685,1.67170767325088,6.59968006959259,0.424022259094872,0.0025,156,40
"DA15","cleared_gwh","wind",13.1558643004049,4.94955357944243,21.4427031869166,0.102219989356748,0.00300902708124373,156,40
"DA15","cleared_gwh","solar",-3.36510169497804,-9.3236465970593,2.70595229167744,-0.0284737745653953,0.136600625651721,156,40
"DA15","cleared_gwh","nuclear",-18.2090355342211,-36.9490674890261,1.07244716604367,-0.129905631893396,0.0333162480779088,156,40
"PLB_ID15","price",NA,-18.0820684278365,-45.7770240081369,7.94907573171463,-0.526753383228174,0.0902439024390244,279,40
"PLB_ID15","cleared_gwh","ccgt",-9.18180814766298,-12.211947073255,-6.21862984982439,-0.67717051365394,0.000579038795599305,279,40
"PLB_ID15","cleared_gwh","hydro",4.97659870309103,3.62617165284438,6.29306818742311,0.925175030497594,0.000714796283059328,279,40
"PLB_ID15","cleared_gwh","hydro_pump",0.538276182450065,-0.086262858614238,1.22722260430925,0.236772164407459,0.0435217608804402,279,40
"PLB_ID15","cleared_gwh","wind",7.99014973022516,5.93841049522865,9.96995754744704,0.580590521957899,5e-04,279,40
"PLB_ID15","cleared_gwh","solar",2.54741267104381,1.81268080852834,3.24667342338933,0.42342717656325,0.000504795557799091,279,40
"PLB_ID15","cleared_gwh","nuclear",19.064457563375,7.87954566137818,31.0930318511995,0.853562271008862,0.000507872016251904,99,38
"PLB_DA15","price",NA,-8.54413712816138,-24.1838016958625,9.41215836463036,-0.0903642245068544,0.158163265306122,156,40
"PLB_DA15","cleared_gwh","ccgt",-18.687555512877,-29.6125737866505,-9.47691587236715,-0.650435068597797,0.000506585612968592,153,40
"PLB_DA15","cleared_gwh","hydro",9.28110134626374,6.0460226660058,12.6511977506719,0.803266343675341,0.000580046403712297,156,40
"PLB_DA15","cleared_gwh","hydro_pump",1.41802318789677,-0.685559378493327,3.57186983670753,0.201466436199199,0.0989399293286219,156,40
"PLB_DA15","cleared_gwh","wind",2.15173325105744,-6.32245267025939,11.1956934163504,0.0182867041863146,0.31681602530311,156,40
"PLB_DA15","cleared_gwh","solar",1.37712227154948,-3.12185390600381,5.9140385225082,0.0210273412006023,0.282198952879581,156,40
"PLB_DA15","cleared_gwh","nuclear",-34.7714926098381,-46.4432728954928,-21.9735564785867,-0.23464285624265,0.000504795557799091,156,40
