"tag","spec","eff","se","p","n"
"ID15 IDA daily","D: quadratic renewable x year, daily, no trend",-22.7106407553038,6.62195146330852,0.000632503107895206,910
"ID15 DA daily","D: quadratic renewable x year, daily, no trend",-23.2103063615606,6.85394870829965,0.000739425387937171,910
"DA15 DA daily","D: quadratic renewable x year, daily, no trend",-2.8289474617888,5.99342585763625,0.637011910735873,1158
"DA15 IDA daily","D: quadratic renewable x year, daily, no trend",-3.38937026172465,5.90027064715021,0.565782372375183,1157
