window,market,granularity_min,n_periods,n_in_band,mcp_mean,rd_mean,rd_sd,slope_eur_mwh_per_MW,se_slope,t_slope,h_band_eur
pre_ID15_IDA,IDA,60,6672,5012,86.11853267386091,15705.46315509444,5410.551215112682,0.0024424728711837872,5.55222522478972e-05,43.9908824353625,50.0
post_ID15_IDA,IDA,15,3797,3309,23.65820121148275,11824.93442127531,5789.729009587993,0.0019208289007222048,5.304136741030466e-05,36.21378924610895,50.0
pre_DA15_DA,DA,60,11375,7136,72.21802725274726,15390.424607623318,5445.863182338197,0.0023108287302786227,5.429996168351626e-05,42.55672856174624,50.0
post_DA15_DA,DA,15,14884,10216,60.201570142434825,15941.69929522318,6091.721758661268,0.0023903839461783803,4.063971216817967e-05,58.81891919623431,50.0
pre_DA15_IDA,IDA,15,14551,8543,56.265703388083296,14994.797612080065,5824.804803908666,0.0020563034799010566,5.1113792401897276e-05,40.229914143970454,50.0
post_DA15_IDA,IDA,15,14884,10250,58.50452633700618,16046.914731707317,6320.1585197408385,0.0020725548943758116,3.7697491850879654e-05,54.97858856430655,50.0
