tech,kind,point_effect,ci_lo,ci_hi,p_post,n_pre,n_post
CCGT,real,19.933504541195248,-0.9488955961743328,34.78144409879729,0.03120281831907398,156,123
CCGT,placebo,61.02255917427402,35.81764940940235,83.38664953482113,5.005005005005005e-4,156,123
Hydro,real,-8.95900156809806,-35.77602196757655,22.966695800366672,0.2586989409984871,156,123
Hydro,placebo,-23.345083191261324,-61.31038322640839,21.4145171777683,0.18655967903711135,156,123
Hydro_pump,real,25.612233730839407,-27.595099026822798,84.7088593902973,0.18382352941176472,156,123
Hydro_pump,placebo,45.28408578415535,11.934135383705215,68.03552259542572,0.004069175991861648,156,123
