"tag","eff","ci_lo","ci_hi","p","solar_base","solar_2024p_dev","solar_2024p_cum","n_pre","n_post"
"ID15_IDA",-31.3136422277446,-186.364401476146,126.198604300769,0.347140039447732,-0.286131406554822,0.113124011992104,-0.173007394562718,870,40
"ID15_DA",-32.2901458000329,-195.077679608477,128.242135055249,0.358811881188119,-0.382569911269761,0.231093112721357,-0.151476798548404,870,40
"DA15_DA",9.67170322596391,-213.183149361461,234.261441627347,0.461842625543693,-0.394325424702416,0.232044662974704,-0.162280761727712,1066,92
"DA15_IDA",-2.46178289506058,-221.768083070534,219.357573626958,0.484177215189873,-0.338164825658405,0.171842037790724,-0.166322787867681,1065,92
"PLB_ID15",-28.152397429165,-184.790565472716,131.01446431684,0.357608279034113,-0.319998557329974,0.16311942213533,-0.156879135194644,505,40
"PLB_DA15",20.3303167804175,-226.906486947102,268.135713477848,0.437906137184116,-0.400854549332976,0.25356317328919,-0.147291376043786,701,92
