reform,tech,spec,outcome,n,DiD,se,t
ID15,All,baseline,sigma_p,150350,1.7117744260463228,0.3380369707206804,5.063867488804235
ID15,All,baseline,n_eff,150350,0.09628941249172618,0.11545207369415603,0.8340206408661517
ID15,All,fourier_dow,sigma_p,150350,1.7373850194935176,0.33763780921397946,5.145706351839412
ID15,All,fourier_dow,n_eff,150350,0.10579173866929992,0.11462804164592146,0.9229132518558042
ID15,CCGT,baseline,sigma_p,50824,2.4548407287137515,0.5836704697217822,4.20586761890472
ID15,CCGT,baseline,n_eff,50824,0.7881880296805246,0.3021498053703494,2.6086001568474653
ID15,CCGT,fourier_dow,sigma_p,50824,2.4226692607284264,0.5734865191358715,4.224457210221612
ID15,CCGT,fourier_dow,n_eff,50824,0.7350437067234452,0.29768018730370943,2.4692396003282338
ID15,Hydro,baseline,sigma_p,81567,1.1711160122873578,0.4400032235868032,2.6616078008263084
ID15,Hydro,baseline,n_eff,81567,0.20573181720567302,0.06338944114350366,3.245521864436835
ID15,Hydro,fourier_dow,sigma_p,81567,1.2199214965005982,0.4403257680524889,2.7704976292806416
ID15,Hydro,fourier_dow,n_eff,81567,0.23209412522238715,0.06168542785780355,3.762543817599961
ID15,Hydro_pump,baseline,sigma_p,17959,0.24622083939613493,0.28403191260747773,0.8668773770375712
ID15,Hydro_pump,baseline,n_eff,17959,0.18487067393565526,0.07547745050628937,2.449349742149152
ID15,Hydro_pump,fourier_dow,sigma_p,17959,0.29009907937978596,0.27800795304303233,1.043492015981579
ID15,Hydro_pump,fourier_dow,n_eff,17959,0.18679279740881327,0.07391896031772835,2.526994381494484
DA15,All,baseline,sigma_p,317698,1.362041112616426,0.33501597562039653,4.065600483959434
DA15,All,baseline,n_eff,317698,0.13955216287773164,0.03520581403568298,3.9638953593371835
DA15,All,fourier_dow,sigma_p,317698,1.2030172357189777,0.32935157525498904,3.652684019463345
DA15,All,fourier_dow,n_eff,317698,0.12575029927897557,0.034414625918376386,3.6539783863182618
DA15,CCGT,baseline,sigma_p,159669,1.2963723498627644,0.7477712606748994,1.7336482665738266
DA15,CCGT,baseline,n_eff,159669,0.44051127328757067,0.06273983222676778,7.0212376675694665
DA15,CCGT,fourier_dow,sigma_p,159669,0.7867892350165064,0.7263192713541138,1.0832553479541516
DA15,CCGT,fourier_dow,n_eff,159669,0.4045146728815716,0.059619970545581456,6.784885486857238
DA15,Hydro,baseline,sigma_p,132822,1.6863981145147058,0.2871883634587426,5.87209765118834
DA15,Hydro,baseline,n_eff,132822,-0.03672120230398826,0.03544418947067733,-1.0360288344121225
DA15,Hydro,fourier_dow,sigma_p,132822,1.672892287753978,0.28546413098142487,5.86025390301254
DA15,Hydro,fourier_dow,n_eff,132822,-0.038030012803355606,0.035818763518337154,-1.0617343835413642
DA15,Hydro_pump,baseline,sigma_p,25207,-0.633815195050726,0.3649740354174637,-1.7366035211950273
DA15,Hydro_pump,baseline,n_eff,25207,-0.04995683430269482,0.034441318601149934,-1.4504913380705131
DA15,Hydro_pump,fourier_dow,sigma_p,25207,-0.6108566390876673,0.36026192153153497,-1.6955903540702035
DA15,Hydro_pump,fourier_dow,n_eff,25207,-0.04389472125076055,0.034989046082557554,-1.2545275211901983
