h,reform,tech,outcome,DiD,se,t,n
100.0,ID15,CCGT,sigma_p,0.6456859518737712,0.6691661840060289,0.9649112093625368,46246
100.0,ID15,CCGT,n_eff,0.6632312297571152,0.43203022732893404,1.535150060813111,46246
100.0,ID15,Hydro,sigma_p,1.1008972283702714,0.41437081577651097,2.6567923860835685,72532
100.0,ID15,Hydro,n_eff,0.20122231884119224,0.07042321511690144,2.8573293410016327,72532
100.0,ID15,Hydro_pump,sigma_p,0.03450235258657086,0.2601815620973694,0.13260875331995595,17599
100.0,ID15,Hydro_pump,n_eff,0.15638321956766754,0.07512933725966549,2.08152001963186,17599
100.0,DA15,CCGT,sigma_p,-0.6788778687695887,0.9602979980625561,-0.7069450005511362,154549
100.0,DA15,CCGT,n_eff,1.1144958731250152,0.12018767268142942,9.2729632603762,154549
100.0,DA15,Hydro,sigma_p,1.3144665430542397,0.3930355064642403,3.3443964258578616,122744
100.0,DA15,Hydro,n_eff,0.21552970716637485,0.04293931195961398,5.019402904478035,122744
100.0,DA15,Hydro_pump,sigma_p,-0.3084152332902157,0.38560970671214856,-0.7998119028690392,23852
100.0,DA15,Hydro_pump,n_eff,-0.014707317998723934,0.03760826940812208,-0.391066066856766,23852
140.0,ID15,CCGT,sigma_p,2.454840728713835,0.5836704697217816,4.205867618904867,50824
140.0,ID15,CCGT,n_eff,0.7881880296805832,0.30214980537035163,2.6086001568476402,50824
140.0,ID15,Hydro,sigma_p,1.1711160121411255,0.4400032235931489,2.661607800455579,81567
140.0,ID15,Hydro,n_eff,0.20573181720567457,0.06338944114350455,3.2455218644368142,81567
140.0,ID15,Hydro_pump,sigma_p,0.24622083939615558,0.284031912607482,0.8668773770376308,17959
140.0,ID15,Hydro_pump,n_eff,0.1848706739356597,0.07547745050629048,2.449349742149175,17959
140.0,DA15,CCGT,sigma_p,1.2963723498627857,0.7477712606750079,1.7336482665736037,159669
140.0,DA15,CCGT,n_eff,0.440511273287596,0.06273983222677626,7.021237667568921,159669
140.0,DA15,Hydro,sigma_p,1.686398114514521,0.2871883634587474,5.872097651187599,132822
140.0,DA15,Hydro,n_eff,-0.036721202304004164,0.03544418947067747,-1.0360288344125672,132822
140.0,DA15,Hydro_pump,sigma_p,-0.6338151950507838,0.36497403541746304,-1.7366035211951885,25207
140.0,DA15,Hydro_pump,n_eff,-0.049956834302698816,0.03444131860115,-1.4504913380706261,25207
200.0,ID15,CCGT,sigma_p,2.0946840411111527,0.5723938132596516,3.6595155163931756,51410
200.0,ID15,CCGT,n_eff,0.8411700133933522,0.2990805209354015,2.812520222856763,51410
200.0,ID15,Hydro,sigma_p,1.0598629415954823,0.4606459082810319,2.3008191813762484,85195
200.0,ID15,Hydro,n_eff,0.24201719075444017,0.0578314174207415,4.184873924041841,85195
200.0,ID15,Hydro_pump,sigma_p,0.23567394977881395,0.2848373713565489,0.8273982752207258,18057
200.0,ID15,Hydro_pump,n_eff,0.1869935257577876,0.07540885771314791,2.479728926130973,18057
200.0,DA15,CCGT,sigma_p,0.4981477497071296,0.7624231741256607,0.6533743550993193,160304
200.0,DA15,CCGT,n_eff,0.41643988797254394,0.04843753718856492,8.597462054095859,160304
200.0,DA15,Hydro,sigma_p,1.8188573354342559,0.2653432057827886,6.85473490858169,134734
200.0,DA15,Hydro,n_eff,-0.1344588988787197,0.033832278403811464,-3.97427856539428,134734
200.0,DA15,Hydro_pump,sigma_p,-0.6817269836504591,0.33777658044693,-2.018277829529893,26943
200.0,DA15,Hydro_pump,n_eff,-0.037409787748846735,0.03101969833160846,-1.2060010174479001,26943
