cell,tech,pretrend_slope_per_day,pretrend_t,n_pre_days
ID15 IDA,CCGT,0.0309128634205381,0.4212728471624851,76
ID15 IDA,Hydro,0.015447741704878643,0.29123658811674774,81
ID15 IDA,Hydro_pump,0.12613340209734275,1.606161410471491,78
ID15 IDA,Wind,,,0
DA15 DA,CCGT,-0.12227528586801141,-2.265936799868813,82
DA15 DA,Hydro,-0.02372567708532032,-1.1588986359757423,92
DA15 DA,Hydro_pump,0.06044248945902625,1.1757745051319242,92
DA15 DA,Wind,,,0
