hour_class,metric,pre_mean,pre_n,post_mean,post_n,diff,t,p
Critical,fase1_up_within_hour_sd,131.4500660196281,440,126.06638350006484,1716,-5.383682519563266,-0.8915713451083778,0.372966266993311
Flat,fase1_up_within_hour_sd,58.04329546184278,119,49.87949770556265,468,-8.163797756280132,-1.7920020838604298,0.07500887679688427
Other,fase1_up_within_hour_sd,84.69508090412714,400,82.75838094989513,1560,-1.9366999542320116,-0.4059384961383814,0.6849234572177755
ALL,fase1_up_within_hour_sd,102.83963875938115,959,98.49802171318134,3744,-4.341617046199801,-1.2073544008780912,0.2274967890957499
