reform,outcome_family,outcome,eff_placebo,eff_real,hi_placebo,hi_real,lo_placebo,lo_real,p_placebo,p_real,sig_at_05_placebo,sig_at_05_real,class
DA15,cleared_gwh,q_ccgt_gwh_da,-4.39838010304848,33.6946539089189,69.268915081434,125.758943639064,-73.1998195711362,-52.6556618087856,0.46969696969697,0.227189781021898,0.0,0.0,null
DA15,cleared_gwh,q_ccgt_gwh_ida,1.52095492474442,0.865391518546943,8.72302642325932,9.93484905806469,-5.36218174347283,-7.85244718820167,0.351397121083827,0.436666666666667,0.0,0.0,null
DA15,cleared_gwh,q_hydro_gwh_da,6.02971912029396,10.9547120879978,33.8108751635316,39.3101606920803,-20.8018542742413,-16.9120397409009,0.339111592632719,0.220555555555556,0.0,0.0,null
DA15,cleared_gwh,q_hydro_gwh_ida,-0.87768857721556,0.319031571614675,0.5279544013831,2.10751079614272,-2.26748711119977,-1.12406803529574,0.11317907444668,0.333333333333333,0.0,0.0,null
DA15,cleared_gwh,q_hydro_pump_gwh_da,-1.51650011048162,2.73274038456555,0.534103496041711,6.83484566535611,-3.52236228170017,-1.23727244335557,0.0816455696202532,0.0809935205183585,0.0,0.0,null
DA15,cleared_gwh,q_hydro_pump_gwh_ida,-0.917119801054235,-0.504516349529488,-0.313076402647743,0.0571598601334654,-1.51478571784591,-1.08365245553179,0.0025329280648429,0.0442477876106195,1.0,0.0,null
DA15,cleared_gwh,q_nuclear_gwh_da,-9.91289825784901,-42.7491928916875,123.167653963523,91.2107539421569,-141.233731060894,-175.741400886978,0.43859649122807,0.265193370165746,0.0,0.0,null
DA15,cleared_gwh,q_nuclear_gwh_ida,-23.1348959577353,-2.73575194423741,-7.5303627513996,5.16701347781683,-38.5541872969662,-11.5189202623178,0.0030456852791878,0.257,1.0,0.0,C-net-only
DA15,cleared_gwh,q_solar_gwh_da,-0.817272496403788,-1.1115857847488,5.15645760472686,6.71114845900208,-6.33815577933797,-8.70191527310179,0.391328515842135,0.376050420168067,0.0,0.0,null
DA15,cleared_gwh,q_solar_gwh_ida,-1.27294932007428,-3.69896417100868,0.580384818141912,-0.834551831087956,-3.16940550349292,-6.48955804676015,0.0937972768532526,0.0047120418848167,0.0,1.0,C-real-only-no-net
DA15,cleared_gwh,q_wind_gwh_da,-2.52788308003693,1.79066271374259,12.8812166753706,20.7346354816636,-17.402416507916,-16.9245839179368,0.380820399113082,0.433497536945813,0.0,0.0,null
DA15,cleared_gwh,q_wind_gwh_ida,-0.0061859365791932,-0.229668334666751,2.89939362520611,2.94560226112716,-3.07825831970073,-3.36561671923005,0.475675675675676,0.440281030444965,0.0,0.0,null
DA15,sell_share,SS_CCGT,0.129107377136184,-0.0392737589213306,0.20537518179988,0.07986230634153,0.0568504431711373,-0.159249454395708,0.0005807200929152,0.261477045908184,1.0,0.0,C-net-only
DA15,sell_share,SS_Hydro,0.0082388661266661,-0.0234556815020844,0.0915218641368848,0.0447802423829863,-0.0739102296700015,-0.0917786599107121,0.422853828306265,0.255237045203969,0.0,0.0,null
DA15,sell_share,SS_Hydro_pump,-0.112416727862902,-0.159945720759201,-0.0791164392755875,-0.0953293365310841,-0.152409258224781,-0.22792344646986,0.0011428571428571,0.0005521811154058,1.0,1.0,C-real-only-no-net
DA15,sell_share,SS_Nuclear,-0.440796911739004,0.176353255868279,-0.341085477295173,0.335076378826184,-0.540009664552865,-0.0049576353644937,0.000501253132832,0.0293929712460064,1.0,0.0,C-net-only
DA15,sell_share,SS_Solar_PV,-0.0170838567433783,-0.0106438499966002,0.119140580729686,0.125518782658099,-0.150808681713842,-0.141224305277766,0.400207361327112,0.436903499469777,0.0,0.0,null
DA15,sell_share,SS_Wind,0.0073862551951959,0.0378698174711279,0.138410517530154,0.186290585813439,-0.120588175371635,-0.11424576756806,0.455874390904169,0.320185614849188,0.0,0.0,null
DA15,wedge_sd,wedge_sd,0.090748083545904,1.11787932659364,1.15033136558683,2.37574983741472,-0.980941710699118,-0.454291251349996,0.423464249748238,0.0809451985922574,0.0,0.0,null
DA15,wedge_sd,wedge_sd_critical,-0.0536436255250425,1.15313689477633,1.20803631099377,2.5735488628208,-1.43338415168132,-0.785442245953926,0.491696024157021,0.107756376887038,0.0,0.0,null
ID15,cleared_gwh,q_ccgt_gwh_da,1.49221157996751,9.02518738232069,19.7813731054157,66.3560216907323,-17.1063698599732,-52.6125171538335,0.421212121212121,0.391941391941392,0.0,0.0,null
ID15,cleared_gwh,q_ccgt_gwh_ida,-8.64100445672932,-6.68483646340925,-6.03885713308975,1.4636059269189,-11.3114558335823,-14.3922907981342,0.000534188034188,0.0615020697811946,1.0,0.0,null
ID15,cleared_gwh,q_hydro_gwh_da,25.2849205587346,-3.74915829590964,28.7433347171227,26.0319453894278,21.708265890502,-33.2209677392431,0.0005271481286241,0.396153846153846,1.0,0.0,null
ID15,cleared_gwh,q_hydro_gwh_ida,4.43003284833284,-1.22944503174101,5.89275709057678,0.417819095861466,3.20665042015176,-2.74367101652641,0.0005128205128205,0.0664,1.0,0.0,C-net-only
ID15,cleared_gwh,q_hydro_pump_gwh_da,-1.5169342630523,-0.980419842518033,0.93678354695339,2.34403916647293,-3.84480697264978,-4.44176662884772,0.102217414818821,0.288297872340426,0.0,0.0,null
ID15,cleared_gwh,q_hydro_pump_gwh_ida,0.414798569514315,-0.293819614531442,1.04581135523763,0.341266399455493,-0.247433756878003,-0.914506420534654,0.104208416833667,0.170818505338078,0.0,0.0,null
ID15,cleared_gwh,q_nuclear_gwh_da,-21.6141110861646,56.8069116536865,-1.17748184653196,183.116885541298,-41.4726077423545,-66.4175410774857,0.0175879396984925,0.190352020860495,1.0,0.0,null
ID15,cleared_gwh,q_nuclear_gwh_ida,23.5454922105367,9.53343545697527,31.405852262881,18.3695612617455,15.419155735262,0.603488610165701,0.00050075112669,0.0200300450676014,1.0,1.0,B-medium
ID15,cleared_gwh,q_solar_gwh_da,9.13087750896774,6.82986693807094,12.6678909926591,13.2049003322697,5.55256596973208,0.345113472858677,0.0005417118093174,0.0205441421432537,1.0,1.0,C-real-only-no-net
ID15,cleared_gwh,q_solar_gwh_ida,2.47438428492185,6.14537776296778,3.12762613272673,8.20350649070811,1.86366955926726,4.14954064822921,0.0005060728744939,0.000669792364367,1.0,1.0,B-medium
ID15,cleared_gwh,q_wind_gwh_da,7.25283444552903,2.98371432176054,21.5052390313108,20.0534082934614,-7.00583452829981,-14.7595021736212,0.14924506387921,0.373646209386282,0.0,0.0,null
ID15,cleared_gwh,q_wind_gwh_ida,7.8258012240316,5.74315507115874,9.59107015004699,8.83570964883558,5.72225651965008,2.91945991831984,0.0005,0.0006006006006006,1.0,1.0,C-real-only-no-net
ID15,sell_share,SS_CCGT,,-0.0145277773342147,,0.116964735453001,,-0.147289151067092,,0.400190114068441,,0.0,null
ID15,sell_share,SS_Hydro,,0.0628440873247033,,0.130007829325723,,-0.0033155841774395,,0.0309892729439809,,0.0,null
ID15,sell_share,SS_Hydro_pump,,0.130241956947218,,0.192379239490728,,0.0684391726957372,,0.0007315288953913,,1.0,A-strong
ID15,sell_share,SS_Nuclear,,0.38834472740845,,0.533565080892301,,0.246721040024468,,0.0005800464037122,,1.0,A-strong
ID15,sell_share,SS_Solar_PV,,0.103862892762666,,0.239256562121272,,-0.0338998148269023,,0.0574428659666461,,0.0,null
ID15,sell_share,SS_Wind,,0.259854443550525,,0.38149986925148,,0.135416085473026,,0.000570125427594,,1.0,A-strong
ID15,wedge_sd,wedge_sd,-0.960347014728085,1.15265735406129,0.121319293366866,2.2304799704137,-2.06994330590174,0.0080085514664761,0.0400616332819723,0.0248190279214064,0.0,1.0,A-strong
ID15,wedge_sd,wedge_sd_critical,-0.676474803728366,2.11997812822743,0.477027542558093,3.29819134125312,-1.90468372019604,0.970600394368426,0.118421052631579,0.00050075112669,0.0,1.0,A-strong
