market,reform,tech,firm,theta,se,t,n,n_units
DA,DA15,CCGT,GE,-2.0585221683409696,0.8411937554370044,-2.447143901194983,47745,7
DA,DA15,CCGT,GN,38.08112471275817,2.224085634039097,17.12214859443166,76974,17
DA,DA15,CCGT,HC,-12.902540175046987,1.550617319571488,-8.320905494988663,69354,7
DA,DA15,CCGT,IB,7.360452929022086,1.3122603390782581,5.608988330922297,77752,10
DA,DA15,Hydro,GE,2.0099539918816065,0.39686692520123906,5.064554046327797,61504,9
DA,DA15,Hydro,GN,-1.1637178998425517,0.5774927652075067,-2.015121175456459,32460,3
DA,DA15,Hydro,HC,2.3903841547720504,0.32390667542873763,7.379854557205494,94492,9
DA,DA15,Hydro,IB,2.7238377806576204,0.4883617977152899,5.577499700837761,51733,6
IDA,ID15,CCGT,GE,2.103917909721643,0.8746650774718169,2.40539832206738,12507,6
IDA,ID15,CCGT,GN,2.8751241763435935,0.6744899467321885,4.262664240250246,28571,17
IDA,ID15,CCGT,HC,-1.033318159017905,1.6024226866769977,-0.6448474348305281,4373,5
IDA,ID15,CCGT,IB,6.4636241709748035,1.722113533281675,3.753308969506594,5373,7
IDA,ID15,Hydro,GE,-1.2738504791086789,0.700140008081742,-1.8194224932221779,9596,9
IDA,ID15,Hydro,GN,2.9576240201885913,1.13719940038869,2.6007963240023586,16023,3
IDA,ID15,Hydro,HC,1.3538666696813446,0.6643989138761408,2.0377316118456754,39552,9
IDA,ID15,Hydro,IB,-0.5546436971003614,0.795809959613876,-0.6969549581529144,16396,6
