"tag","eff","lo","hi","p","n_pre","n_post"
"ID15 wedge S1",1.60877553146968,0.532454414526226,2.68819232794874,0.00150060024009604,269,39
"ID15 wedge S2",1.51152580625698,-0.602825628733813,3.56548257899435,0.0818,273,40
"ID15 wedge S3",-0.625843369163343,-4.58169745349478,3.14753603487417,0.3732,273,40
"DA15 wedge S1",0.306315240556698,-0.636703759490305,1.22117184092271,0.265485840088062,456,83
"DA15 wedge S2",0.317786705929692,-1.26620350229043,1.93241309196704,0.352246572600821,465,92
"DA15 wedge S3",0.018442753472221,-3.1348876599647,3.08236237350093,0.4973,468,92
