theta,se,t,n,n_units,reform,market,h,firm,outcome
0.8640572609834516,1.2753615262615774,0.6774998643061096,2795,1,DA15,DA,50,HC,slope
13.262724224852072,9.555436198885863,1.3879768488641542,2795,1,DA15,DA,50,HC,intercept
-0.16964827095500823,16.905688315099372,-0.010034981586847683,524,1,DA15,DA,50,HC,gamma
-0.10761671872459869,0.041565979963233045,-2.589057657723707,2231,1,DA15,DA,50,REP,slope
13.731010835173969,6.7954895034359675,2.020606584445643,2231,1,DA15,DA,50,REP,intercept
2.024036947753618,1.006904676093284,2.0101574615848765,241532,88,DA15,DA,50,OTH,slope
14.218374859883259,2.608581334012276,5.450615886303948,241532,88,DA15,DA,50,OTH,intercept
2.3990972603083076,3.4819006360741622,0.6890194497374532,202838,77,DA15,DA,50,OTH,gamma
-2.4617411438262957,1.2116977441115733,-2.0316462218317195,881695,99,DA15,IDA,58,OTH,slope
22.192253143466345,4.259682253041789,5.2098376886255116,881695,99,DA15,IDA,58,OTH,intercept
0.5744125295837819,10.034429950197403,0.05724416159509706,701392,92,DA15,IDA,58,OTH,gamma
2.476961669979195,0.35702557739024804,6.9377709241031305,2710,1,ID15,DA,50,HC,slope
-147.95963824303297,27.488712600405805,-5.382559758031327,2710,1,ID15,DA,50,HC,intercept
0.007076135520571725,0.013448351920841133,0.5261712038934467,1218,1,ID15,DA,50,REP,slope
-15.1271514356443,4.282368133334832,-3.5324266771675816,1218,1,ID15,DA,50,REP,intercept
-1.7305653538886308,1.6579856544432596,-1.0437758307804799,108408,80,ID15,DA,50,OTH,slope
10.344612339462106,3.288272487199693,3.145910924271249,108408,80,ID15,DA,50,OTH,intercept
-0.625281695633078,6.3017069971638735,-0.09922417781634252,72886,68,ID15,DA,50,OTH,gamma
-1.691305012902302,1.366262036628581,-1.2379067613382602,265004,94,ID15,IDA,62,OTH,slope
-10.53506141338385,4.518671853363876,-2.3314508677015655,265004,94,ID15,IDA,62,OTH,intercept
-6.174508395063902,5.611727768979766,-1.1002865158917805,211721,88,ID15,IDA,62,OTH,gamma
