firm_class,DA15_placebo_post,DA15_placebo_pre,DA15_real_post,DA15_real_pre,ID15_placebo_post,ID15_placebo_pre,ID15_real_post,ID15_real_pre,DA15_delta_real,DA15_delta_placebo,DA15_placebo_net,ID15_delta_real,ID15_delta_placebo,ID15_placebo_net
Fringe,12.200098901098901,6.067869594594595,16.35029471153846,10.988101234567901,0.5739857142857143,5.300202666666666,0.1223125,12.412253409090908,5.362193476970559,6.132229306504306,-0.7700358295337475,-12.289940909090909,-4.726216952380952,-7.563723956709957
GE,8.14399,7.643285526315789,7.279919565217392,7.790182894736842,2.3341000000000003,5.277967647058823,1.7236500000000001,7.566110606060605,-0.5102633295194501,0.5007044736842117,-1.0109678032036618,-5.842460606060605,-2.9438676470588225,-2.8985929590017827
GN,10.822845070422536,6.1720125,23.214396551724136,10.621279310344828,2.135,9.20115294117647,3.2230000000000003,9.447129032258065,12.593117241379307,4.650832570422536,7.942284670956771,-6.224129032258064,-7.066152941176471,0.8420239089184065
HC,3.6453557377049184,0.7994882352941177,7.969862499999998,6.3068,,2.3652458333333333,,2.503609836065574,1.663062499999998,2.8458675024108007,-1.1828050024108028,,,
IB,9.439440298507463,4.315274,7.094481111111111,4.339615,3.1885999999999997,7.328071794871794,1.449275,8.255503278688524,2.7548661111111103,5.124166298507464,-2.3693001873963535,-6.806228278688524,-4.139471794871794,-2.66675648381673
