"reform","side","market","firm","eff_logb","lo","hi","p","n_pre","n_post"
"ID15","real","DA","IB",0.772499949079406,0.672254283186903,0.869033602410239,0.000503778337531486,278,40
"ID15","real","DA","GE",0.690411391238117,0.605187770753558,0.776506436321387,0.000506329113924051,278,40
"ID15","real","DA","GN",0.726541926059378,0.636014137433124,0.814003070389608,0.000506329113924051,278,40
"ID15","real","DA","HC",0.808300058462509,0.706736376972162,0.908559761989791,0.000502008032128514,278,40
"ID15","real","IDA","IB",0.114367136483873,0.0431268859404287,0.18638763916913,0.00107874865156419,242,38
"ID15","real","IDA","GE",0.112226605035987,0.0271739489856484,0.20259639348665,0.00509683995922528,242,38
"ID15","real","IDA","GN",0.145711020638624,0.0534102083795635,0.232885656515118,0.0005005005005005,242,38
"ID15","real","IDA","HC",0.0989187483699343,0.008432259104917,0.18104333229094,0.0166481687014428,242,38
"DA15","real","DA","IB",0.120411885543151,-0.00498507269517646,0.229037409994829,0.0284552845528455,156,92
"DA15","real","DA","GE",0.10925283551689,0.018497094397926,0.183778483746806,0.0106436898124683,156,92
"DA15","real","DA","GN",0.114497463559933,0.00833346668351023,0.205637504408334,0.0200445434298441,156,92
"DA15","real","DA","HC",0.124316168157542,0.0401373118270697,0.203112711293286,0.00304105423213381,156,92
"DA15","real","IDA","IB",-0.0935572948066037,-0.206109486607873,0.0310235317531488,0.0731707317073171,151,92
"DA15","real","IDA","GE",-0.116657258590875,-0.227116381040282,0.0073061174722833,0.0329447541814496,151,92
"DA15","real","IDA","GN",-0.118200781153567,-0.2651790668084,0.0258383619467222,0.0575757575757576,151,92
"DA15","real","IDA","HC",-0.0883509391343367,-0.196022192957822,0.024773987724695,0.0612137203166227,151,92
"DA15","placebo","DA","IB",-0.0637620442533438,-0.203360014306114,0.113563804868859,0.244244244244244,109,92
"DA15","placebo","DA","GE",-0.0128721530521201,-0.141752718021443,0.0924594880028148,0.419,109,92
"DA15","placebo","DA","GN",-0.0268085520107775,-0.171800099203039,0.116426297039352,0.332,109,92
"DA15","placebo","DA","HC",-0.06166319805161,-0.19776794478808,0.0642959969786766,0.1635,109,92
"DA15","placebo","IDA","IB",-0.0412359221788563,-0.172534958499771,0.122701429855159,0.251298026998962,84,83
"DA15","placebo","IDA","GE",-0.0509835133608254,-0.217556717805933,0.0696536469444787,0.366734486266531,84,83
"DA15","placebo","IDA","GN",-0.0572867754466966,-0.231216708110761,0.0671205501819591,0.34435261707989,84,83
"DA15","placebo","IDA","HC",-0.0489321357975117,-0.217179903511041,0.0439813509736243,0.242455775234131,84,83
