cell,firm,sigma_p,sigma_p_t,n,hhi,hhi_t
DA15 DA,Naturgy,4.441474797985992,10.150284900894437,36172,-76.27073271883377,-15.951749244427416
DA15 DA,Iberdrola,0.18076827854393063,0.7612408637023562,34078,-2.683536799121117,-2.4389526065059703
DA15 DA,Endesa,0.048231776875250876,0.3459005164182338,24461,1.1080362798417287,2.674037454325963
DA15 DA,EDP-HC,2.234931037697134,5.261761910776692,33882,-17.764057219469123,-5.462703255192734
ID15 IDA,Naturgy,0.0444609266342062,0.0920569291068836,18191,-6.134087565557646,-1.165003239196651
ID15 IDA,Iberdrola,1.5140100744386982,2.7076180152133897,2769,-7.880304384213801,-1.740183770544697
ID15 IDA,Endesa,3.928250600115722,4.090047595377141,5537,-4.546382930646827,-1.3019721010293195
ID15 IDA,EDP-HC,-0.19134479571034202,-0.17994624977395815,3499,-0.4238985265477142,-0.09856652112762007
