market,tech,outcome,regime,beta_crit,se_crit,beta_mid,se_mid,n_curves
DA,CCGT,sigma_p,pre_IDA,-0.4287641944568392,0.43007854369977266,5.669730989569651,0.47556124763579405,516155
DA,CCGT,sigma_p,3sess,7.022671853825628,1.0302852320572777,9.651763460970495,1.0377955528390328,91699
DA,CCGT,sigma_p,ISP15_win,-6.990650644176391,1.6943718213499104,3.826103766649986,1.2255989644054919,59804
DA,CCGT,sigma_p,ID15_pre,15.765984955613298,1.0343654184081135,3.844317299551115,1.1100793581091097,15589
DA,CCGT,sigma_p,ID15_post,4.394235449057863,0.7137424094102442,-1.1895454260074256,0.7481103110221993,79548
DA,CCGT,sigma_p,DA15_ID15,6.298452727318896,0.7149475539731366,1.7456487394703473,0.8021726552203984,287220
DA,CCGT,n_eff,pre_IDA,0.26196794368129983,0.026886598420582865,0.30977641794731237,0.028589531643848996,516155
DA,CCGT,n_eff,3sess,0.1963740243995964,0.05764881767620139,0.09537382904064651,0.04522460116671494,91699
DA,CCGT,n_eff,ISP15_win,0.8502939208435054,0.09128541010875436,-0.02823183161569376,0.055608448679686374,59804
DA,CCGT,n_eff,ID15_pre,0.24563366025248912,0.06515771693474166,-0.20248468869075542,0.06262889613782514,15589
DA,CCGT,n_eff,ID15_post,-0.012648041413653832,0.044458972600588544,-0.23434465906131496,0.043557418138888915,79548
DA,CCGT,n_eff,DA15_ID15,0.26919012252183383,0.051212639630715075,0.10680384910291418,0.05429401475526574,287220
IDA,CCGT,sigma_p,pre_IDA,-2.5677727435390647,0.27216168206628605,-2.7227643035036277,0.34067993489521897,741499
IDA,CCGT,sigma_p,3sess,-3.08150958692595,0.5064001327247949,-1.9354272685102125,0.6710408057517332,34736
IDA,CCGT,sigma_p,ISP15_win,-4.632345124725922,0.5548624317079095,-5.29945320472581,0.7177226693631006,24965
IDA,CCGT,sigma_p,ID15_pre,-2.128007061519062,0.5606986951273503,-2.716901574088228,0.7025878555475354,45014
IDA,CCGT,sigma_p,ID15_post,-1.1847120884377151,0.4083512749948315,-1.5307773267148055,0.5176993050443861,301513
IDA,CCGT,sigma_p,DA15_ID15,-2.647546890692949,0.4184033871477134,-3.057468130786529,0.5209045286527494,248159
IDA,CCGT,n_eff,pre_IDA,-1.7286579913778393,0.06441708880893653,-1.4843497640590355,0.0941866370789615,741499
IDA,CCGT,n_eff,3sess,-2.144145502951247,0.18098491215147178,-0.4170903818959011,0.2510921699891278,34736
IDA,CCGT,n_eff,ISP15_win,-2.4825891826929007,0.20554838589353744,-1.6879471439354266,0.25035961576665977,24965
IDA,CCGT,n_eff,ID15_pre,-2.1548399129268754,0.27439406893221907,-0.7273323026960785,0.26670253819773915,45014
