reform,market,tech,outcome,comparison,theta,se,t,n,n_units
DA15,da,Biomass,gamma,crit_vs_flat,0.20923026414804669,0.10606620781839339,1.972638302542982,13342,10
DA15,da,Biomass,gamma,morning_vs_flat,0.0428502029563487,0.07158324901188087,0.5986065671486458,7976,10
DA15,da,Biomass,hhi,crit_vs_flat,0.012731936046475704,0.003957281901024689,3.2173437134157483,142523,82
DA15,da,Biomass,hhi,morning_vs_flat,0.007840645399187014,0.003282630149546165,2.3885253720316344,80547,81
DA15,ida,CCGT,sigma_p,crit_vs_flat,-1.0114117549088444,0.218624062479995,-4.626259998262509,365208,56
DA15,ida,CCGT,sigma_p,morning_vs_flat,-0.8538016085992214,0.18234922767929312,-4.682233204194568,169578,56
DA15,ida,CCGT,beta,crit_vs_flat,0.1605406372286878,0.20382779956546787,0.7876287609979493,257524,53
DA15,ida,CCGT,beta,morning_vs_flat,-0.09557131508105247,0.15137106404554787,-0.6313710991176944,122484,50
DA15,ida,CCGT,gamma,crit_vs_flat,0.007672168700545233,0.004856372379057512,1.5798147468325296,210736,50
DA15,ida,CCGT,gamma,morning_vs_flat,0.013038492393700599,0.004778191128024178,2.728750701751883,101174,49
DA15,ida,CCGT,hhi,crit_vs_flat,-0.003314575455822928,0.011625958166857978,-0.28510127150394887,365208,56
DA15,ida,CCGT,hhi,morning_vs_flat,0.004340229273985342,0.009375903823163952,0.46291316078375766,169578,56
DA15,ida,Hydro,sigma_p,crit_vs_flat,0.4363342964804744,0.15241194969431004,2.862861457750671,308075,48
DA15,ida,Hydro,sigma_p,morning_vs_flat,-0.0563305507230773,0.12728340514407,-0.4425600545437771,132801,40
DA15,ida,Hydro,beta,crit_vs_flat,0.08095334710899356,0.15698939024103586,0.5156612621063162,183547,26
DA15,ida,Hydro,beta,morning_vs_flat,-0.03496499554944549,0.08252023003959916,-0.4237142278041004,84491,25
DA15,ida,Hydro,gamma,crit_vs_flat,0.6571005092579129,0.9186165130620658,0.7153153681807549,116543,22
DA15,ida,Hydro,gamma,morning_vs_flat,0.7609899545941079,0.777168702173502,0.9791824509477195,55650,22
DA15,ida,Hydro,hhi,crit_vs_flat,-0.007629226438221143,0.008859097186786243,-0.8611742570789821,308075,48
DA15,ida,Hydro,hhi,morning_vs_flat,0.00048749980576737184,0.007212681362126873,0.06758926137056165,132801,40
DA15,ida,Hydro_pump,sigma_p,crit_vs_flat,-0.022376807591058534,0.16604393585127716,-0.13476437712908151,67892,29
DA15,ida,Hydro_pump,sigma_p,morning_vs_flat,-0.11289935541860818,0.14506239988144665,-0.7782813155640335,30692,29
DA15,ida,Hydro_pump,beta,crit_vs_flat,-0.18413162895725677,0.2721020826433514,-0.676700549913104,32557,26
