market,reform,tech,firm,outcome,theta,se,t,n,n_units
DA,DA15,CCGT,GN,slope,-0.48664385022869927,0.12285643810655923,-3.9610773169787805,13372,16
DA,DA15,CCGT,HC,slope,-0.024389560869218375,0.008890253425340989,-2.7434044568063487,14335,7
DA,DA15,CCGT,IB,slope,0.004193454922329812,0.002096109443382163,2.000589680834361,18153,10
DA,DA15,CCGT,GN,intercept,86.90352548115251,23.192291756720262,3.747086592077349,13372,16
DA,DA15,CCGT,HC,intercept,2.935847215490288,1.2130871223992132,2.420145397046045,14335,7
DA,DA15,CCGT,IB,intercept,-0.8468205805717736,0.7355860275556403,-1.1512189585571204,18153,10
DA,DA15,CCGT,GN,gamma,0.002770726140131072,0.0009034315285188498,3.0668911286211125,12513,16
DA,DA15,CCGT,HC,gamma,-0.00010110320061227092,0.00035910368646777503,-0.2815431988647759,13603,7
DA,DA15,CCGT,IB,gamma,-5.6095191383902586e-06,5.380569549918581e-06,-1.0425511809386687,17679,10
DA,DA15,Hydro,GE,slope,0.2747639945935106,0.2728950582421858,1.0068485532987048,3835,8
DA,DA15,Hydro,GN,slope,0.16314492699285044,0.04701687300760023,3.4699229565198486,3706,3
DA,DA15,Hydro,HC,slope,-1.9979118925552355,0.6508997545556479,-3.069461739034081,29407,8
DA,DA15,Hydro,IB,slope,-0.48105845770353495,0.1580612036611734,-3.0434948397251986,12887,5
DA,DA15,Hydro,GE,intercept,-4.071903105078221,15.32611344276757,-0.26568399877007054,3835,8
DA,DA15,Hydro,GN,intercept,4.747948355659961,2.6250036180145844,1.8087397377574135,3706,3
DA,DA15,Hydro,HC,intercept,12.74611890327407,2.8231147294668584,4.514913535122662,29407,8
DA,DA15,Hydro,IB,intercept,146.49982707041423,69.83168277951208,2.0978991374585036,12887,5
DA,DA15,Hydro,GE,gamma,0.0158391849378423,0.009005539408631622,1.7588268974383445,763,6
DA,DA15,Hydro,HC,gamma,-8.059192793023968,1.9384017803937503,-4.15764826185152,26244,8
DA,DA15,Hydro,IB,gamma,-0.033081986980890474,0.016346325306034488,-2.0238179750820064,11780,4
DA,DA15,Hydro_pump,GE,slope,0.05932416214400417,0.021042125805657286,2.8193046031525273,3881,5
DA,DA15,Hydro_pump,IB,slope,0.0037755993997054304,0.001143949396308957,3.300495119703459,3718,1
DA,DA15,Hydro_pump,GE,intercept,-13.202301133302953,4.141405192572459,-3.187879601102799,3881,5
DA,DA15,Hydro_pump,IB,intercept,-3.807004535459008,1.8014319892489654,-2.1133212678465787,3718,1
DA,DA15,Hydro_pump,GE,gamma,0.0001115007928830794,9.48792564964991e-05,1.1751861998116901,2120,4
DA,DA15,Hydro_pump,IB,gamma,-2.5464884758271135e-05,1.2468273583993931e-05,-2.042374558652733,3689,1
IDA,DA15,CCGT,GE,slope,0.48907395127999054,0.23519554560364392,2.0794354332891465,22299,6
IDA,DA15,CCGT,GN,slope,0.5395472470234244,0.8225512297885902,0.6559436391118123,106378,16
IDA,DA15,CCGT,HC,slope,0.06112526433046185,0.05753909751009722,1.062325739810836,12394,6
IDA,DA15,CCGT,IB,slope,0.04466608130952731,0.016097706165073642,2.7746860858000373,9938,10
IDA,DA15,CCGT,GE,intercept,-41.98728477712136,19.82698480187532,-2.1176838130803444,22299,6
IDA,DA15,CCGT,GN,intercept,4.218435388938864,1.5275533339675862,2.7615634067467374,106378,16
IDA,DA15,CCGT,HC,intercept,-1.1589134363028482,5.285083367974221,-0.219280067240843,12394,6
IDA,DA15,CCGT,IB,intercept,-4.919040352863886,2.3718409922770083,-2.0739334419469335,9938,10
IDA,DA15,CCGT,GN,gamma,0.007792948960424929,0.016509644389064517,0.4720240349687204,104475,16
IDA,DA15,CCGT,HC,gamma,-0.0004268349920846248,0.002230101821634503,-0.1913970868701348,11372,6
IDA,DA15,CCGT,IB,gamma,0.005926466563632222,0.004039282012040954,1.467207921102225,301,9
IDA,DA15,Hydro,GE,slope,-1.883446171809745,0.9086275377252226,-2.0728473369022153,2140,7
IDA,DA15,Hydro,GN,slope,0.17582525030516938,0.08672018956012961,2.0275007607456454,19056,3
IDA,DA15,Hydro,HC,slope,-0.07317471730827814,0.05326780664148873,-1.3737137292092763,65268,8
IDA,DA15,Hydro,IB,slope,0.09996314942386153,0.07934848725674629,1.259799057043303,27970,4
IDA,DA15,Hydro,GE,intercept,68.61876249735738,28.08631098537988,2.4431390271608247,2140,7
IDA,DA15,Hydro,GN,intercept,3.340599312957976,3.4935420452807855,0.9562212990882962,19056,3
IDA,DA15,Hydro,HC,intercept,4.342311370764519,2.6537774720551184,1.636275617111852,65268,8
IDA,DA15,Hydro,IB,intercept,4.650605615022512,3.5149340551926787,1.323098966295565,27970,4
IDA,DA15,Hydro,GN,gamma,-0.012059757268712027,0.011534118489469771,-1.0455725142517085,11295,3
IDA,DA15,Hydro,HC,gamma,0.030708782857277548,0.028997902080204842,1.0590001570575902,40216,8
IDA,DA15,Hydro,IB,gamma,-0.000905525304311355,0.0008505261913560777,-1.0646648081084802,19275,4
IDA,DA15,Hydro_pump,GE,slope,-29.67040563396267,31.53113358467885,-0.94098759736249,1782,10
IDA,DA15,Hydro_pump,GN,slope,-1.6957887512235885,1.8175441284761218,-0.9330110475201412,6687,2
IDA,DA15,Hydro_pump,HC,slope,-0.0821781221766525,0.048238301861601045,-1.7035865485569353,1443,6
IDA,DA15,Hydro_pump,IB,slope,0.014572875039856778,0.007728836045919003,1.8855200127516716,5015,6
IDA,DA15,Hydro_pump,GE,intercept,1245.4482938999565,1302.5557104282047,0.9561574095671695,1782,10
IDA,DA15,Hydro_pump,GN,intercept,104.08072231690194,92.95320603533399,1.1197109465738933,6687,2
IDA,DA15,Hydro_pump,HC,intercept,22.17550481800047,11.450450873785153,1.9366490509792438,1443,6
IDA,DA15,Hydro_pump,IB,intercept,-10.444932459378165,8.107307936941408,-1.288335479621446,5015,6
IDA,DA15,Hydro_pump,GN,gamma,0.00043083108805634364,0.0003282463583413444,1.3125235881773927,3942,2
IDA,DA15,Hydro_pump,HC,gamma,-0.0007681323913993942,0.0019969539197139856,-0.3846520361919068,348,3
IDA,DA15,Hydro_pump,IB,gamma,9.712974486711395e-06,9.942772347560006e-05,0.09768879490733785,3861,6
DA,ID15,CCGT,HC,slope,-0.013009194291957857,0.018063023326201653,-0.7202113431967465,15256,7
DA,ID15,CCGT,IB,slope,0.002771644548355292,0.0019003434309991616,1.4584966607314858,15797,10
DA,ID15,CCGT,HC,intercept,11.775488503160506,2.6985836656413835,4.363581034409685,15256,7
DA,ID15,CCGT,IB,intercept,2.953370789868917,2.272260448713692,1.2997501195520063,15797,10
DA,ID15,CCGT,HC,gamma,0.002240307389309249,0.0004135919872667897,5.416708878027965,13795,7
DA,ID15,CCGT,IB,gamma,7.41371363483326e-05,3.331765859711596e-05,2.225160454544968,15578,10
DA,ID15,Hydro,GE,slope,-0.42014100534224164,0.7770902793994032,-0.5406591955660027,4091,8
DA,ID15,Hydro,GN,slope,0.0020182743810231163,0.058605081657997694,0.03443855590546195,5779,3
DA,ID15,Hydro,HC,slope,0.19337326113327324,0.4694393236446101,0.4119238661814084,30851,8
DA,ID15,Hydro,IB,slope,0.1610879373086661,0.18206225536260362,0.8847959012033324,12715,5
DA,ID15,Hydro,GE,intercept,51.85324439615344,57.152021303868246,0.9072862728766486,4091,8
DA,ID15,Hydro,GN,intercept,-2.1975823587915526,1.7882472958452695,-1.228902939709353,5779,3
DA,ID15,Hydro,HC,intercept,0.36156622197431076,2.0927444511087154,0.17277132035053613,30851,8
DA,ID15,Hydro,IB,intercept,-9.257572288804408,12.499833396580717,-0.7406156542323822,12715,5
DA,ID15,Hydro,GE,gamma,-0.02326774320080347,0.026425562635528272,-0.8805013358361112,1180,8
DA,ID15,Hydro,HC,gamma,-0.7525870579444014,3.1880368286147305,-0.23606598618605557,27845,8
DA,ID15,Hydro,IB,gamma,-0.06645934886654181,0.04905562146290408,-1.354775393413341,12059,4
DA,ID15,Hydro_pump,GE,slope,-0.02315938123747452,0.025333648060421928,-0.9141747442862678,2773,5
DA,ID15,Hydro_pump,GN,slope,-0.02267329924527381,0.15051700226918557,-0.15063613348294524,255,1
DA,ID15,Hydro_pump,IB,slope,-0.012997503964763327,0.0046270938338056926,-2.8089994349807985,3828,1
DA,ID15,Hydro_pump,GE,intercept,-2.6798791429747304,3.675085923523744,-0.7292017652760646,2773,5
DA,ID15,Hydro_pump,GN,intercept,4.069714055313554,13.123805685149685,0.3101016696642089,255,1
DA,ID15,Hydro_pump,IB,intercept,0.9740920707629035,1.3328907699554653,0.7308116259184914,3828,1
DA,ID15,Hydro_pump,GE,gamma,0.00044461783380794984,0.00033403617759105955,1.3310469453170093,913,5
DA,ID15,Hydro_pump,IB,gamma,-1.415354699173321e-05,6.591343460688713e-05,-0.2147293199959321,3777,1
IDA,ID15,CCGT,GE,slope,0.1089186644018927,0.12568146543358277,0.8666247169074545,6618,7
IDA,ID15,CCGT,GN,slope,-1.1965936981808531,0.6341847777835193,-1.8868218539759931,26383,17
IDA,ID15,CCGT,HC,slope,-0.21065499559734788,0.10289481883207315,-2.0472847708798825,3365,6
IDA,ID15,CCGT,IB,slope,-0.2526459978289439,0.25341493368934637,-0.9969657042337329,1927,9
IDA,ID15,CCGT,GE,intercept,-2.937971125103024,11.230723248893929,-0.26160123974138294,6618,7
IDA,ID15,CCGT,GN,intercept,10.314464087170007,6.812785889241931,1.5139862392354906,26383,17
IDA,ID15,CCGT,HC,intercept,1.7052429787307695,7.433641499569306,0.2293953749087266,3365,6
IDA,ID15,CCGT,IB,intercept,32.20784906474673,29.22267285246979,1.102152743773561,1927,9
IDA,ID15,CCGT,GE,gamma,0.004448889206878933,0.002675176941268023,1.6630261491302245,2208,7
IDA,ID15,CCGT,GN,gamma,0.010929166005430686,0.00922881134748553,1.1842441668729562,25934,17
IDA,ID15,CCGT,HC,gamma,-0.0028514955474108396,0.003837259239003615,-0.7431073507953194,2985,6
IDA,ID15,Hydro,GE,slope,-40.761426881904185,30.246927404277027,-1.3476220687507046,1480,7
IDA,ID15,Hydro,GN,slope,-0.38696290377716036,0.2739022839971719,-1.4127772070026106,12000,3
IDA,ID15,Hydro,HC,slope,0.06382675321360114,0.07494089969488445,0.8516945149239785,36828,8
IDA,ID15,Hydro,IB,slope,0.09229221824153228,0.11586543436830153,0.796546603779717,17305,5
IDA,ID15,Hydro,GE,intercept,2548.62292610012,2315.481716116185,1.100687994364727,1480,7
IDA,ID15,Hydro,GN,intercept,11.25213381643426,11.014979562086378,1.0215301583639944,12000,3
IDA,ID15,Hydro,HC,intercept,-9.781716505201047,3.801692493161093,-2.572989930878809,36828,8
IDA,ID15,Hydro,IB,intercept,-13.605068074730635,13.37817763026216,-1.0169597422563172,17305,5
IDA,ID15,Hydro,GE,gamma,-0.33739298360700337,0.21293164617898921,-1.584513103906559,221,5
IDA,ID15,Hydro,GN,gamma,0.010211125465019236,0.015736475898422985,0.6488826043982652,8248,3
IDA,ID15,Hydro,HC,gamma,-0.3108562896254215,0.29546958878971985,-1.0520754129002836,24217,8
IDA,ID15,Hydro,IB,gamma,0.0007521168087782191,0.0005439891279175917,1.3825952949783151,13232,5
IDA,ID15,Hydro_pump,GE,slope,-0.22003950347375723,0.21088215475299174,-1.043424009639372,978,10
IDA,ID15,Hydro_pump,GN,slope,-0.024825596318166956,0.014566911207591937,-1.7042457364076216,5628,2
