spec,market,tech,outcome,regime,beta_crit,se_crit,t_crit,star_crit,beta_mid,se_mid,t_mid,star_mid,block_beta,block_se,n_curves
v2_base,DA,CCGT,sigma_p,pre_IDA,-0.4287641944568392,0.43007854369977266,-0.9969439320742981,,5.669730989569651,0.47556124763579405,11.922188819539356,***,,,516155
v2_base,DA,CCGT,sigma_p,3sess,7.022671853825628,1.0302852320572777,6.816240430625923,***,9.651763460970495,1.0377955528390328,9.300255175084114,***,,,91699
v2_base,DA,CCGT,sigma_p,ISP15_win,-6.990650644176391,1.6943718213499104,-4.125806718508174,***,3.826103766649986,1.2255989644054919,3.121823596273954,***,,,59804
v2_base,DA,CCGT,sigma_p,ID15_pre,15.765984955613298,1.0343654184081135,15.242181027162646,***,3.844317299551115,1.1100793581091097,3.4631013282685115,***,,,15589
v2_base,DA,CCGT,sigma_p,ID15_post,4.394235449057863,0.7137424094102442,6.156612513313816,***,-1.1895454260074256,0.7481103110221993,-1.5900668771455113,,,,79548
v2_base,DA,CCGT,sigma_p,DA15_ID15,6.298452727318896,0.7149475539731366,8.809670992392197,***,1.7456487394703473,0.8021726552203984,2.176150892342157,**,,,287220
v2_base,DA,CCGT,n_eff,pre_IDA,0.26196794368129983,0.026886598420582865,9.743439448284835,***,0.30977641794731237,0.028589531643848996,10.835309294545942,***,,,516155
v2_base,DA,CCGT,n_eff,3sess,0.1963740243995964,0.05764881767620139,3.40638424715974,***,0.09537382904064651,0.04522460116671494,2.1088926509061428,**,,,91699
v2_base,DA,CCGT,n_eff,ISP15_win,0.8502939208435054,0.09128541010875436,9.314674928123715,***,-0.02823183161569376,0.055608448679686374,-0.5076896098705012,,,,59804
v2_base,DA,CCGT,n_eff,ID15_pre,0.24563366025248912,0.06515771693474166,3.769832213404624,***,-0.20248468869075542,0.06262889613782514,-3.233087299593381,***,,,15589
v2_base,DA,CCGT,n_eff,ID15_post,-0.012648041413653832,0.044458972600588544,-0.2844879373907619,,-0.23434465906131496,0.043557418138888915,-5.380131997587053,***,,,79548
v2_base,DA,CCGT,n_eff,DA15_ID15,0.26919012252183383,0.051212639630715075,5.256321963931449,***,0.10680384910291418,0.05429401475526574,1.967138543435043,**,,,287220
v2_base,IDA,CCGT,sigma_p,pre_IDA,-2.5677727435390647,0.27216168206628605,-9.434732781059434,***,-2.7227643035036277,0.34067993489521897,-7.992147539716576,***,,,741499
v2_base,IDA,CCGT,sigma_p,3sess,-3.08150958692595,0.5064001327247949,-6.0851279211662614,***,-1.9354272685102125,0.6710408057517332,-2.884216953605453,***,,,34736
v2_base,IDA,CCGT,sigma_p,ISP15_win,-4.632345124725922,0.5548624317079095,-8.348637175645871,***,-5.29945320472581,0.7177226693631006,-7.3837060342938425,***,,,24965
v2_base,IDA,CCGT,sigma_p,ID15_pre,-2.128007061519062,0.5606986951273503,-3.795277356648266,***,-2.716901574088228,0.7025878555475354,-3.8669919393510055,***,,,45014
v2_base,IDA,CCGT,sigma_p,ID15_post,-1.1847120884377151,0.4083512749948315,-2.901208251284902,***,-1.5307773267148055,0.5176993050443861,-2.9568850330667544,***,,,301513
v2_base,IDA,CCGT,sigma_p,DA15_ID15,-2.647546890692949,0.4184033871477134,-6.327737709633448,***,-3.057468130786529,0.5209045286527494,-5.8695364747437795,***,,,248159
v2_base,IDA,CCGT,n_eff,pre_IDA,-1.7286579913778393,0.06441708880893653,-26.835394510067086,***,-1.4843497640590355,0.0941866370789615,-15.759664110468547,***,,,741499
v2_base,IDA,CCGT,n_eff,3sess,-2.144145502951247,0.18098491215147178,-11.847095304589514,***,-0.4170903818959011,0.2510921699891278,-1.6611046928064739,*,,,34736
v2_base,IDA,CCGT,n_eff,ISP15_win,-2.4825891826929007,0.20554838589353744,-12.077882158504242,***,-1.6879471439354266,0.25035961576665977,-6.7420903278132025,***,,,24965
v2_base,IDA,CCGT,n_eff,ID15_pre,-2.1548399129268754,0.27439406893221907,-7.853084876478015,***,-0.7273323026960785,0.26670253819773915,-2.727129286474275,***,,,45014
v2_base,IDA,CCGT,n_eff,ID15_post,-0.7864722468024439,0.1460926386880443,-5.383380393873369,***,0.8821412290338957,0.2133179767001915,4.135334689929598,***,,,301513
v2_base,IDA,CCGT,n_eff,DA15_ID15,-2.4500061073347537,0.16654027199890056,-14.71119314222645,***,-1.080469420095615,0.22119678339509863,-4.884652495898621,***,,,248159
v2_block,IDA,CCGT,sigma_p,pre_IDA,-2.567771851479403,0.2721615732342823,-9.43473327613745,***,-2.722862593497833,0.3406807397068197,-7.992417169931744,***,-1.3978325074435372,0.7720371066054715,741499
v2_block,IDA,CCGT,sigma_p,3sess,-3.088883544308045,0.506503869028437,-6.09844017624794,***,-1.9478152632211376,0.671226296162058,-2.9018756779321193,***,-1.3978325074435372,0.7720371066054715,34736
v2_block,IDA,CCGT,sigma_p,ISP15_win,-4.64272694921069,0.5548407488729756,-8.367674794328398,***,-5.320297514485938,0.7170953408477987,-7.419233135995448,***,-1.3978325074435372,0.7720371066054715,24965
v2_block,IDA,CCGT,sigma_p,ID15_pre,-2.127861375419183,0.5606967953708859,-3.7950303853826375,***,-2.7170787381901196,0.7025887067728273,-3.867239413326709,***,-1.3978325074435372,0.7720371066054715,45014
v2_block,IDA,CCGT,sigma_p,ID15_post,-1.1847628877733385,0.4083304843491597,-2.901480377253094,***,-1.5302357766387154,0.5177255133290654,-2.9556893319763833,***,-1.3978325074435372,0.7720371066054715,301513
v2_block,IDA,CCGT,sigma_p,DA15_ID15,-2.646275970424991,0.4184144656161723,-6.3245327011531245,***,-3.054871122318845,0.5209416348603501,-5.864133173263778,***,-1.3978325074435372,0.7720371066054715,248159
v2_block,IDA,CCGT,n_eff,pre_IDA,-1.7286569189140972,0.06441605972277156,-26.83580657298422,***,-1.484467931554407,0.09418274058297517,-15.761570775768496,***,-1.680520664198589,0.2451404403249023,741499
v2_block,IDA,CCGT,n_eff,3sess,-2.1530107194142665,0.18091003273329131,-11.901002320796476,***,-0.4319836405580353,0.251606334630911,-1.7169028800158204,*,-1.680520664198589,0.2451404403249023,34736
