"reform","side","tech","market","eff","lo","hi","p","n_pre","n_post"
"ID15","real","ccgt","da",13.5996603754763,-29.3438436258882,56.42321984105,0.25,271,15
"ID15","real","ccgt","ida",-8.12993393142125,-11.12169024398,-5.19345613413816,0.000772200772200772,278,40
"ID15","real","hydro","da",-3.23588407114442,-16.4832266261377,9.69599808978782,0.354618015963512,278,40
"ID15","real","hydro","ida",-1.26333225285762,-2.133628659023,-0.367927185086468,0.00204220558202859,278,40
"ID15","real","hydro_pump","da",-0.830172194188528,-2.25959908637729,0.650449998881303,0.140093395597065,278,40
"ID15","real","hydro_pump","ida",-0.371281108513011,-0.837265245599598,0.110621523546322,0.0654205607476635,277,40
"ID15","real","nuclear","da",52.35572106255,-1.17365730787542,102.150809103355,0.028677150786309,278,40
"ID15","real","nuclear","ida",11.5208862833422,3.98357841109814,17.9304574857333,0.00201612903225806,63,32
"ID15","real","solar","da",11.3021728208586,6.67779838575604,16.0277028816791,0.000716332378223496,278,40
"ID15","real","solar","ida",6.73923895078518,5.3607461749938,8.0519144313254,0.000834724540901503,278,40
"ID15","real","wind","da",9.84804103882482,-2.57832553967063,20.9427606165943,0.057316250842886,278,40
"ID15","real","wind","ida",5.35397643050485,3.9245596364298,6.70165708293203,0.000669792364367046,278,40
"ID15","placebo","ccgt","da",-11.9875586906765,-29.2511592303913,4.41593299452805,0.0892219842969308,241,28
"ID15","placebo","ccgt","ida",-9.30911169501903,-12.3303067680245,-6.33581579183565,0.000716845878136201,279,40
"ID15","placebo","hydro","da",15.7287944966436,6.38476996698481,24.6332302201077,0.00162866449511401,279,40
"ID15","placebo","hydro","ida",4.9883884012196,3.7358305483079,6.22575114755848,0.0016366612111293,279,40
"ID15","placebo","hydro_pump","da",-0.256615241970641,-3.03467360602836,2.24110757581153,0.41907261592301,279,40
"ID15","placebo","hydro_pump","ida",0.535228057959002,-0.105350853206345,1.21649995981643,0.0493662441627752,279,40
"ID15","placebo","nuclear","da",-50.3623911482286,-160.204189698503,62.1534286150598,0.176514032496307,279,40
"ID15","placebo","nuclear","ida",19.1074088943799,7.76230148589497,31.8155820873504,0.00068073519400953,99,38
"ID15","placebo","solar","da",10.5852764352611,6.15094344926831,14.6141678714997,0.000673854447439353,279,40
"ID15","placebo","solar","ida",2.55448600237121,1.82951694413997,3.21773409169291,0.000674308833445718,279,40
"ID15","placebo","wind","da",9.59493786250678,-2.72342290087702,21.8150860868608,0.063973063973064,279,40
"ID15","placebo","wind","ida",8.00097588207994,5.97863535425329,9.93717030230435,0.000668002672010688,279,40
"DA15","real","ccgt","da",35.7763753688654,21.4538561040332,48.9863457812888,0.000666666666666667,105,64
"DA15","real","ccgt","ida",2.05808203764455,-1.04174071724007,5.60924190826215,0.0920464700625559,155,92
"DA15","real","hydro","da",10.7453136509849,1.2183296202728,20.4914141904975,0.0135135135135135,156,92
"DA15","real","hydro","ida",-0.51562892065708,-1.42718368398847,0.349915629402853,0.122736418511066,155,92
"DA15","real","hydro_pump","da",4.94342932779748,1.40578000455684,7.34598741990914,0.006,156,92
"DA15","real","hydro_pump","ida",0.354083879014714,-0.134849044137439,0.835560224599691,0.0728609625668449,155,92
"DA15","real","nuclear","da",4.03266438632605,-14.0178854195919,21.8770593454172,0.312966734555329,156,92
"DA15","real","nuclear","ida",0.070488470839007,-6.16738122297102,5.96105040963076,0.486232370718603,146,73
"DA15","real","solar","da",-4.58354170969145,-10.7908198149276,2.43389332207266,0.101902173913043,156,92
"DA15","real","solar","ida",-8.43362725683469,-10.7977631397521,-5.9902062150947,0.0006765899864682,155,92
"DA15","real","wind","da",18.2237627733775,9.62355581104734,26.5914451850659,0.000679347826086957,156,92
"DA15","real","wind","ida",-5.34960336484886,-7.50795212808069,-3.01726241531349,0.00067476383265857,155,92
"DA15","placebo","ccgt","da",5.23889865716784,-6.8862860509912,14.7987617974527,0.156313993174061,153,92
"DA15","placebo","ccgt","ida",1.58126884084029,-2.06207407391296,5.28077964097151,0.226045883940621,156,92
"DA15","placebo","hydro","da",17.4659184617809,13.9101740582473,20.9112261153721,0.000675219446320054,156,92
"DA15","placebo","hydro","ida",1.578513815648,-0.413389408007772,3.15886525819237,0.0560747663551402,156,92
"DA15","placebo","hydro_pump","da",1.90898264945168,-0.60971718842301,4.27963563409338,0.0776959142665774,156,92
"DA15","placebo","hydro_pump","ida",-0.281339958130779,-1.20904088091271,0.602782896283117,0.282432432432432,156,91
"DA15","placebo","nuclear","da",-67.8527991816341,-78.9498939822715,-54.9229659575007,0.000678886625933469,156,92
"DA15","placebo","nuclear","ida",1.62253016078136,-14.5654924680387,14.1911528107496,0.354054054054054,72,21
"DA15","placebo","solar","da",0.361142108412224,-4.84741260296557,5.6162209839971,0.442477876106195,156,92
"DA15","placebo","solar","ida",-1.3722066187817,-2.91150722546718,0.1407202616659,0.0440293529019346,156,92
"DA15","placebo","wind","da",-0.459683932134595,-9.46959180609931,10.3355608868611,0.442411924119241,156,92
"DA15","placebo","wind","ida",2.17885370052202,-0.994643739718819,4.51297806512025,0.0838487972508591,156,92
