"tag","eff","lo","hi","p","n_pre","n_post"
"ID15 DA (cogen)",-7.12829382988007,-18.9921457575465,4.88145058509989,0.120700183187462,870,40
"ID15 IDA (cogen)",0.921001341305873,-1.87889942822471,3.85845544493251,0.263717198004771,870,40
"DA15 DA (cogen)",4.03650860110977,-13.7213010957953,21.5896465898042,0.326576819407008,1066,92
"DA15 IDA (cogen)",-0.306253573266082,-3.92264079292176,3.18321219083266,0.432498882431828,1066,92
"ID15 MIG (ccgt)",-11.1892931250922,-75.3394531060528,51.1693601303841,0.36085626911315,780,15
"DA15 MIG (ccgt)",18.1941164051657,-95.792845876104,131.888358215196,0.367061096353538,899,64
"ID15 MIG (hydro)",3.26636383871769,-18.095954986947,25.0824913021368,0.387969151670951,870,40
"DA15 MIG (hydro)",13.6506907844685,-17.3090461418405,45.0602061992002,0.193715648657057,1065,92
"ID15 MIG (nuclear)",-53.4617417473443,-81.4063625625149,-6.12965161038142,0.0190152121697358,308,32
"DA15 MIG (nuclear)",31.9854033153078,-5.9540725413303,55.69772152276,0.0495735072754641,486,73
"ID15 MIG (solar)",-1.23841513596369,-6.7993886047339,4.47226464842936,0.33086038124678,870,40
"DA15 MIG (solar)",3.66908054344285,-5.38924017501957,12.9690240530964,0.213667379570221,1065,92
"ID15 MIG (wind)",0.778548158279449,-14.2531642788002,16.4421348693924,0.465690657130085,870,40
"DA15 MIG (wind)",7.62306250774,-12.2672958935019,28.3097752060109,0.226684608218611,1065,92
"ID15 MIG (cogen)",8.55069131603645,-3.01933174975864,20.3694313937672,0.0754141681065149,870,40
"DA15 MIG (cogen)",4.01482589559866,-13.2628352320167,21.2391528323582,0.323526332321223,1066,92
