"reform","side","session","eff","lo","hi","rel","p","n_pre","n_post"
"ID15","real",1,-79.8241156550864,-93.0366047349687,-63.2612116399134,-0.755041878849222,0.000506585612968592,79,39
"ID15","real",2,-79.9229771946247,-92.5928789521732,-63.3264138700984,-0.761261104716777,0.000509164969450102,79,40
"ID15","real",3,-81.8652107294037,-96.0137545336016,-64.5733143490492,-0.76733412499439,0.0005005005005005,78,40
"ID15","placebo2026",1,-16.1239982827932,-32.5965822298235,5.99536056826806,-0.295898225840193,0.074222668004012,74,36
"ID15","placebo2026",2,-11.4321751033815,-32.770028077366,9.83002171377917,-0.201771427268911,0.172086043021511,80,38
"ID15","placebo2026",3,-8.43727260738057,-30.0561484557897,11.8419593614686,-0.148864554981968,0.1995,80,38
"DA15","real",1,15.345562504083,8.40984606858211,23.7140486553978,0.304973833822341,0.000500250125062531,75,36
"DA15","real",2,14.4246331884495,4.7593135331858,23.2401104385338,0.267271182311096,0.0015,79,40
"DA15","real",3,18.9640068166513,8.05391467211702,27.4220723905269,0.411493571537198,0.001,80,40
"DA15","placebo",1,3.91587484137985,-3.42814342742233,11.4355299452533,0.0579466129233112,0.133377571333776,78,37
"DA15","placebo",2,-1.83933481252572,-15.7787185434393,10.7350323982594,-0.0163862519830067,0.4345,77,39
"DA15","placebo",3,10.6042995294403,-1.61546929403544,22.1182362160144,0.168894520117316,0.042563845768653,79,40
