theta,se,t,n,n_units,tech,outcome,market,reform,h
-0.20566842307711594,0.06676129785728972,-3.0806534575879105,21733,38,CCGT,slope,DA,DA15,50
40.23108630379255,12.76920766046493,3.1506329424301747,21733,38,CCGT,intercept,DA,DA15,50
0.002206337481866487,0.0005682442230068952,3.882727518445383,20551,38,CCGT,gamma,DA,DA15,50
1.1763668674662107,0.2939019559727939,4.002582642134935,25661,23,Hydro,slope,DA,DA15,50
53.30462484488842,31.25700352129638,1.7053658009338708,25661,23,Hydro,intercept,DA,DA15,50
1.6198022282570772,1.4065517700673982,1.151612235488112,21276,21,Hydro,gamma,DA,DA15,50
0.04609968551510994,0.01293918221221769,3.5627974596092162,3604,7,Hydro_pump,slope,DA,DA15,50
-4.282131568489161,2.7519822502750384,-1.5560171465717836,3604,7,Hydro_pump,intercept,DA,DA15,50
3.7474751967747545e-05,5.911972286301665e-05,0.6338790196053256,2603,5,Hydro_pump,gamma,DA,DA15,50
-0.101072888773312,0.23461387978163042,-0.4308052399431217,115815,38,CCGT,slope,IDA,DA15,58
3.827836807946966,1.6263186723073428,2.3536818909643427,115815,38,CCGT,intercept,IDA,DA15,58
0.00017928175755155436,0.005282345225784725,0.03393980322914638,92473,35,CCGT,gamma,IDA,DA15,58
-0.022016119715349697,0.025659615321778854,-0.8580066162045421,93489,21,Hydro,slope,IDA,DA15,58
6.347869936583728,1.7552927007664538,3.6164167570524914,93489,21,Hydro,intercept,IDA,DA15,58
-0.010548186268331925,0.007052706777338385,-1.4956224044681885,59021,19,Hydro,gamma,IDA,DA15,58
0.006546529120983729,0.010028626238139875,0.6527842363978648,13247,24,Hydro_pump,slope,IDA,DA15,58
-4.912195577701744,4.3651520717498595,-1.125320606695975,13247,24,Hydro_pump,intercept,IDA,DA15,58
-0.00016604061430493407,0.0001656037802797139,-1.002637826410015,7684,18,Hydro_pump,gamma,IDA,DA15,58
0.004145020741455378,0.008932917276904952,0.4640164699802897,48492,41,CCGT,slope,DA,ID15,50
1.7849633319093274,2.072249100008129,0.8613652344702794,48492,41,CCGT,intercept,DA,ID15,50
0.0015134873410045462,0.0002764328340088244,5.4750635771300304,43485,36,CCGT,gamma,DA,ID15,50
-1.7026025437549512,0.3643416115309825,-4.67309384893075,46380,23,Hydro,slope,DA,ID15,50
-0.3694366836772045,7.324114619640453,-0.05044113901310578,46380,23,Hydro,intercept,DA,ID15,50
-1.3947271009389546,1.4289549381134963,-0.9760469443356071,39374,23,Hydro,gamma,DA,ID15,50
0.014532745643903971,0.007511747744950805,1.9346690194266032,5949,7,Hydro_pump,slope,DA,ID15,50
1.3001503990575998,1.6635685952576091,0.7815430050579112,5949,7,Hydro_pump,intercept,DA,ID15,50
0.00021572862878392295,0.00013153936419100387,1.6400309527927375,4124,7,Hydro_pump,gamma,DA,ID15,50
0.14594990418112153,0.15090720991600579,0.9671499742282461,27661,39,CCGT,slope,IDA,ID15,62
4.928618383628912,3.9888576513737735,1.2355964575300105,27661,39,CCGT,intercept,IDA,ID15,62
0.033445191919151046,0.017503450216645112,1.9107771042389088,21676,38,CCGT,gamma,IDA,ID15,62
-0.1562413773792603,0.07266843484964675,-2.150058380953554,47357,23,Hydro,slope,IDA,ID15,62
10.241951558535227,2.6672946953831036,3.839827513721417,47357,23,Hydro,intercept,IDA,ID15,62
0.2455464255356039,0.23898506356144283,1.0274551132040692,32700,21,Hydro,gamma,IDA,ID15,62
0.24789240196233675,0.23677411205729823,1.0469573713461882,8165,23,Hydro_pump,slope,IDA,ID15,62
-12.66979341619335,4.613647520440552,-2.746155478948146,8165,23,Hydro_pump,intercept,IDA,ID15,62
0.0005307717137557878,0.0003953690646758934,1.3424715314813305,4633,17,Hydro_pump,gamma,IDA,ID15,62
