leg,eff_base,p_base,eff_xborder,se_xborder,p_xborder,net_import_coef
ID15 IDA,-38.73,0.0,-35.5,7.54,0.0,0.341
ID15 DA,-38.66,0.0,-34.96,7.8,0.0,0.345
DA15 DA,-4.56,0.5517,-5.52,7.09,0.4358,0.306
DA15 IDA,-5.99,0.4257,-6.8,6.95,0.3283,0.306
