reform,outcome,tech,market,hour_class,eff,se,lo,hi,surv
ID15,p,ccgt,da,critical,-11.544346020646397,11.968246789889319,-35.00210972882947,11.913417687536668,False
ID15,p,ccgt,da,midday,-33.6155783397785,12.194049965944185,-57.515916273029106,-9.7152404065279,True
ID15,p,ccgt,da,flat,-54.32251257879669,11.155592946734712,-76.18747475439673,-32.457550403196656,True
ID15,p,ccgt,ida,critical,6.791691533155699,15.478016213271797,-23.54522024485702,37.12860331116842,False
ID15,p,ccgt,ida,midday,-33.111026853454895,10.95391046130504,-54.58069135761278,-11.641362349297015,True
ID15,p,ccgt,ida,flat,-22.8857782244788,9.705887982591891,-41.9093186703589,-3.8622377785986934,True
ID15,p,hydro,da,critical,-36.86047927809421,21.90806457638966,-79.80028584781795,6.079327291629518,False
ID15,p,hydro,da,midday,-45.9215763935758,13.789710312050627,-72.94940860519503,-18.89374418195657,True
ID15,p,hydro,da,flat,-65.54641135462215,15.516545151693789,-95.95883985194197,-35.13398285730233,True
ID15,p,hydro,ida,critical,-20.639701035682357,19.374186922383625,-58.61310740355426,17.333705332189545,False
ID15,p,hydro,ida,midday,-55.29470934357555,14.01786821635824,-82.76973104763769,-27.819687639513397,True
ID15,p,hydro,ida,flat,-60.086888452883535,13.7780768388908,-87.09191905710951,-33.08185784865756,True
ID15,p,hydro_pump,da,critical,-33.3466082569281,28.47255144934479,-89.15280909764388,22.45959258378769,False
ID15,p,hydro_pump,da,midday,-57.7163641637661,13.059831666298788,-83.31363422971172,-32.11909409782048,True
ID15,p,hydro_pump,da,flat,-56.643854964070286,18.910686163815665,-93.70879984514899,-19.578910082991584,True
ID15,p,hydro_pump,ida,critical,-42.313298139233794,18.842325956511097,-79.24425701399554,-5.382339264472044,True
ID15,p,hydro_pump,ida,midday,-51.61465473824409,12.776860043090663,-76.6573004227018,-26.57200905378639,True
ID15,p,hydro_pump,ida,flat,-72.0320402998261,14.66116030602744,-100.76791449963987,-43.296166100012314,True
ID15,q,ccgt,da,critical,6008.12359586765,6471.813284729323,-6676.630442201822,18692.87763393712,False
ID15,q,ccgt,da,midday,-5989.988350922769,1478.6877006386712,-8888.216244174564,-3091.7604576709737,True
ID15,q,ccgt,da,flat,-2589.2992926455,1288.2677647084504,-5114.304111474063,-64.29447381693717,True
ID15,q,ccgt,ida,critical,54414.3720341578,3806.045513266561,46954.52282815534,61874.22124016026,True
ID15,q,ccgt,ida,midday,6662.261668776219,2029.8426963132622,2683.7699840022256,10640.753353550213,True
ID15,q,ccgt,ida,flat,15513.12054963873,1266.5004426459452,13030.779682052678,17995.461417224782,True
ID15,q,hydro,da,critical,-11981.972428521902,8606.146188277027,-28850.018957544875,4886.074100501071,False
ID15,q,hydro,da,midday,3312.4092292083697,2283.251796893807,-1162.7642927034913,7787.582751120231,False
ID15,q,hydro,da,flat,982.5041107018305,1437.3178758421873,-1834.6389259488565,3799.6471473525175,False
